data_type,collector,purpose,text
UNSPECIFIED_DATA,we,,"We collect information under the direction of our Subscribers and have no direct relationship with individuals whose personal information we process in connection with our Subscriber's use of our Services 11.2.With the exception of Personal Data collected when you register for an account to access or utilize Rocketlane's Services and other information we collect in connection with your registration or authentication into our Services, this Policy does not apply in connection with access and use of Rocketlane's Services."
cookie / pixel tag,we,,Our website uses cookies
current city,rocketlane,,"2.2.Rocketlane may also receive your Personal Data indirectly as follows: a) from third party sources like databases and social media but only where we have checked that these third parties either have your consent or are otherwise legally permitted or required to disclose your personal information to us; b) if you authorize Rocketlane to connect with a third-party service, Rocketlane will access and store your name, email address(es), current city, profile picture URL, and other Personal Data that the third-party service makes available to Rocketlane, and use and disclose it in accordance with this Policy."
email address,rocketlane,,"2.2.Rocketlane may also receive your Personal Data indirectly as follows: a) from third party sources like databases and social media but only where we have checked that these third parties either have your consent or are otherwise legally permitted or required to disclose your personal information to us; b) if you authorize Rocketlane to connect with a third-party service, Rocketlane will access and store your name, email address(es), current city, profile picture URL, and other Personal Data that the third-party service makes available to Rocketlane, and use and disclose it in accordance with this Policy."
person name,rocketlane,,"2.2.Rocketlane may also receive your Personal Data indirectly as follows: a) from third party sources like databases and social media but only where we have checked that these third parties either have your consent or are otherwise legally permitted or required to disclose your personal information to us; b) if you authorize Rocketlane to connect with a third-party service, Rocketlane will access and store your name, email address(es), current city, profile picture URL, and other Personal Data that the third-party service makes available to Rocketlane, and use and disclose it in accordance with this Policy."
personal datum third party service make,rocketlane,,"2.2.Rocketlane may also receive your Personal Data indirectly as follows: a) from third party sources like databases and social media but only where we have checked that these third parties either have your consent or are otherwise legally permitted or required to disclose your personal information to us; b) if you authorize Rocketlane to connect with a third-party service, Rocketlane will access and store your name, email address(es), current city, profile picture URL, and other Personal Data that the third-party service makes available to Rocketlane, and use and disclose it in accordance with this Policy."
personal information,UNSPECIFIED_ACTOR,"advertising, services","4.1.You acknowledge that Rocketlane will share your Personal Data with its group companies and third-party service providers so that they may offer you Rocketlane's Services and/or to send information or updates to the Services if you are a Subscriber.
4.3.Rocketlane shares Personal Data with our third-party service providers that host and maintain the Rocketlane Websites, applications, backup, storage, payment processing, analytics and other services.
4.4.Rocketlane may share your Personal Data with third-party providers for marketing purposes in compliance with laws applicable in this regard.
These third-party service providers may have access to or process your Personal Data for the purpose of providing these services for us."
personal information,group company,,4.1.You acknowledge that Rocketlane will share your Personal Data with its group companies and third-party service providers so that they may offer you Rocketlane's Services and/or to send information or updates to the Services if you are a Subscriber.
personal information,rocketlane,,"4.1.You acknowledge that Rocketlane will share your Personal Data with its group companies and third-party service providers so that they may offer you Rocketlane's Services and/or to send information or updates to the Services if you are a Subscriber.
6.2.In the absence of a need to retain Personal Data under Clause 6.1. above, Rocketlane will either delete or aggregate it or, if this is not possible then Rocketlane will securely store your Personal Data and isolate it from any further processing until deletion is possible.
Rocketlane collects Personal Data from you when you: a) subscribe for any of Rocketlane's Services by signing-up; b) use or view Rocketlane's Website which may result in Personal Data being collected via your browser's Cookies; c) submit web forms on our Websites or as you use interactive features of the Websites, including participation in surveys, contests, promotions, sweepstakes, d) request customer support, or otherwise communicate with us; or e) when you use the Services, Rocketlane automatically collects information on the type of device you use, and the operating system version, to perform our agreement with you.
When you visit the Websites, Rocketlane may collect Personal Data automatically from you through cookies or similar technology."
profile picture url,rocketlane,,"2.2.Rocketlane may also receive your Personal Data indirectly as follows: a) from third party sources like databases and social media but only where we have checked that these third parties either have your consent or are otherwise legally permitted or required to disclose your personal information to us; b) if you authorize Rocketlane to connect with a third-party service, Rocketlane will access and store your name, email address(es), current city, profile picture URL, and other Personal Data that the third-party service makes available to Rocketlane, and use and disclose it in accordance with this Policy."
rocketlane corp,we,,"This privacy policy ("" Policy "") explains how Rocketlane Corp, its subsidiaries and affiliates ("" Rocketlane "", "" we "", "" us "", "" our "") processes Personal Data that Rocketlane collects from you."
social media,we,,2.3.The Website includes social media features and widgets that are either hosted by a third-party or hosted directly on the Websites and your interaction with these social media features and widgets is governed by the privacy statement of the companies that provide them.
widget,we,,2.3.The Website includes social media features and widgets that are either hosted by a third-party or hosted directly on the Websites and your interaction with these social media features and widgets is governed by the privacy statement of the companies that provide them.
