data_type,collector,purpose,text
UNSPECIFIED_DATA,we,advertising,"Privacy Notice

On what legal basis we have your information
This Privacy Notice is meant to help you understand what information we collect, why we collect it, and how you can update, manage, export, and delete your information.
We may also use your information to market to you Access Group solutions we think may be of interest to you/your employer.
We process this information in our capacity as controller .
We process this personal data as a controller ."
amount of personal datum,we,advertising,"If you act as a signatory on a contract with us, we will process a limited amount of your personal data."
contact make,we,advertising,"If you contact us, for example, for technical support, to inquire about our solutions, or to download some of our content, we will record the contact made and log necessary details of the interaction on our systems."
cookie / pixel tag,we,advertising,"We use cookies (and similar technologies) when you use our websites, platforms, solutions (collectively ""sites""), and when you interact with us via email."
cv,recruitment agency,,"If you use our solutions via a third-party organisation; for example, to submit your CV to a recruitment agency, or to donate money on a charity's website, then we will process your personal data as a processor (the relevant third-party organisation is the controller)."
feedback,we,advertising,"For example, because: Because you have provided feedback to us."
idea,we,advertising,We use a variety of third-party tools to collect your ideas.
information about you,we,advertising,"We may also collect information about you from other sources, for example, public sources or third-party social network sites."
necessary detail of interaction on system,we,advertising,"If you contact us, for example, for technical support, to inquire about our solutions, or to download some of our content, we will record the contact made and log necessary details of the interaction on our systems."
number of solution process in capacity as independent controller,we,advertising,We provide a limited number of solutions where some or all your personal data is processed by the Access Group in its capacity as an independent controller .
personal datum collect via method,we,advertising,We process any personal data collected via these methods as a controller .
photograph,we,"advertising, legal, services","We process this information in our capacity as a controller , and our lawful basis is legitimate interests .
When in attendance at an Access-led event, we may take photographs and or video footage."
video footage,we,"advertising, legal, services","We process this information in our capacity as a controller , and our lawful basis is legitimate interests .
When in attendance at an Access-led event, we may take photographs and or video footage."
