data_type,collector,purpose,text
Facebook,marketing partner,"advertising, services","We also share limited personal information with such social media platforms and marketing partners, such as Facebook and Google, to promote our services or the AlignTogether.live marketplace."
Google,marketing partner,"advertising, services","We also share limited personal information with such social media platforms and marketing partners, such as Facebook and Google, to promote our services or the AlignTogether.live marketplace."
UNSPECIFIED_DATA,we,"advertising, analytics, services","Additional information that we may collect from you includes your name, profile information, country, billing information, telephone number, or other contact information, transaction information, payment information (in some cases, we process your credit card number and payment method), taxpayer information and forms, information about your other social networks linked accounts, information about your listed services, purchases, education, profession and expertise, information and files uploaded by you to the Site.
In the event that we sell any business or assets, we will disclose your data to the prospective buyer.
Our Site collects information from you when you access, browse, view, or otherwise use it.
We also receive information from enrichment service providers to enhance and personalize your experience as well as from advertising and marketing partners in order to manage and measure our campaigns.
We receive information from third-party vendors and/or other commercially available sources, such as: Third-party vendors who provide us data to supplement the information we collect about you, in accordance with applicable laws."
billing information,we,"advertising, analytics, services","Additional information that we may collect from you includes your name, profile information, country, billing information, telephone number, or other contact information, transaction information, payment information (in some cases, we process your credit card number and payment method), taxpayer information and forms, information about your other social networks linked accounts, information about your listed services, purchases, education, profession and expertise, information and files uploaded by you to the Site."
contact information,we,"advertising, analytics, services","Additional information that we may collect from you includes your name, profile information, country, billing information, telephone number, or other contact information, transaction information, payment information (in some cases, we process your credit card number and payment method), taxpayer information and forms, information about your other social networks linked accounts, information about your listed services, purchases, education, profession and expertise, information and files uploaded by you to the Site.
We also receive certain information about you, if you are invited to AlignTogether.live by another user (for example, as part of our collaboration tools and referral program), in such case we will receive limited information, such as your email address or other contact information, and we will use it for the same purpose it was provided and in accordance with the terms of this Privacy Policy."
cookie / pixel tag,we,"advertising, analytics, services","We also collect and process information relating to the use of cookies and similar technologies, as detailed below.
We use cookies and similar technologies (such as web beacons, pixels, tags, and scripts) to improve and personalize your experience, provide our services, analyze website performance and for marketing purposes."
country,we,"advertising, analytics, services","Additional information that we may collect from you includes your name, profile information, country, billing information, telephone number, or other contact information, transaction information, payment information (in some cases, we process your credit card number and payment method), taxpayer information and forms, information about your other social networks linked accounts, information about your listed services, purchases, education, profession and expertise, information and files uploaded by you to the Site."
credit / debit card number,we,"advertising, analytics, services","Additional information that we may collect from you includes your name, profile information, country, billing information, telephone number, or other contact information, transaction information, payment information (in some cases, we process your credit card number and payment method), taxpayer information and forms, information about your other social networks linked accounts, information about your listed services, purchases, education, profession and expertise, information and files uploaded by you to the Site."
email address,we,"advertising, analytics, services","We also receive certain information about you, if you are invited to AlignTogether.live by another user (for example, as part of our collaboration tools and referral program), in such case we will receive limited information, such as your email address or other contact information, and we will use it for the same purpose it was provided and in accordance with the terms of this Privacy Policy."
file upload to site,we,"advertising, analytics, services","Additional information that we may collect from you includes your name, profile information, country, billing information, telephone number, or other contact information, transaction information, payment information (in some cases, we process your credit card number and payment method), taxpayer information and forms, information about your other social networks linked accounts, information about your listed services, purchases, education, profession and expertise, information and files uploaded by you to the Site."
fraud warning,we,"advertising, analytics, services","For example, we receive fraud warnings from service providers for our fraud prevention and risk assessment efforts."
information about communication you send,we,"advertising, analytics, services","Additionally, we collect information about any communications you send or receive with AlignTogether.live, as well as any posts you make on our blogs or forums and any communications you have with other users."
information about list service,we,"advertising, analytics, services","Additional information that we may collect from you includes your name, profile information, country, billing information, telephone number, or other contact information, transaction information, payment information (in some cases, we process your credit card number and payment method), taxpayer information and forms, information about your other social networks linked accounts, information about your listed services, purchases, education, profession and expertise, information and files uploaded by you to the Site."
information about social network link account,we,"advertising, analytics, services","Additional information that we may collect from you includes your name, profile information, country, billing information, telephone number, or other contact information, transaction information, payment information (in some cases, we process your credit card number and payment method), taxpayer information and forms, information about your other social networks linked accounts, information about your listed services, purchases, education, profession and expertise, information and files uploaded by you to the Site."
information about you,UNSPECIFIED_ACTOR,,Such features and third party services collect certain information about you and may set a cookie to enable their functionality.
