data_type,collector,purpose,text
UNSPECIFIED_DATA,we,services,"These permissions allow us to access certain information from your google account, as authorized by you.
We may use the information to provide you with the requested services, including personalized features, support, and updates related to our application."
aggregate / deidentified / pseudonymized information,we,"services, analytics","We may use aggregated and anonymized data for analytical purposes to improve our application, understand user preferences, and optimize our services."
associate permission,we,"services, analytics, security",We use your google email address and associated permissions to authenticate your identity and provide you with access to our altercall.ai application.
contact information,we,"services, analytics, security","We may collect your name, email address, and other contact details associated with your google account."
email address,we,"services, analytics, security","We may collect your name, email address, and other contact details associated with your google account.
We may use your email address to send you important notifications, updates, and information related to your use of our application.
We use your google email address and associated permissions to authenticate your identity and provide you with access to our altercall.ai application."
information we receive,we,"services, analytics, security",We will use the information we receive only for the purposes that are described in this privacy policy or that are otherwise made clear to you on the Services.
permission you grant to application,we,"services, analytics, security",We may collect and store the permissions you grant to our application during the OAuth consent process.
person name,we,"services, analytics, security","We may collect your name, email address, and other contact details associated with your google account."
personal information collect through oauth consent screen,we,"services, analytics, security",Use of Information We use the personal information collected through the OAuth consent screen for the following purposes:
personal information provide,we,"services, analytics, security",We will use the personal information provided by the third party service to create your AlterCall account.
profile information,we,"services, analytics, security","The profile Information we receive may vary depending on the social media provider concerned, but will often include your name, email address, friends list, profile picture as well as other information you choose to make public."
profile information about you,we,"services, analytics, security","Where you choose to do this, we will receive certain profile information about you from your social media provider."
record material,affiliate contributor,,"The recorded materials may be stored in their original form or in modified form, including de-identified form or form where personally identifiable information (PII) has been scrubbed or otherwise removed, in perpetuity by AlterCall, LLC and its affiliates/contributors in accordance with any data privacy and security policies as implemented by AlterCall, LLC."
record material,altercall llc,,"The recorded materials may be stored in their original form or in modified form, including de-identified form or form where personally identifiable information (PII) has been scrubbed or otherwise removed, in perpetuity by AlterCall, LLC and its affiliates/contributors in accordance with any data privacy and security policies as implemented by AlterCall, LLC."
