data_type,collector,purpose,text
Facebook,we,"analytics, legal, services, advertising, security",Services like Facebook Connect give you the option to post information about your activities in the Services to your profile page to share with others within your network.
UNSPECIFIED_DATA,UNSPECIFIED_ACTOR,,Third parties with whom we partner to provide certain features on our Websites or to display advertising based upon your Web browsing activity use LSOs such as HTML5 and Flash to collect and store information.
UNSPECIFIED_DATA,we,"analytics, legal, services","For example, we may have access to certain information from a third party social media or authentication service if you log into our Services through such a service or otherwise provide us with access to information from the service.
Please note, however, that we may need to retain certain information for record keeping purposes, to complete transactions or to comply with our legal obligations.
We collect information under the direction of our Subscribers, and have no direct relationship with individuals whose personal information we process in connection with our Subscriber's use of our Services.
When you download and use our Services, we automatically collect information on the type of device you use, and operating system version."
account,UNSPECIFIED_ACTOR,,"We may assign or transfer this Policy, as well as your account and related information and data, including any personal information, to any person or entity that acquires all or substantially all of our business, stock or assets, or with whom we merge."
account,we,"analytics, legal, services","We may assign or transfer this Policy, as well as your account and related information and data, including any personal information, to any person or entity that acquires all or substantially all of our business, stock or assets, or with whom we merge."
aggregate / deidentified / pseudonymized information,analytic provider,,We may also share anonymous data about your actions on our Websites with third-party service providers of analytics services.
aggregate / deidentified / pseudonymized information,we,"analytics, legal, services",We may also share anonymous data about your actions on our Websites with third-party service providers of analytics services.
analytic information,we,"analytics, legal, services","Analytics:

We collect analytics information when you use the Websites to help us improve them."
anonymised diagnostic datum about server environment,we,"analytics, legal, services","When you install the Arlo for WordPress plugin, we collect anonymised diagnostic and technical data about your server environment to help our engineering team diagnose connection and integration issues."
asset,we,"analytics, legal, services, advertising, security","We may assign or transfer this Policy, as well as your account and related information and data, including any personal information, to any person or entity that acquires all or substantially all of our business, stock or assets, or with whom we merge."
browser type,we,"analytics, legal, services","As is true with most websites and services delivered over the Internet, we gather certain information and store it in log files when you interact with our Websites and Services.
This information includes internet protocol (IP) addresses as well as browser type, internet service provider, URLs of referring/exit pages, operating system, date/time stamp, information you search for, locale and language preferences, identification numbers associated with your devices, your mobile carrier, and system configuration information."
cookie / pixel tag,authorised partner,,We and our authorised partners may use cookies and other information gathering technologies for a variety of purposes.
cookie / pixel tag,we,"analytics, legal, services",We and our authorised partners may use cookies and other information gathering technologies for a variety of purposes.
date time stamp,we,"analytics, legal, services","As is true with most websites and services delivered over the Internet, we gather certain information and store it in log files when you interact with our Websites and Services.
This information includes internet protocol (IP) addresses as well as browser type, internet service provider, URLs of referring/exit pages, operating system, date/time stamp, information you search for, locale and language preferences, identification numbers associated with your devices, your mobile carrier, and system configuration information."
email invite he,we,"analytics, legal, services","We will automatically send your friend an email inviting him or her to visit the Websites and will store this information for the purpose of sending this initial email, tracking the success of our referral program and other marketing activities."
identification number associate with device,we,"analytics, legal, services","As is true with most websites and services delivered over the Internet, we gather certain information and store it in log files when you interact with our Websites and Services.
This information includes internet protocol (IP) addresses as well as browser type, internet service provider, URLs of referring/exit pages, operating system, date/time stamp, information you search for, locale and language preferences, identification numbers associated with your devices, your mobile carrier, and system configuration information."
information about,we,"analytics, legal, services","Upon request we will provide you with information about whether we hold, or process on behalf of a third party, any of your personal information."
information about device you utilise,gather technology,,"These technologies may provide us with personal information, information about devices and networks you utilise to access our Websites, and other information regarding your interactions with our Websites.
We and our authorised partners may use cookies and other information gathering technologies for a variety of purposes."
information about device you utilise,we,"analytics, legal, services","These technologies may provide us with personal information, information about devices and networks you utilise to access our Websites, and other information regarding your interactions with our Websites."
information as,analytic provider,,"This software may record information such as how often you use the mobile application, the events that occur within the mobile application, aggregated usage, performance data, and where the mobile application was downloaded from.
We also use mobile analytics software to allow us to better understand the functionality of our mobile application on your device."
information regard interaction with website,gather technology,,"These technologies may provide us with personal information, information about devices and networks you utilise to access our Websites, and other information regarding your interactions with our Websites.
We and our authorised partners may use cookies and other information gathering technologies for a variety of purposes."
information regard interaction with website,we,"analytics, legal, services","These technologies may provide us with personal information, information about devices and networks you utilise to access our Websites, and other information regarding your interactions with our Websites."
information you search for,we,"analytics, legal, services, advertising","As is true with most websites and services delivered over the Internet, we gather certain information and store it in log files when you interact with our Websites and Services.
This information includes internet protocol (IP) addresses as well as browser type, internet service provider, URLs of referring/exit pages, operating system, date/time stamp, information you search for, locale and language preferences, identification numbers associated with your devices, your mobile carrier, and system configuration information."
internet activity,UNSPECIFIED_ACTOR,advertising,Our third party partners may also use technologies such as cookies to gather information about your activities on our Websites and other sites in order to suggest advertisements based upon your browsing activities and interests.
ip address,social media,,"The Websites include social media features, such as the Facebook Like button, and widgets, such as the Share This button or interactive mini-programs that run on our Websites.
These features may collect your Internet protocol address, which page you are visiting on the Websites, and may set a cookie to enable the feature to function properly."
ip address,we,"analytics, legal, services, advertising","As is true with most websites and services delivered over the Internet, we gather certain information and store it in log files when you interact with our Websites and Services.
This information includes internet protocol (IP) addresses as well as browser type, internet service provider, URLs of referring/exit pages, operating system, date/time stamp, information you search for, locale and language preferences, identification numbers associated with your devices, your mobile carrier, and system configuration information."
local storage objects,we,"analytics, legal, services, advertising","We use Local Storage Objects (""LSOs"") such as HTML5 to store content information and preferences."
locale preference,we,"analytics, legal, services, advertising","As is true with most websites and services delivered over the Internet, we gather certain information and store it in log files when you interact with our Websites and Services.
This information includes internet protocol (IP) addresses as well as browser type, internet service provider, URLs of referring/exit pages, operating system, date/time stamp, information you search for, locale and language preferences, identification numbers associated with your devices, your mobile carrier, and system configuration information."
option,UNSPECIFIED_ACTOR,advertising,"These services will authenticate your identity, provide you with the option to share certain personal information (such as your name and email address) with us, and pre-populate our sign up form.
You can log into certain Services using sign-in services such as Facebook Connect or an Open ID provider."
personal information about website visitor within european economic area,we,"analytics, legal, services, advertising, security","To facilitate our global operations, we may transfer and access such personal information from around the world, including from other countries in which the Arlo Group has operations for the purposes described in this Policy.
We primarily store personal information about Website Visitors and Subscribers within the European Economic Area (the ""EEA""), the United States, Australia, and New Zealand and in other countries and territories."
personal information we process on behalf of subscriber,we,"analytics, legal, services, advertising, security","For personal information that we process on behalf of our Subscribers, we will retain such personal information in accordance with the terms of our agreement with them, subject to applicable law."
personal information we store,we,"analytics, legal, services, advertising, security","We will retain and use this personal information as necessary to comply with our legal obligations, resolve disputes, and enforce our agreements.
We will retain personal information that we store and process on behalf of our Subscribers for as long as needed to provide the Services to our Subscribers."
report base on use of technology by third party service provider on individual basis,we,"analytics, legal, services, advertising, security",We may receive reports based on the use of these technologies by our third-party service providers on an individual and aggregated basis.
stock,we,"analytics, legal, services, advertising, security","We may assign or transfer this Policy, as well as your account and related information and data, including any personal information, to any person or entity that acquires all or substantially all of our business, stock or assets, or with whom we merge."
system configuration information,we,"analytics, legal, services, advertising, security","As is true with most websites and services delivered over the Internet, we gather certain information and store it in log files when you interact with our Websites and Services.
This information includes internet protocol (IP) addresses as well as browser type, internet service provider, URLs of referring/exit pages, operating system, date/time stamp, information you search for, locale and language preferences, identification numbers associated with your devices, your mobile carrier, and system configuration information."
url,we,"analytics, legal, services, advertising, security","As is true with most websites and services delivered over the Internet, we gather certain information and store it in log files when you interact with our Websites and Services.
This information includes internet protocol (IP) addresses as well as browser type, internet service provider, URLs of referring/exit pages, operating system, date/time stamp, information you search for, locale and language preferences, identification numbers associated with your devices, your mobile carrier, and system configuration information."
