data_type,collector,purpose,text
UNSPECIFIED_DATA,we,"advertising, legal","However, the Other Data and IP Information collected may be retained, accessed, and used by us as long as necessary for the purposes described herein.
In addition to the Personal Data described above, we collect technical data and other information when you use our Services or visit our Site.
We (or our third-party service providers) may collect your Personal Data using cookies, pixel tags, web beacons, embedded web links, and similar technologies for: Internet-Based Advertising - We also use cookies, Other Data and IP Information to target advertising for our Services on third party sites.
We provide additional information about your Data Subject Rights and how you may exercise them below.
We will only retain your Personal Data and Other Data for as long as reasonably necessary to fulfil the purposes we collected it for.
When you visit the Site, our systems automatically collect the following information about your visit (""Other Data""):"
cookie / pixel tag,Google,,"Google Analytics uses first-party cookies that store information, such as what time the current visit occurred, whether the visitor has been to the web page before, and what site referred the visitor to the web page."
cookie / pixel tag,we,"advertising, legal, analytics, services","We (or our third-party service providers) may collect your Personal Data using cookies, pixel tags, web beacons, embedded web links, and similar technologies for: Analytics - We use cookies to gather usage and performance data for the Site.
We (or our third-party service providers) may collect your Personal Data using cookies, pixel tags, web beacons, embedded web links, and similar technologies for: Internet-Based Advertising - We also use cookies, Other Data and IP Information to target advertising for our Services on third party sites.
We (or our third-party service providers) may collect your Personal Data using cookies, pixel tags, web beacons, embedded web links, and similar technologies for: Showing advertising - We use cookies to record how many visitors have clicked on an advertisement and to record which advertisements you have seen so you don't see the same one.
We provide more information about cookies below.
We use cookies and similar technologies to enhance our Services and Site."
information about product,we,"advertising, legal, analytics, services","Our website located at www.mimecast.com (the ""Site""), provides information about our products and services (the ""Services"") and is operated by Mimecast."
information about product,we,"advertising, legal, analytics, services, security","Our website located at www.mimecast.com (the ""Site""), provides information about our products and services (the ""Services"") and is operated by Mimecast."
information about product,website locate at www.mimecast.com,,"Our website located at www.mimecast.com (the ""Site""), provides information about our products and services (the ""Services"") and is operated by Mimecast."
internet activity,we,"advertising, legal, analytics, services","We (or our third-party service providers) may collect your Personal Data using cookies, pixel tags, web beacons, embedded web links, and similar technologies for: Analytics - We use cookies to gather usage and performance data for the Site."
ip address,we,"advertising, legal, analytics, services, security","However, the Other Data and IP Information collected may be retained, accessed, and used by us as long as necessary for the purposes described herein.
We (or our third-party service providers) may collect your Personal Data using cookies, pixel tags, web beacons, embedded web links, and similar technologies for: Internet-Based Advertising - We also use cookies, Other Data and IP Information to target advertising for our Services on third party sites.
We also collect your public IP address (the unique address which identifies your computer on the internet).
We collect your IP address to verify that requests are legitimate and we may automatically cross-"
other datum,we,"advertising, legal, analytics, services, security","We will also retain and use your Personal Data and Other Data to the extent necessary to comply with our legal obligations, resolve disputes and enforce our terms and conditions, other applicable terms of service and our policies."
personal data we gather,we,"advertising, legal, analytics, services, security","As it is in our legitimate interests to ensure we can communicate with you and to grow our business, we use this Personal Data, to improve our marketing activities and to ensure the Personal Data we hold are relevant and up-to-date.
We may obtain information (e.g., contact information including email addresses and phone numbers) from third parties (e.g., those offering business-contact-data enrichment services) to combine with the Personal Data we have gathered as described in this Privacy Statement."
setting,we,"advertising, legal, analytics, services, security","These technologies allow us, among other things, to store your preferences and settings, make it easier when you to sign-in, and analyze how our Site and Services are performing."
technical datum,we,"advertising, legal, analytics, services, security","In addition to the Personal Data described above, we collect technical data and other information when you use our Services or visit our Site."
technical information collect from site,we,"advertising, legal, analytics, services, security","As it is in our legitimate interest to be responsive to you and to ensure the proper functioning of our Services and Site and to improve our Site and Services, we use this Other Data and IP information to assist us in:
Topics covered in this Privacy Statement include:

What kind of technical data do we collect?

Technical information collected automatically from the Site"
unique address identify computer on internet,we,"advertising, legal, analytics, services, security",We also collect your public IP address (the unique address which identifies your computer on the internet).
variety of mechanism,we,"advertising, legal, analytics, services, security",We utilize a variety of mechanisms to ensure the security and legitimacy of these transfers.
