data_type,collector,purpose,text
UNSPECIFIED_DATA,bridge instructors,"analytics, legal, services","You have the right to obtain from us the restriction of processing where one of the following applies: Bridge Instructors no longer needs the personal data for the purposes of the processing, but they are required by you for the establishment, exercise or defense of legal claims;"
UNSPECIFIED_DATA,we,"analytics, services","For example, we may share information publicly to show trends about the general use of our services.
Privacy policy

We collect information to provide better services to all of our users.
This information includes: Cookies and anonymous identifiers We use various technologies to collect and store information when you visit Bridge Instructors, and this may include sending one or more cookies or anonymous identifies to your device.
This information includes: Log information When you use our services or view content provided by Bridge Instructors, we may automatically collect and store certain information in server logs.
We collect information in two ways:"
anonymous identifier,we,"analytics, services","This information includes: Cookies and anonymous identifiers We use various technologies to collect and store information when you visit Bridge Instructors, and this may include sending one or more cookies or anonymous identifies to your device.
We may collect information about the Bridge Instructors services that you use and how you use them, such as when you register for a lesson."
cookie / pixel tag,we,"analytics, services","Privacy policy

Our website may use third party cookies.
Privacy policy

Our website uses cookies.
Privacy policy

We use both session and persistent cookies on our website.
This information includes: Cookies and anonymous identifiers We use various technologies to collect and store information when you visit Bridge Instructors, and this may include sending one or more cookies or anonymous identifies to your device.
We may collect information about the Bridge Instructors services that you use and how you use them, such as when you register for a lesson.
We use cookies to allow a user to remain logged in and to personalize the website for each user."
cookie / pixel tag,web browser,,"Cookies may be either ""persistent"" cookies or ""session"" cookies: a persistent cookie will be stored by a web browser and will remain valid until its set expiry date, unless deleted by the user before the expiry date; a session cookie, on the other hand, will expire at the end of the user session, when the web browser is closed."
cookie / pixel tag,web server,analytics,Cookies can be used by web servers to identify and track users as they navigate different pages on a website and identify users returning to a website.
device information,we,"analytics, services","This information includes: Device information
We may collect information about the Bridge Instructors services that you use and how you use them, such as when you register for a lesson."
different option on,we,"analytics, services",Our services provide you with different options on sharing and removing your content.
email address,we,"analytics, services","We may use your email address to inform you about our services, such as letting you know about upcoming changes or improvements, or to notify you when something you're interested in has occurred on our site, like activity on a specific thread."
email address,we,"analytics, services, security, legal","We may use your email address to inform you about our services, such as letting you know about upcoming changes or improvements, or to notify you when something you're interested in has occurred on our site, like activity on a specific thread."
information we collect from,we,"analytics, services, security","We use the information we collect from all of our services to provide, maintain, protect and improve them, to develop new ones, and to protect Bridge Instructors and our users."
log information,we,"analytics, services, security","This information includes: Log information When you use our services or view content provided by Bridge Instructors, we may automatically collect and store certain information in server logs.
We may collect information about the Bridge Instructors services that you use and how you use them, such as when you register for a lesson."
name you provide for bridge instructors profile,we,"analytics, services, security",We may use the name you provide for your Bridge Instructors profile across all of the services we offer that require a Bridge Instructors Account.
non-personal information,advertiser,,"We may share aggregated, non-personally identifiable information publicly and with our partners - like publishers, advertisers or connected sites."
non-personal information,connect site,,"We may share aggregated, non-personally identifiable information publicly and with our partners - like publishers, advertisers or connected sites."
non-personal information,publisher,,"We may share aggregated, non-personally identifiable information publicly and with our partners - like publishers, advertisers or connected sites."
non-personal information,we,"analytics, services, security","We may share aggregated, non-personally identifiable information publicly and with our partners - like publishers, advertisers or connected sites."
record of communication,we,"analytics, services, security, legal","When you contact Bridge Instructors, we may keep a record of your communication to help solve any issues you might be facing."
