data_type,collector,purpose,text
UNSPECIFIED_DATA,we,"security, services","For example, we may use your data for fraud and security monitoring to ensure our networks and websites are secure, to administer or conduct our business (for example, record keeping and billing), and to respond to your inquiries and complaints."
datum about use of services,we,"security, services","We collect data about end users' use of the Services as necessary to implement customer-created alerts, policies, workflows, and searches, including:"
datum we collect,bettercloud subsidiary,,"Product Privacy Statement

We share the data we collect:
We share the data we collect: With BetterCloud subsidiaries and corporate affiliates."
datum we collect,corporate affiliate,,"Product Privacy Statement

We share the data we collect:
We share the data we collect: With BetterCloud subsidiaries and corporate affiliates."
datum we collect,we,"security, services, analytics, legal","Product Privacy Statement

We share the data we collect:
We share the data we collect: With third party service providers that help us provide, manage and improve the Services (you can see our list of third party Sub-Processors here and sign up for email notifications when we add new Sub-Processors), and
We use the data we collect at the instruction of our customers and in accordance with our Customer Agreements, to provide the Services, and for related internal purposes, including to:"
end user personal information,bettercloud,,"This Product Privacy Statement explains how BetterCloud collects, uses, discloses, and otherwise processes end user personal information or personal data on behalf of its corporate customers in connection with our products and services (collectively, the "" Services "")."
machine readable copy of personal information,UNSPECIFIED_ACTOR,,Transfer a machine-readable copy of end user's personal information to end user or a third party of end user's choice.
personal information,bettercloud,"legal, services","BetterCloud retains personal information or personal data to (a) provide the Services; (b) comply with legal obligations; (c) resolve disputes; and (d) enforce the terms of Customer Agreements.
In order to provide the Services, BetterCloud or its Sub-Processors may transfer personal information or personal data about its end users outside of the country in which end users are located, including to the United States or to other jurisdictions that may not be subject to equivalent data protection laws.
This Product Privacy Statement explains how BetterCloud collects, uses, discloses, and otherwise processes end user personal information or personal data on behalf of its corporate customers in connection with our products and services (collectively, the "" Services "")."
personal information,government,,"We may also share personal information or personal data with government, law enforcement officials (you can review Our Transparency Report for more information), or private parties, when we believe such disclosure is necessary or appropriate to (a) comply with applicable law (but only if strictly required in the reasonable opinion of Our counsel); (b) enforce the terms and conditions that govern the Services; (c) protect our rights, privacy, safety or property, and/or that of you or others; and (d) protect, investigate and deter against fraudulent, harmful, unauthorized, unethical or illegal activity, in the event of active or prospective litigation or arbitration, for regulatory compliance efforts and/or audit."
personal information,sub,services,"In order to provide the Services, BetterCloud or its Sub-Processors may transfer personal information or personal data about its end users outside of the country in which end users are located, including to the United States or to other jurisdictions that may not be subject to equivalent data protection laws."
personal information,we,"security, services, analytics, legal","We may also share personal information or personal data with government, law enforcement officials (you can review Our Transparency Report for more information), or private parties, when we believe such disclosure is necessary or appropriate to (a) comply with applicable law (but only if strictly required in the reasonable opinion of Our counsel); (b) enforce the terms and conditions that govern the Services; (c) protect our rights, privacy, safety or property, and/or that of you or others; and (d) protect, investigate and deter against fraudulent, harmful, unauthorized, unethical or illegal activity, in the event of active or prospective litigation or arbitration, for regulatory compliance efforts and/or audit.
We use the data we collect at the instruction of our customers and in accordance with our Customer Agreements, to provide the Services, and for related internal purposes, including to: We may also use personal information or personal data as we believe necessary or appropriate to (a) comply with applicable law; (b) enforce the terms and conditions that govern the Services; (c) protect our rights, privacy, safety or property, and/or that of you or others; and (d) protect, investigate and deter against fraudulent, harmful, unauthorized, unethical or illegal activity; and"
specific information,bettercloud,"legal, services, security",BetterCloud may request specific information from the end user to help BetterCloud confirm end user's identity and process end user's request.
