data_type,collector,purpose,text
UNSPECIFIED_DATA,we,,"For example, we collect information when you register with Board Director for an account, create or modify your profile and online account, access and use of Board Director Services (including but not limited to when you upload, download, collaborate on, or share files or other information), participate in any interactive features, request customer support, or communicate with us via third-party social media sites.
We (including service providers who are working on our behalf) use various technologies to collect information, which may include saving cookies to your computer or mobile device.
We also store the files or other information that you upload or provide to the Board Director Services (""Content"") in order to be able to provide you with the features and functionality of the Board Director Service.
We may also collect information using web beacons (also known as ""tracking pixels"")."
contact,we,,"The types of information we may collect directly from you may include your name, username, email address, your picture, postal address, phone number, information about your data storage preferences, employer's name, job title, transactional information (including services purchased or subscribed to and billing address) as well as any contact or other information you choose to provide."
email address,we,services,"For example, if you invite a user to Board Director, we will collect their email address in order to provide them with an invite to the Board Director Service in order to collaborate on the Content you designated.
The types of information we may collect directly from you may include your name, username, email address, your picture, postal address, phone number, information about your data storage preferences, employer's name, job title, transactional information (including services purchased or subscribed to and billing address) as well as any contact or other information you choose to provide."
file,we,services,"We also store the files or other information that you upload or provide to the Board Director Services (""Content"") in order to be able to provide you with the features and functionality of the Board Director Service."
geolocation,we,services,We may ask for or access your location-based information from your mobile device with your consent through our mobile apps.
information about application you use,we,services,"We monitor user activity in connection with the Board Director Services and may collect information about the applications and features you use, the websites you visit, the sizes and names of the files or folders you upload, download, share or access while using the Board Director Services, the Content you access and any actions taken in connection with the access and use of your Content in the Board Director Services."
information about data storage preference,we,services,"The types of information we may collect directly from you may include your name, username, email address, your picture, postal address, phone number, information about your data storage preferences, employer's name, job title, transactional information (including services purchased or subscribed to and billing address) as well as any contact or other information you choose to provide."
information about you,we,services,"When you access or use the Board Director Services, we may automatically collect information about you, including:"
information from third party social medium service,we,services,"For example, we may have access to certain information from a third-party social media service if you create or log into your online account through the service or otherwise provide us with access to information from the service."
information you provide to we,we,services,We collect the information you provide directly to us.
job title,we,services,"The types of information we may collect directly from you may include your name, username, email address, your picture, postal address, phone number, information about your data storage preferences, employer's name, job title, transactional information (including services purchased or subscribed to and billing address) as well as any contact or other information you choose to provide."
person name,we,services,"The types of information we may collect directly from you may include your name, username, email address, your picture, postal address, phone number, information about your data storage preferences, employer's name, job title, transactional information (including services purchased or subscribed to and billing address) as well as any contact or other information you choose to provide."
personal information associate with integrated service account,board director,,"If you decide to register through or otherwise grant access to a third-party social networking or integrated service (what we call an ""Integrated Service""), such as Facebook Connect or Google, Board Director may also collect Personal Information that is already associated with your Integrated Service account."
phone number,we,services,"The types of information we may collect directly from you may include your name, username, email address, your picture, postal address, phone number, information about your data storage preferences, employer's name, job title, transactional information (including services purchased or subscribed to and billing address) as well as any contact or other information you choose to provide."
picture,we,services,"The types of information we may collect directly from you may include your name, username, email address, your picture, postal address, phone number, information about your data storage preferences, employer's name, job title, transactional information (including services purchased or subscribed to and billing address) as well as any contact or other information you choose to provide."
postal address,we,services,"The types of information we may collect directly from you may include your name, username, email address, your picture, postal address, phone number, information about your data storage preferences, employer's name, job title, transactional information (including services purchased or subscribed to and billing address) as well as any contact or other information you choose to provide."
username,we,services,"The types of information we may collect directly from you may include your name, username, email address, your picture, postal address, phone number, information about your data storage preferences, employer's name, job title, transactional information (including services purchased or subscribed to and billing address) as well as any contact or other information you choose to provide."
