data_type,collector,purpose,text
UNSPECIFIED_DATA,UNSPECIFIED_ACTOR,,SDKs may enable third parties to collect information directly via our App.
access time,advertiser,,"The Company, our service providers, and advertising partners may also automatically log information about you and your device when you visit our Sites or App, for example, (i) "" online activity information ,"" such as the website you visited before browsing to the Services, pages or screens you viewed, how long you spent on a page or screen, navigation paths between pages or screens, information about your activity on a page or screen, access times, and duration of access; and (ii) "" device information ,"" such as your computer or mobile device operating system type and version number, wireless carrier, manufacturer and model, browser type, screen resolution, IP address, unique identifiers, and general location information such as city, state, or geographic area."
access time,service provider,,"The Company, our service providers, and advertising partners may also automatically log information about you and your device when you visit our Sites or App, for example, (i) "" online activity information ,"" such as the website you visited before browsing to the Services, pages or screens you viewed, how long you spent on a page or screen, navigation paths between pages or screens, information about your activity on a page or screen, access times, and duration of access; and (ii) "" device information ,"" such as your computer or mobile device operating system type and version number, wireless carrier, manufacturer and model, browser type, screen resolution, IP address, unique identifiers, and general location information such as city, state, or geographic area."
access time,we,,"The Company, our service providers, and advertising partners may also automatically log information about you and your device when you visit our Sites or App, for example, (i) "" online activity information ,"" such as the website you visited before browsing to the Services, pages or screens you viewed, how long you spent on a page or screen, navigation paths between pages or screens, information about your activity on a page or screen, access times, and duration of access; and (ii) "" device information ,"" such as your computer or mobile device operating system type and version number, wireless carrier, manufacturer and model, browser type, screen resolution, IP address, unique identifiers, and general location information such as city, state, or geographic area."
browsing / search history,advertiser,,"The Company, our service providers, and advertising partners may also automatically log information about you and your device when you visit our Sites or App, for example, (i) "" online activity information ,"" such as the website you visited before browsing to the Services, pages or screens you viewed, how long you spent on a page or screen, navigation paths between pages or screens, information about your activity on a page or screen, access times, and duration of access; and (ii) "" device information ,"" such as your computer or mobile device operating system type and version number, wireless carrier, manufacturer and model, browser type, screen resolution, IP address, unique identifiers, and general location information such as city, state, or geographic area."
browsing / search history,service provider,,"The Company, our service providers, and advertising partners may also automatically log information about you and your device when you visit our Sites or App, for example, (i) "" online activity information ,"" such as the website you visited before browsing to the Services, pages or screens you viewed, how long you spent on a page or screen, navigation paths between pages or screens, information about your activity on a page or screen, access times, and duration of access; and (ii) "" device information ,"" such as your computer or mobile device operating system type and version number, wireless carrier, manufacturer and model, browser type, screen resolution, IP address, unique identifiers, and general location information such as city, state, or geographic area."
browsing / search history,we,analytics,"The Company, our service providers, and advertising partners may also automatically log information about you and your device when you visit our Sites or App, for example, (i) "" online activity information ,"" such as the website you visited before browsing to the Services, pages or screens you viewed, how long you spent on a page or screen, navigation paths between pages or screens, information about your activity on a page or screen, access times, and duration of access; and (ii) "" device information ,"" such as your computer or mobile device operating system type and version number, wireless carrier, manufacturer and model, browser type, screen resolution, IP address, unique identifiers, and general location information such as city, state, or geographic area."
browsing / search history,we,"analytics, services, advertising, security","The Company, our service providers, and advertising partners may also automatically log information about you and your device when you visit our Sites or App, for example, (i) "" online activity information ,"" such as the website you visited before browsing to the Services, pages or screens you viewed, how long you spent on a page or screen, navigation paths between pages or screens, information about your activity on a page or screen, access times, and duration of access; and (ii) "" device information ,"" such as your computer or mobile device operating system type and version number, wireless carrier, manufacturer and model, browser type, screen resolution, IP address, unique identifiers, and general location information such as city, state, or geographic area."
cache copy of personal information,we,analytics,We may also retain cached or archived copies of your personal information for a reasonable period of time.
choice about personal information,we,analytics,The Company provides some choices about your personal information.
choice you have with respect to personal information,we,analytics,"This Privacy Policy describes how we may collect, use, and disclose your personal information, and the choices you have with respect to your personal information, in connection with our online proprietary board management platform, which is available through our mobile app (the "" App "") and our website located at boardable.com and any other websites operated by Company that link to this Privacy Policy (collectively, the "" Sites ""), and our related online services, events, social media pages, and email and other electronic communications (for purposes of this Privacy Policy, collectively and together with the Sites and App, the "" Services "")."
cookie / pixel tag,advertiser,,"These companies may use cookies and similar technologies to collect information about you (including the online activity information and device information described above) over time across our Services and other websites and services or your interaction with our emails, and use that information to serve ads that they think will interest you.
We work with third-party advertising companies and social media companies to help us advertise our business and to display ads for our products and services."
cookie / pixel tag,we,"analytics, services","Like many online services, we use cookies and similar technologies to facilitate some of the automatic data collection described above.
We may use flash cookies, or locally-stored objects, which are used on websites for purposes similar to cookies but allow storage of a larger amount of data.
We use pixel tags and cookies in our marketing efforts so that we can track your interaction with our messages, such as when you open the email or click a URL link embedded within them."
credit / debit card number,we,"analytics, services","For example, the Company may use personal information for the following: (i) to fulfill your requests for products and services and communicate with you about those requests; (ii) to help us personalize our Services; (iii) to establish, manage, monitor, and maintain your account; (iv) to verify your identity or determine your eligibility for offers and promotions; (v) credit card information may be used to check the financial qualifications or collect payment from customers regarding orders of products and services; (vi) to respond to reviews, comments, or other feedback you provide us; (vii) to provide any surveys, questionnaires, or other promotions you participate in; (viii) to provide maintenance and support; and (ix) to fulfill any other purpose for which you provide personal information."
datum from local storage,we,"analytics, services, advertising","We use data from local storage to turn on web navigation, store multimedia preferences, customize what we show you based on your past interactions with our services, remember your preferences, and measure ad effectiveness."
event,we,"analytics, services, advertising, security, legal","This Privacy Policy describes how we may collect, use, and disclose your personal information, and the choices you have with respect to your personal information, in connection with our online proprietary board management platform, which is available through our mobile app (the "" App "") and our website located at boardable.com and any other websites operated by Company that link to this Privacy Policy (collectively, the "" Sites ""), and our related online services, events, social media pages, and email and other electronic communications (for purposes of this Privacy Policy, collectively and together with the Sites and App, the "" Services "")."
internet activity,advertiser,,"The Company, our service providers, and advertising partners may also automatically log information about you and your device when you visit our Sites or App, for example, (i) "" online activity information ,"" such as the website you visited before browsing to the Services, pages or screens you viewed, how long you spent on a page or screen, navigation paths between pages or screens, information about your activity on a page or screen, access times, and duration of access; and (ii) "" device information ,"" such as your computer or mobile device operating system type and version number, wireless carrier, manufacturer and model, browser type, screen resolution, IP address, unique identifiers, and general location information such as city, state, or geographic area."
internet activity,service provider,,"The Company, our service providers, and advertising partners may also automatically log information about you and your device when you visit our Sites or App, for example, (i) "" online activity information ,"" such as the website you visited before browsing to the Services, pages or screens you viewed, how long you spent on a page or screen, navigation paths between pages or screens, information about your activity on a page or screen, access times, and duration of access; and (ii) "" device information ,"" such as your computer or mobile device operating system type and version number, wireless carrier, manufacturer and model, browser type, screen resolution, IP address, unique identifiers, and general location information such as city, state, or geographic area."
internet activity,we,"analytics, services, advertising, security","The Company, our service providers, and advertising partners may also automatically log information about you and your device when you visit our Sites or App, for example, (i) "" online activity information ,"" such as the website you visited before browsing to the Services, pages or screens you viewed, how long you spent on a page or screen, navigation paths between pages or screens, information about your activity on a page or screen, access times, and duration of access; and (ii) "" device information ,"" such as your computer or mobile device operating system type and version number, wireless carrier, manufacturer and model, browser type, screen resolution, IP address, unique identifiers, and general location information such as city, state, or geographic area."
local storage,we,"analytics, services, advertising, security","We may use local storage, which is used to save data on a visitor's device."
machine readable copy of personal information,UNSPECIFIED_ACTOR,"security, services",You may ask us to take the following actions in relation to your personal information that we hold: Port. Transfer a machine-readable copy of your personal information to you or a third party of your choice.
machine readable copy of personal information,we,"analytics, services, advertising, security",You may ask us to take the following actions in relation to your personal information that we hold: Port. Transfer a machine-readable copy of your personal information to you or a third party of your choice.
