data_type,collector,purpose,text
UNSPECIFIED_DATA,we,,"Privacy policy

4. Personal data we collect : 4.1.  We may gather and handle the following personal details or information (data that can be uniquely associated with you) about you:
You control how long we keep your data and can decide when you want it automatically deleted."
account,we,,"To assist you further, here are the basics: for us, it's not just about adhering to the letter of the law, but also about embracing the spirit and principles behind it to protect your data and your contract with us: We will hold you to the same standards in how you treat data that is collected on our systems - Our acceptable use policy ensures that if we believe you are mishandling user data, we will hold you accountable and may delete your account."
asset,we,"analytics, services","Privacy policy

6.1.8.  We may transfer your personal information to a third party as part of a sale of some or all of our business and assets to any third party or as part of any business restructuring or reorganization, but we will take steps to ensure that your privacy rights continue to be protected;"
big bear little goose ltd,we,"analytics, services","1.1.  Big Bear Little Goose Ltd (""we"" or ""us"") takes the privacy of your information very seriously."
booking form information,we,,"Note that some data (including Calendar Information, Booking Information, and Booking Form Information) is processed by us as a ""processor"", with our account holder acting as the ""data controller"" (please refer to section 3, Data Processing, for more details on these terms)."
booking information,we,,"Note that some data (including Calendar Information, Booking Information, and Booking Form Information) is processed by us as a ""processor"", with our account holder acting as the ""data controller"" (please refer to section 3, Data Processing, for more details on these terms)."
calendar information,we,,"Note that some data (including Calendar Information, Booking Information, and Booking Form Information) is processed by us as a ""processor"", with our account holder acting as the ""data controller"" (please refer to section 3, Data Processing, for more details on these terms)."
cookie / pixel tag,bookable.page,services,"Privacy policy

17. Cookie policy : 17.1.  Like most websites and applications, Bookable.page uses cookies to help provide you with the best experience whilst using our service."
cookie / pixel tag,we,,"Cookie policy : 17.2.  On your first visit to our site from your browser, we will display a notice to notify you that we are using cookies."
datum analysis,we,"analytics, services","Privacy policy

To administer and protect our business, including troubleshooting, data analysis, testing, system maintenance, support, reporting, and hosting of data."
datum associate with you,we,,"Privacy policy

4. Personal data we collect : 4.1.  We may gather and handle the following personal details or information (data that can be uniquely associated with you) about you:"
datum you provide,we,,We will pass the data you provide onto our account holder in accordance with this privacy notice.
information about free time,we,,"Privacy policy

6.1.1.  If you are an account holder, we will share information about your free and busy times from any linked third-party calendar account (e.g., Google Calendar) with anyone seeking to make a booking using the Service (please note that any data held on third-party calendar services will be subject to their privacy terms);"
information contain in booking form,we,,"Privacy policy

6.1.3.  If you are an account holder, we will share information contained in any booking form or other content created by you with anyone seeking to make a booking using the Service;"
information obtain from google api in accordance with google api services user data policy,bookable,,"Privacy policy

Bookable will utilize information obtained from Google APIs in accordance with the Google API Services User Data Policy , including compliance with Limited Use requirements."
information you provide to we,we,,"Privacy policy

6.1.4.  If you are a Customer making a booking, we will supply any information you provide to us to our account holder;"
ip address,we,"analytics, services","Privacy policy

4. Personal data we collect : 4.5.  We use your IP address to diagnose server problems, report aggregate information, determine the fastest route for your computer to connect to our site, and to manage and improve the site."
payment history with account holder,we,"analytics, services","4.6.  If you are a customer of our account holder and they have connected with us via Stripe Connect (allowing us to collect payment on the Site), we may have access to your payment history with our account holder, even if you are not a user of the Site."
payment information,payment processor,,"Privacy policy

6.1.5.  Payment information may be provided to our payment processors;"
personal detail,we,"analytics, services","Privacy policy

4. Personal data we collect : 4.1.  We may gather and handle the following personal details or information (data that can be uniquely associated with you) about you:"
personal information,UNSPECIFIED_ACTOR,,"Privacy policy

6.1.8.  We may transfer your personal information to a third party as part of a sale of some or all of our business and assets to any third party or as part of any business restructuring or reorganization, but we will take steps to ensure that your privacy rights continue to be protected;
You may also request that we transfer your personal data directly to a third party (where technically feasible)."
personal information,we,"analytics, services","Privacy policy

4. Personal data we collect : 4.2.  We collect such information only when you choose to provide it to us.
Privacy policy

6.1.8.  We may transfer your personal information to a third party as part of a sale of some or all of our business and assets to any third party or as part of any business restructuring or reorganization, but we will take steps to ensure that your privacy rights continue to be protected;
You may also request that we transfer your personal data directly to a third party (where technically feasible)."
sar,we,"analytics, services","Privacy policy

11. Your privacy rights : 11.2.  All SARs and other requests or notifications regarding your above rights may be submitted to us via our contact page."
