data_type,collector,purpose,text
UNSPECIFIED_DATA,we,,"How long we retain your data
Who we share your data with"
article,embed content,,"Articles on this site may include embedded content (e.g. videos, images, articles, etc.)."
basic datum store,UNSPECIFIED_ACTOR,,"Likewise, the application itself has no access to this storage, nor the basic data that is stored."
basic datum store,we,,"Likewise, the application itself has no access to this storage, nor the basic data that is stored."
browser user agent string,we,security,"When visitors leave comments on this site we collect the data shown in the comments form, and also the visitor's IP address and browser user agent string to help spam detection."
datum about you,UNSPECIFIED_ACTOR,,"Embedded content from other websites

These websites may collect data about you, use cookies, embed additional third-party tracking, and monitor your interaction with that embedded content, including tracking your interaction with the embedded content if you have an account and are logged in to that website."
datum about you,embed content,,"Embedded content from other websites

These websites may collect data about you, use cookies, embed additional third-party tracking, and monitor your interaction with that embedded content, including tracking your interaction with the embedded content if you have an account and are logged in to that website."
datum show in comment form,we,security,"When visitors leave comments on this site we collect the data shown in the comments form, and also the visitor's IP address and browser user agent string to help spam detection."
email address,Automattic,,An anonymized string created from your email address (also called a hash) may be provided to the Gravatar service to see if you are using it.
ip address,we,security,"When visitors leave comments on this site we collect the data shown in the comments form, and also the visitor's IP address and browser user agent string to help spam detection."
ownership of license,single client,,"You may transfer ownership of this license to a single client, though in doing so you agree to the fact that you forfeit your right over the license and must repurchase another in order to continue using the product."
personal information,we,security,"No personal data is ever collected by Zoom, or our website, and the data stored is simply time-stamp based info on the meeting ."
personal information,zoom,,"No personal data is ever collected by Zoom, or our website, and the data stored is simply time-stamp based info on the meeting ."
personal information they provide in user profile,we,"security, services","For users that register on our website (if any), we also store the personal information they provide in their user profile."
