data_type,collector,purpose,text
Amplitude,analytic provider,services,"We may use analytics tools, including Google Analytics and Amplitude."
Google,analytic provider,services,"We may use analytics tools, including Google Analytics and Amplitude."
UNSPECIFIED_DATA,we,,"This privacy policy (""Privacy Policy"") is intended to help you understand what data we collect, what we do with it, how we protect it, and what choices you have with regard to our collection of your data through your use of the services (the ""Services"") offered by BoostUp.ai through the BoostUp.ai website (the ""Site"").
We may keep aggregated non-identifiable information without limitation, and to the extent reasonable we will delete or de-identify potentially identifiable information, when we no longer need to process the information.
We may store and process information in various sites throughout the globe, including in sites operated and maintained by cloud based service providers."
address book,boostup.ai,,"Customer Activity Data  - BoostUp.ai collects and processes activity data - email, calendar, phone data, address book, customer relationship management (""CRM"") data, etc. - of Customer communications, further referred to as ""Customer Activity Data,"" on behalf of the Customer, by allowing BoostUp.ai to access your third party services such as GSuite, Outlook, Salesforce, Microsoft Dynamics, Hubspot CRM etc."
aggregate / deidentified / pseudonymized information,we,"analytics, services","We use anonymous, statistical or aggregated information, which may be based on extracts of your personal information, for legitimate business purposes including for testing, development, control, dashboard user experience and operation of the Service."
aggregate non - identifiable information,we,"analytics, services","We may keep aggregated non-identifiable information without limitation, and to the extent reasonable we will delete or de-identify potentially identifiable information, when we no longer need to process the information."
calendar,boostup.ai,,"Customer Activity Data  - BoostUp.ai collects and processes activity data - email, calendar, phone data, address book, customer relationship management (""CRM"") data, etc. - of Customer communications, further referred to as ""Customer Activity Data,"" on behalf of the Customer, by allowing BoostUp.ai to access your third party services such as GSuite, Outlook, Salesforce, Microsoft Dynamics, Hubspot CRM etc."
cookie / pixel tag,analytic provider,services,"The privacy practices of these tools are subject to their own policies and they may use their own cookies to provide their services.
We may use analytics tools, including Google Analytics and Amplitude."
customer relationship management crm datum,boostup.ai,,"Customer Activity Data  - BoostUp.ai collects and processes activity data - email, calendar, phone data, address book, customer relationship management (""CRM"") data, etc. - of Customer communications, further referred to as ""Customer Activity Data,"" on behalf of the Customer, by allowing BoostUp.ai to access your third party services such as GSuite, Outlook, Salesforce, Microsoft Dynamics, Hubspot CRM etc."
demographic information about user as whole,boostup.ai,,"This allows our server to ""recognize"" you when your computer visits the Site in the future and helps BoostUp.ai analyze trends, track user movement in the site, and gather demographic information about our users as a whole."
different type of information,we,"analytics, services","We retain different types of information for different periods, depending on the purposes for processing the information, our legitimate business purposes as well as pursuant to legal requirements under the applicable law."
email address,boostup.ai,,"Customer Activity Data  - BoostUp.ai collects and processes activity data - email, calendar, phone data, address book, customer relationship management (""CRM"") data, etc. - of Customer communications, further referred to as ""Customer Activity Data,"" on behalf of the Customer, by allowing BoostUp.ai to access your third party services such as GSuite, Outlook, Salesforce, Microsoft Dynamics, Hubspot CRM etc."
email address,boostup.ai,services,"Customer Activity Data  - BoostUp.ai collects and processes activity data - email, calendar, phone data, address book, customer relationship management (""CRM"") data, etc. - of Customer communications, further referred to as ""Customer Activity Data,"" on behalf of the Customer, by allowing BoostUp.ai to access your third party services such as GSuite, Outlook, Salesforce, Microsoft Dynamics, Hubspot CRM etc."
