data_type,collector,purpose,text
UNSPECIFIED_DATA,UNSPECIFIED_ACTOR,,"In addition, we may share your information with third party service providers assisting with the application and recruitment process.
We may also share your information with certain third-party service providers."
UNSPECIFIED_DATA,we,"advertising, analytics, services","If deletion or anonymization is not possible (e.g., because your information is stored in backup archives), we will securely store your information and isolate it from any further processing until deletion is possible.
If you are a Visitor, you may have directly provided us with your information.
If you are an End-User, we have been provided with your information, and handle your information subject to an agreement with one of our customers.
In addition, we may share your information with third party service providers assisting with the application and recruitment process.
Our customer determines how we collect or use your data, and provides us with instructions on what to do with it in our agreement with them.
Privacy Policy

Job Candidate / Applicant Information

What Kind of Information Do We Collect?
Pursuant to the Data Privacy Framework Principles, we are obligated to inform EU, UK, and Swiss individuals whose data is transferred to the United States that we may be required to release that information in response to lawful requests by public authorities including to meet national security and law enforcement requirements.
This includes assessing your skills and qualifications, verifying your information, carrying out reference checks, carrying out background checks and improving our recruitment processes.
This means that we do not determine how we collect or use your data.
We may also keep this information on file to contact you about future opportunities unless you ask us not to do this.
We may also share your information with certain third-party service providers.
We may collect and process your information when you:
We may use your information in the following ways:
We only collect and use your data in accordance with the agreement between us and our client.
We use the information to analyse the site traffic, but we do not examine this information for individually identifying information.
We will only ever access your information to the extent required, and with the permission of our customer.
We will only use your information in connection with the services that we provide to our customer in accordance with the agreement between us and our customer.
What Types of Information do We Collect?
When you visit our Sites, portals or use our SaaS or Subscription Services, we may also collect certain information automatically from your device as further explained in the Cookies and Other Tracking Technologies section below.
Your information will either have been provided to us by our customer if they have set your account up for you, or provided to us by you where our customer has invited you to set up an account or submit information such as a resume."
account detail,we,"advertising, analytics, services","Broadly, the types of data we collect may include: Account details (username, password, login details, profile details);"
applicable assessment result,we,"advertising, analytics, services",We may collect and use the following categories of personal data about you (some or all may apply to you): Job interview notes and any applicable assessment results;
applicable assessment result,we,"advertising, analytics, services, legal",We may collect and use the following categories of personal data about you (some or all may apply to you): Job interview notes and any applicable assessment results;
class training schedule,we,"advertising, analytics, services","Broadly, the types of data we collect may include: Education or Training related data (for LMS sites only) (course enrollment, course completion, course information, quiz scores, results, class/training schedules, and other training related information determined by our customer);"
cookie / pixel tag,Google,advertising,"We, and third party vendors, including Google, use first-party cookies (such as the Google Analytics cookie) and third-party cookies (such as the DoubleClick cookie) together to inform, optimize, and serve ads based on someone's past visits to our website."
cookie / pixel tag,breezy,services,Breezy uses cookies to improve your experience.
cookie / pixel tag,we,"advertising, analytics, services","In addition to the cookies that we own, we may also use third-party cookies on our Sites for the purposes detailed above.
Our site may use session cookies, persistent cookies, and web beacons.
Our site uses cookies to distinguish you from other visitors to provide you with a better experience and to help us improve our site.
Purposes of Cookie use

We use Cookies for several purposes.
We also use analytics cookies to collect information about your use of our site, and to enable us to improve the way our site works.
We may collect and use the following categories of personal data about you (some or all may apply to you): Cookies data
We may use web beacons alone or in conjunction with cookies to compile information about your usage of our site and interaction with emails from us.
We use preference cookies to collect information about your choices and preferences, and to allow us to remember language or other local settings and customize our site accordingly.
We, and third party vendors, including Google, use first-party cookies (such as the Google Analytics cookie) and third-party cookies (such as the DoubleClick cookie) together to inform, optimize, and serve ads based on someone's past visits to our website."
cookie / pixel tag,we,"advertising, analytics, services, legal","In addition to the cookies that we own, we may also use third-party cookies on our Sites for the purposes detailed above.
Our site may use session cookies, persistent cookies, and web beacons.
Our site uses cookies to distinguish you from other visitors to provide you with a better experience and to help us improve our site.
Purposes of Cookie use

We use Cookies for several purposes.
We also use analytics cookies to collect information about your use of our site, and to enable us to improve the way our site works.
We may collect and use the following categories of personal data about you (some or all may apply to you): Cookies data
We may use web beacons alone or in conjunction with cookies to compile information about your usage of our site and interaction with emails from us.
We use preference cookies to collect information about your choices and preferences, and to allow us to remember language or other local settings and customize our site accordingly.
We, and third party vendors, including Google, use first-party cookies (such as the Google Analytics cookie) and third-party cookies (such as the DoubleClick cookie) together to inform, optimize, and serve ads based on someone's past visits to our website."
cost estimate,we,"advertising, analytics, services","If we determine that the request warrants a fee, we will tell you why we made that decision and provide you with a cost estimate before completing your request."
course completion,we,"advertising, analytics, services","Broadly, the types of data we collect may include: Education or Training related data (for LMS sites only) (course enrollment, course completion, course information, quiz scores, results, class/training schedules, and other training related information determined by our customer);"
course enrollment,we,"advertising, analytics, services","Broadly, the types of data we collect may include: Education or Training related data (for LMS sites only) (course enrollment, course completion, course information, quiz scores, results, class/training schedules, and other training related information determined by our customer);"
course information,we,"advertising, analytics, services","Broadly, the types of data we collect may include: Education or Training related data (for LMS sites only) (course enrollment, course completion, course information, quiz scores, results, class/training schedules, and other training related information determined by our customer);"
data you provide,we,"advertising, analytics, services",The types of information we may collect through our Sites include: Any other data you provide.
datum pertain to work preference,we,"advertising, analytics, services",We may collect and use the following categories of personal data about you (some or all may apply to you): Data pertaining to work preferences and abilities;
datum pertain to work preference,we,"advertising, analytics, services, legal",We may collect and use the following categories of personal data about you (some or all may apply to you): Data pertaining to work preferences and abilities;
demographic datum,we,"advertising, analytics, services",We may collect and use the following categories of personal data about you (some or all may apply to you): Demographic data and responses to screening questions;
demographic datum,we,"advertising, analytics, services, legal",We may collect and use the following categories of personal data about you (some or all may apply to you): Demographic data and responses to screening questions;
description,we,"advertising, analytics, services","Broadly, the types of data we collect may include: Employment and performance related data (for workforce management, and D&I Sites) (job roles or descriptions, performance reviews, length of service, feedback, job title, division, development goals or plans, performance plans, salary data, D&I analytics); and/or"
detail of interaction with you,we,"advertising, analytics, services","Additionally, if you or our customer contact us to report problems or ask questions about your account, we may record your contact information and details of our interaction with you or our customer in our support ticket management system."
development goal,we,"advertising, analytics, services","Broadly, the types of data we collect may include: Employment and performance related data (for workforce management, and D&I Sites) (job roles or descriptions, performance reviews, length of service, feedback, job title, division, development goals or plans, performance plans, salary data, D&I analytics); and/or"
division,we,"advertising, analytics, services","Broadly, the types of data we collect may include: Employment and performance related data (for workforce management, and D&I Sites) (job roles or descriptions, performance reviews, length of service, feedback, job title, division, development goals or plans, performance plans, salary data, D&I analytics); and/or"
education relate datum,we,"advertising, analytics, services","Broadly, the types of data we collect may include: Education or Training related data (for LMS sites only) (course enrollment, course completion, course information, quiz scores, results, class/training schedules, and other training related information determined by our customer);"
email address,we,"advertising, analytics, services","Broadly, the types of data we collect may include: Contact details (name, work/institution phone or email, personal phone or email (for recruitment Sites only));"
email address,we,"advertising, analytics, services, legal","Broadly, the types of data we collect may include: Contact details (name, work/institution phone or email, personal phone or email (for recruitment Sites only));"
employment datum,we,"advertising, analytics, services","Broadly, the types of data we collect may include: Employment and performance related data (for workforce management, and D&I Sites) (job roles or descriptions, performance reviews, length of service, feedback, job title, division, development goals or plans, performance plans, salary data, D&I analytics); and/or"
feedback,we,"advertising, analytics, services","Broadly, the types of data we collect may include: Employment and performance related data (for workforce management, and D&I Sites) (job roles or descriptions, performance reviews, length of service, feedback, job title, division, development goals or plans, performance plans, salary data, D&I analytics); and/or"
financial data,we,"advertising, analytics, services",We may collect and use the following categories of personal data about you (some or all may apply to you): Financial data; and
financial data,we,"advertising, analytics, services, legal",We may collect and use the following categories of personal data about you (some or all may apply to you): Financial data; and
geolocation,we,"advertising, analytics, services","Broadly, the types of data we collect may include: Location (IP address);
The types of information we may collect through our Sites include: Location (IP address);"
identification datum,we,"advertising, analytics, services",We may collect and use the following categories of personal data about you (some or all may apply to you): Identification data;
identification datum,we,"advertising, analytics, services, legal",We may collect and use the following categories of personal data about you (some or all may apply to you): Identification data;
information about choice,we,"advertising, analytics, services","We use preference cookies to collect information about your choices and preferences, and to allow us to remember language or other local settings and customize our site accordingly."
information about use of site,we,"advertising, analytics, services","We also use analytics cookies to collect information about your use of our site, and to enable us to improve the way our site works."
information collect from partner,we,"advertising, analytics, services","We use the information collected from partners, reseller and suppliers to effectively manage our business relationships, including communication and contract management."
information concern they concern they,we,"advertising, analytics, services","When we engage a contractor, partner, or supplier, we may collect certain information concerning them concerning them (or as the case maybe be, their customers)."
information on health condition,we,"advertising, analytics, services",We may collect and use the following categories of personal data about you (some or all may apply to you): Information on certain health conditions (only where required by law);
