data_type,collector,purpose,text
UNSPECIFIED_DATA,UNSPECIFIED_ACTOR,,We may share your information with third-party integrations that you choose to connect with our service.
UNSPECIFIED_DATA,we,"analytics, services","We may share your information with third-party integrations that you choose to connect with our service.
We only use your data for the purposes of enabling and maintaining the integrations that you choose to activate.
We process our data in the United States and store it in Canada at rest.
We store your data in a secure database and encrypt the most sensitive information such as third-party integrations authentication.
We use your data to calculate your availability based on your calendar events and preferences, and to simplify scheduling meetings by sending invitations and reminders to you and your invitees."
availability,algorithm,services,Our algorithms analyze your availability and preferences to suggest optimal meeting times.
calendar event datum,we,"analytics, services",We use your calendar events data to show you an aggregated view of your events and to calculate your availability for scheduling meetings with your invitees.
cookie / pixel tag,we,"analytics, services, security","We use cookies and other ad technology such as web beacons, pixels, and tags to compile information about your usage of our Websites or Services and give you a personalized experience in a faster and more secure way."
datum necessary,we,"analytics, services, security",We only store the data necessary for providing our services.
email address,platform,,"For example, if you authorize us to share your information with a calendar provider, we may share your name, email address, and contacts with that platform."
email address,we,"analytics, services, security","For example, if you authorize us to share your information with a calendar provider, we may share your name, email address, and contacts with that platform."
information require for,we,"analytics, services, security",We only store information required for offering our services.
person name,platform,,"For example, if you authorize us to share your information with a calendar provider, we may share your name, email address, and contacts with that platform."
person name,we,"analytics, services, security","For example, if you authorize us to share your information with a calendar provider, we may share your name, email address, and contacts with that platform."
preference,algorithm,services,Our algorithms analyze your availability and preferences to suggest optimal meeting times.
