data_type,collector,purpose,text
UNSPECIFIED_DATA,administrative commercial marketing legal system administrator,,"In addition to the Data Controller, in some cases, other subjects involved in the organization of this Website (administrative, commercial, marketing, legal, system administrators) or external subjects (such as third party technical service providers, postal couriers) may have access to the Data."
UNSPECIFIED_DATA,postal courier,,"In addition to the Data Controller, in some cases, other subjects involved in the organization of this Website (administrative, commercial, marketing, legal, system administrators) or external subjects (such as third party technical service providers, postal couriers) may have access to the Data."
access,Google,,This access is provided by Google LLC under strict terms.
datum on web traffic relate to page instal,type of service,,"This type of service may still collect data on web traffic relating to the pages where the service is installed, even when users do not use it."
information regard specific service,we,,"At the request of the User, in addition to the information contained in this privacy policy, this Website may provide the User with additional and contextual information regarding specific Services, or the collection and processing of Personal Data."
payment,website app,,"Unless otherwise specified, this Website / App processes all payments by credit card, bank transfer or other means through external payment service providers."
personal data relate to user,data controller,,"The Data Controller processes Personal Data relating to the User if the following conditions exist 

1."
say datum,data controller,,"In particular, where personal data are collected and processed for marketing purposes, the Data Controller will keep and process said data no later than 5 years from the moment the data subject has given the last express consent for this purpose. 

Furthermore, the Data Controller may be obliged to keep Personal Data for a longer period in compliance with a legal obligation or by order of an authority."
system log,UNSPECIFIED_ACTOR,services,"For needs related to operation and maintenance, this Website and any third party services used by it may collect system logs, which are files that record the interactions and which may also contain Personal Data, such as the IP address User."
system log,we,services,"For needs related to operation and maintenance, this Website and any third party services used by it may collect system logs, which are files that record the interactions and which may also contain Personal Data, such as the IP address User."
traffic datum,data controller,,The services contained in this section allow the Data Controller to monitor and analyze traffic data and are used to keep track of User behavior.
user data,UNSPECIFIED_ACTOR,"services, legal","User Data will be transferred to third parties only if necessary, to provide or improve the User interface functionality and if necessary to comply with applicable law or as part of a merger, acquisition or sale of assets upon prior notice to Users."
