data_type,collector,purpose,text
UNSPECIFIED_DATA,UNSPECIFIED_ACTOR,,"We may also disclose information or allow third parties to directly collect information using third party cookies and related tracking technologies (such as pixels and web beacons) on our Website, such as social media companies, advertising networks, companies that provide analytics (including ad tracking and reporting), security providers and others that help us operate our Services and Website.
We may disclose information to current or future affiliates or subsidiaries for purposes consistent with this Privacy Notice."
UNSPECIFIED_DATA,advertiser,,"We may disclose information to third party partners, including marketing, advertising and analytics providers."
UNSPECIFIED_DATA,analytic provider,,"We may disclose information to third party partners, including marketing, advertising and analytics providers."
UNSPECIFIED_DATA,current affiliate,,We may disclose information to current or future affiliates or subsidiaries for purposes consistent with this Privacy Notice.
UNSPECIFIED_DATA,service providers,"analytics, legal, security, services","In addition, we may share information with Service Providers for legal, security, and safety purposes.
These Service Providers may have access to your Personal Data or other information to provide these functions.
We may also disclose information to Service Providers for certain web tracking purposes, including allowing Service Providers to directly collect information using Cookies and related tracking technologies (such as pixels and web beacons).  For example, we use session replay, session recording and similar tools provided by Service Providers to record your interactions with our Website, such as how you move throughout our Website and engage with our webforms.
We may also engage Service Providers to provide services such as monitoring and developing Calendly Services; aiding in communications, infrastructure, and IT services; customer service; debt collection; and analyzing and enhancing data."
UNSPECIFIED_DATA,we,"analytics, legal, security, services","If a customer has multiple account holders, then each account holder will provide us with similar information.
In addition, we may share information with Service Providers for legal, security, and safety purposes.
Privacy Notice

With Whom We May Share Your Information.
We also may use your information to manage our business or perform functions as otherwise described to you at the time of collection subject to your consent where legally required.
We may also disclose information or allow third parties to directly collect information using third party cookies and related tracking technologies (such as pixels and web beacons) on our Website, such as social media companies, advertising networks, companies that provide analytics (including ad tracking and reporting), security providers and others that help us operate our Services and Website.
We may also disclose information to Service Providers for certain web tracking purposes, including allowing Service Providers to directly collect information using Cookies and related tracking technologies (such as pixels and web beacons).  For example, we use session replay, session recording and similar tools provided by Service Providers to record your interactions with our Website, such as how you move throughout our Website and engage with our webforms.
We may also sell or share information to the extent our use of cookies and tracking technologies for targeted advertising or analytics purposes constitutes a ""sale"" or ""share"" under the CCPA.
We may disclose information to current or future affiliates or subsidiaries for purposes consistent with this Privacy Notice.
We may disclose information to third party partners, including marketing, advertising and analytics providers.
We may share your data if we believe that disclosure is reasonably necessary to comply with a law, regulation, legal, or governmental request; to respond to a subpoena, court order, warrant, or other legal process; to enforce applicable Terms or this Privacy Notice, including investigation of potential violations thereof; to protect the safety, rights, or property of the public, any person, or Calendly; to detect, prevent, or otherwise address, security or technical issues, illegal, or suspected illegal activities (including fraud); or as evidence in litigation in which we are involved, or as part of a judicial or regulatory proceeding.
We may use your information to comply with applicable legal or regulatory obligations, including complying with requests from law enforcement or other governmental authorities, or in legal proceedings involving Calendly.
We will also use your information to respond to your questions or comments.
We will use your information to protect our rights and interests as well as the rights and interests of our customers and any other person, as well as to enforce this Privacy Notice or our Terms.
We will use your information to provide our Services to you, including to facilitate scheduling; record, transcribe and summarize your meetings; help manage your customer relationships; create and manage your account; respond to your inquiries; prevent or address service errors, security, or technical issues; analyze and monitor usage; prevent spam, fraud and abuse on the Services; investigate potential violations of our Terms, verify your identity; and for other customer service and support purposes."
ad tracking,analytic provider,,"We may also disclose information or allow third parties to directly collect information using third party cookies and related tracking technologies (such as pixels and web beacons) on our Website, such as social media companies, advertising networks, companies that provide analytics (including ad tracking and reporting), security providers and others that help us operate our Services and Website."
avatar,UNSPECIFIED_ACTOR,,"For example, these third party sources may provide Calendly with name, email address, phone number, location of business, time zone, biographical details, job title, employer (and related company details), employment seniority, social media usernames and avatars, and social media activity details."
avatar,calendly,advertising,"Calendly uses this information to assist with its sales and marketing efforts.
For example, these third party sources may provide Calendly with name, email address, phone number, location of business, time zone, biographical details, job title, employer (and related company details), employment seniority, social media usernames and avatars, and social media activity details."
biographical detail,UNSPECIFIED_ACTOR,,"For example, these third party sources may provide Calendly with name, email address, phone number, location of business, time zone, biographical details, job title, employer (and related company details), employment seniority, social media usernames and avatars, and social media activity details."
