data_type,collector,purpose,text
UNSPECIFIED_DATA,UNSPECIFIED_ACTOR,"advertising, analytics","We will share information we collect about you, including personal information, in the following ways: We may disclose your information to current or future affiliates or subsidiaries for research, marketing, and other purposes consistent with this Privacy Policy."
UNSPECIFIED_DATA,current affiliate,"advertising, analytics","We will share information we collect about you, including personal information, in the following ways: We may disclose your information to current or future affiliates or subsidiaries for research, marketing, and other purposes consistent with this Privacy Policy."
UNSPECIFIED_DATA,we,"advertising, analytics, legal, security, services","Privacy Policy

With Whom We May Share Your Information
This Policy describes the following: What information we collect and how it is collected;
This Policy describes the following: With whom we may share information;
We also may use your information to manage our business or perform functions as otherwise described to you at the time of collection.
We may share your data: if we believe that disclosure is reasonably necessary to comply with a law, regulation, legal or governmental request; to respond to a subpoena, court order, warrant, or other legal process; to enforce applicable terms of use or this Policy, including investigation of potential violations thereof; to protect the safety, rights, or property of the public, any person, or Calendr; to detect, prevent, or otherwise address, security, or technical issues or illegal or suspected illegal activities (including fraud); or as evidence in litigation in which we are involved, as part of a judicial or regulatory proceeding.
We may use information that we collect about you, including personal information, to: We will use your information to provide our Site, App, and Services to you; to facilitate scheduling; to manage your account; to respond to your inquires; and for other customer service and support purposes.
We may use your information to comply with applicable legal or regulatory obligations, including informal requests from law enforcement or other governmental authorities.
We process information on behalf of our customers who have legitimate interests in operating their businesses.
We will also use your information to respond to your questions or comments.
We will share information we collect about you, including personal information, in the following ways: We may disclose your information to current or future affiliates or subsidiaries for research, marketing, and other purposes consistent with this Privacy Policy.
We will use your information to protect our rights and interests as well as the rights and interests of our users and any other person, as well as to enforce this Policy or our Terms of Service.
When a Calendr Guest comes to Calendr to schedule an event with a Calendr User, you voluntarily give us certain information."
aggregate / deidentified / pseudonymized information,we,"advertising, analytics, legal, security, services","We will share information we collect about you, including personal information, in the following ways: We may disclose aggregate, anonymous, or de-identified information about users for marketing, advertising, research, compliance, or other purposes."
basic profile,we,"advertising, analytics, legal, security, services","For example, with your consent, you may link your Calendr account with your Google, Microsoft Office 365 account, or other similar service, which allows us to obtain information from those accounts (like your basic profile or contacts)."
confirmation,we,"advertising, analytics, legal, security, services","To help us make emails more useful and interesting, we often receive a confirmation when you open email from Calendr if your computer supports such capabilities."
contact,we,"advertising, analytics, legal, security, services","For example, with your consent, you may link your Calendr account with your Google, Microsoft Office 365 account, or other similar service, which allows us to obtain information from those accounts (like your basic profile or contacts)."
cookie / pixel tag,service provider,"analytics, services","Like many websites, we and our service providers use cookies, web beacons and other technologies to receive and store certain types of information when you interact with us through your computer or mobile device."
cookie / pixel tag,we,"advertising, analytics, legal, security, services","Depending on how you're accessing our products, we may use ""cookies"" (a small text file sent by your computer each time you visit our website, unique to your Calendr account or your browser) or similar technologies to record log data.
For example, we may use cookies to keep you logged in to Calendr.
Like many websites, we and our service providers use cookies, web beacons and other technologies to receive and store certain types of information when you interact with us through your computer or mobile device.
When we use cookies, we may use ""session"" cookies (that last until you close your browser) or ""persistent"" cookies (that last until you or your browser delete them)."
credit / debit card number,third party payment processor,,"If you purchase a premium version of Calendr, our third party payment processors will collect and store your billing address and credit card information."
credit / debit card number,we,"advertising, analytics, legal, security, services",We store the last four digits of your credit card number and the expiration date.
date,we,"advertising, analytics, legal, security, services","For example, to schedule a meeting you may only need to provide us with a name, email address, date and time."
email address,we,"advertising, analytics, legal, security, services","For Calendr users who are not Calendr Users, we may use the email address(es) that you enter through email invitations to send any type of direct marketing or other information about our services.
For example, to schedule a meeting you may only need to provide us with a name, email address, date and time."
expiration date,we,"advertising, analytics, legal, security, services",We store the last four digits of your credit card number and the expiration date.
information about you,we,"advertising, analytics, legal, security, services",We collect information about you directly from you and automatically through your use of our Platform.
information browser send,we,"advertising, analytics, legal, security, services","Here are some of the types of information we collect: When you use Calendr, our servers automatically record information (""log data""), including information that your browser sends whenever you visit our Website."
information we obtain about user of website,we,"advertising, analytics, legal, security, services","We want you to feel confident using our services, and this privacy policy (""Policy"") is to help you understand and describe how we collect, use, and disclose information that we obtain about users of our websites, services, plug-ins, software or other Downloadable Tools (all of which we refer to as the ""Platform"")."
log datum,we,"advertising, analytics, legal, security, services","Here are some of the types of information we collect: When you use Calendr, our servers automatically record information (""log data""), including information that your browser sends whenever you visit our Website."
person name,we,"advertising, analytics, legal, security, services","For example, to schedule a meeting you may only need to provide us with a name, email address, date and time."
personal information of calendlr users,we,"advertising, analytics, legal, security, services","We rely on the following legal grounds to process your personal information: We may need to collect and use your personal information of Calendlr Users and Calendr Guests, as applicable, to perform our contractual obligations."
postal address,third party payment processor,,"If you purchase a premium version of Calendr, our third party payment processors will collect and store your billing address and credit card information."
small text file send,we,"advertising, analytics, legal, security, services","Depending on how you're accessing our products, we may use ""cookies"" (a small text file sent by your computer each time you visit our website, unique to your Calendr account or your browser) or similar technologies to record log data."
technical information,we,"advertising, analytics, legal, security, services",We may use technical information as described in this Policy and use personal information for our marketing purposes consistent with our legitimate interests and any choices that we offer or consents that may be required under applicable law.
time,we,"advertising, analytics, legal, security, services","For example, to schedule a meeting you may only need to provide us with a name, email address, date and time."
