data_type,collector,purpose,text
availability,we,,"We collect your name, email, password hash, timezone, date & time format settings, profile picture, availability (schedule), and event data."
calendar setting,we,,"From Google and Microsoft accounts, we access a list of calendars, a list of events for the primary calendar, calendar settings, and your contact information."
contact information,we,,"From Google and Microsoft accounts, we access a list of calendars, a list of events for the primary calendar, calendar settings, and your contact information."
date format setting,we,,"We collect your name, email, password hash, timezone, date & time format settings, profile picture, availability (schedule), and event data."
email address,we,,"We collect your name, email, password hash, timezone, date & time format settings, profile picture, availability (schedule), and event data."
event datum,we,,"We collect your name, email, password hash, timezone, date & time format settings, profile picture, availability (schedule), and event data."
information provide,we,,"2.1 Information Provided by You
You provide us with this information directly during signup or by using our app."
information we collect,we,,"Privacy Policy

2. Information We Collect
You provide us with this information directly during signup or by using our app."
list of calendar,we,,"From Google and Microsoft accounts, we access a list of calendars, a list of events for the primary calendar, calendar settings, and your contact information."
list of event for primary calendar,we,,"From Google and Microsoft accounts, we access a list of calendars, a list of events for the primary calendar, calendar settings, and your contact information."
password hash,we,,"We collect your name, email, password hash, timezone, date & time format settings, profile picture, availability (schedule), and event data."
person name,we,,"We collect your name, email, password hash, timezone, date & time format settings, profile picture, availability (schedule), and event data."
personal information,we,,"Calfrenzy operates on a global scale, and we may transfer your personal data across borders."
profile picture,we,,"We collect your name, email, password hash, timezone, date & time format settings, profile picture, availability (schedule), and event data."
schedule,we,,"We collect your name, email, password hash, timezone, date & time format settings, profile picture, availability (schedule), and event data."
timezone,we,,"We collect your name, email, password hash, timezone, date & time format settings, profile picture, availability (schedule), and event data."
