data_type,collector,purpose,text
UNSPECIFIED_DATA,UNSPECIFIED_ACTOR,,"To keep your data safe and maintain your privacy we have the following approach: They can only use the information for that specific purpose;
We sometimes share personal information with carefully selected and trusted third parties."
UNSPECIFIED_DATA,we,analytics,"Access your information - you can request access to or a copy of your personal information and check what information we hold about you.
Consent - In certain situations we can process your data with your consent.
For example, we may use your information to build a more accurate picture of you to better inform our business decisions.
This means that we may need your information and use in a way that can reasonably be expected as part of us running Casting Workbook and does not materially impact your rights, freedoms or interests.
To keep your data safe and maintain your privacy we have the following approach: We only provide the information they need to undertake that service;
We may process data including the following personal information about you, where supplied: Information/ documents you may provide to prove age, identity or other requirement where the law requires this to confirm discount eligibility;
We will only collect, use, store, share (and any other of the defined uses of processing data) where there is a lawful basis as defined by data protection legislation, and do not collect more information than we need to fulfill the purpose."
broad demographic information,we,analytics,"We generally only use IP addresses to analyze trends, administer our website, track general user movements and gather broad demographic information for aggregate use, or where investigating possible criminal activity."
client support,casting workbook,"analytics, services","About : Client Support
Casting Workbook: The Talent Engine Login Join Contacts Post a Casting Notice"
cookie / pixel tag,casting workbook,"analytics, services","Casting Workbook also uses cookies to track and analyze visits to our site and the use of video and audio material, with the aim of constantly improving our site services and ensuring that we are adequately supporting the growing number of visitors to our site.
Cookies from third parties may also be used by Casting Workbook to help us understand how our visitors engage with the website and to determine, for instance, the number of people who click on an advertisement and subsequently buy our services."
document you provide,we,analytics,"We may process data including the following personal information about you, where supplied: Information/ documents you may provide to prove age, identity or other requirement where the law requires this to confirm discount eligibility;"
email address,casting workbook,"analytics, services",Casting Workbook may also gather information such as your name and email address within the app; such personal data will be administrated in line with this privacy policy.
evidence of breach,we,analytics,Should a breach of personal data occur (whether in respect of you or someone else) then we must take notes and keep evidence of that breach.
geolocation,we,analytics,"We may process data including the following personal information about you, where supplied: Address(es) or location data;"
information about you,we,analytics,"For example, by becoming a Casting Workbook member we will collect information about you so we can deliver the service to you."
information contain within public profile,UNSPECIFIED_ACTOR,,"We sometimes share personal information with carefully selected and trusted third parties.
Wherever possible only information contained within your public profile would be released to such third parties."
ip address,we,analytics,"We generally only use IP addresses to analyze trends, administer our website, track general user movements and gather broad demographic information for aggregate use, or where investigating possible criminal activity.
When you access the Casting Workbook site we will log your IP address."
link to social medium,we,analytics,"We may process data including the following personal information about you, where supplied: URLs and links to social media;"
management,casting workbook,"analytics, services","About : Management
Casting Workbook: The Talent Engine Login Join Contacts Post a Casting Notice"
payment detail,we,analytics,We will retain payment details briefly (the duration of time it takes to complete each transaction) whilst purchases are made through our online shop.
person name,casting workbook,"analytics, services",Casting Workbook may also gather information such as your name and email address within the app; such personal data will be administrated in line with this privacy policy.
