data_type,collector,purpose,text
UNSPECIFIED_DATA,we,services,"We use different methods to collect data from and about you, including through:"
cookie / pixel tag,we,"services, advertising, legal","But in order to comply with your preferences, we'll have to use just one tiny cookie so that you're not asked to make this choice again.
This website stores cookies on your computer."
datum about you,UNSPECIFIED_ACTOR,,Clicking on those links or enabling those connections may allow third parties to collect or share data about you.
different kind,we,"services, advertising, legal","We may collect, use, store, and transfer different kinds of personal data about you, which we have grouped together as follows:"
different kind,we,"services, advertising, legal, analytics, security","We may collect, use, store, and transfer different kinds of personal data about you, which we have grouped together as follows:"
different method,we,"services, advertising, legal","We use different methods to collect data from and about you, including through:"
personal datum in structured use machine readable format,UNSPECIFIED_ACTOR,,"You have the right to: Request the transfer of your personal data to you or to a third party: We will provide to you, or a third party you have chosen, your personal data in a structured, commonly used, machine-readable format."
personal datum in structured use machine readable format,we,"services, advertising, legal","You have the right to: Request the transfer of your personal data to you or to a third party: We will provide to you, or a third party you have chosen, your personal data in a structured, commonly used, machine-readable format."
specific information,we,"services, advertising, legal, analytics, security",We may need to request specific information from you to help us confirm your identity and ensure your right to access your personal data (or to exercise any of your other rights).
technical data about equipment,we,"services, advertising, legal, analytics, security","As you interact with our website, we will automatically collect Technical Data about your equipment, browsing actions, and patterns.
We collect this personal data by using cookies, server logs, and other similar technologies."
technical data about you,we,"services, advertising, legal, analytics, security",We may also receive Technical Data about you if you visit other websites employing our cookies.
