data_type,collector,purpose,text
UNSPECIFIED_DATA,UNSPECIFIED_ACTOR,,"We may share your data with third-party vendors, service providers, contractors, or agents (""third parties"") who perform services for us or on our behalf and require access to such information to do that work."
UNSPECIFIED_DATA,business partner,advertising,"We may share your information with our business partners to offer you certain products, services, or promotions."
UNSPECIFIED_DATA,contractor,,"We may share your data with third-party vendors, service providers, contractors, or agents (""third parties"") who perform services for us or on our behalf and require access to such information to do that work."
UNSPECIFIED_DATA,service provider,,"We may share your data with third-party vendors, service providers, contractors, or agents (""third parties"") who perform services for us or on our behalf and require access to such information to do that work."
UNSPECIFIED_DATA,we,"advertising, analytics, legal, security, services","For instance, depending on the type of request you submit, we may ask you to provide certain information so that we can match the information you provide with the information we already have on file, or we may contact you through a communication method (e.g., phone or email) that you have previously provided to us.
However, we may retain some information in our files to prevent fraud, troubleshoot problems, assist with any investigations, enforce our legal terms and/or comply with applicable legal requirements.
II. How do we process your information?
IX. Do we collect information from minors?
If you are using our applications, we may also collect information about the phone network associated with your mobile device, your mobile device's operating system or platform, the type of mobile device you use, your mobile device's unique device ID, and information about the features of our applications you accessed.
If you choose to register in this way, we will collect the information described in the section called ""HOW DO WE HANDLE YOUR SOCIAL LOGINS?"" below.
If you use our applications, we also may collect the following information if you choose to provide us with access or permission:
In Short: We keep your information for as long as necessary to fulfill the purposes outlined in this privacy notice unless otherwise required by law.
In Short: We may use cookies and other tracking technologies to collect and store your information.
In Short: We process your information to provide, improve, and administer our Services, communicate with you, for security and fraud prevention, and to comply with law.
In some exceptional cases, we may be legally permitted under applicable law to process your information without your consent, including, for example:
Like many businesses, we also collect information through cookies and similar technologies.
We automatically collect certain information when you visit, use, or navigate the Services.
We may also process your information for other purposes with your consent.
We may process information about how you use our Services to better understand how they are being used so we can improve them.
We may process your information as part of our efforts to keep our Services safe and secure, including fraud monitoring and prevention.
We may process your information if you choose to use any of our offerings that allow for communication with another user.
We may process your information if you have given us specific permission (i.e., express consent) to use your personal information for a specific purpose, or in situations where your permission can be inferred (i.e., implied consent).
We may process your information so you can create and log in to your account, as well as keep your account in working order.
We may process your information to better understand how to provide marketing and promotional campaigns that are most relevant to you.
We may process your information to fulfill and manage your orders, payments, returns, and exchanges made through the Services.
We may process your information to provide you with the requested service.
We may process your information to respond to your inquiries and solve any potential issues you might have with the requested service.
We may process your information to send you details about our products and services, changes to our terms and policies, and other similar information.
We may process your information when necessary to request feedback and to contact you about your use of our Services.
We may process your information when necessary to save or protect an individual's vital interest, such as to prevent harm.
We may share information in specific situations and with specific categories of third parties.
We may share or transfer your information in connection with, or during negotiations of, any merger, sale of company assets, financing, or acquisition of all or a portion of our business to another company.
We may share your data with third-party vendors, service providers, contractors, or agents (""third parties"") who perform services for us or on our behalf and require access to such information to do that work.
We may share your information with our affiliates, in which case we will require those affiliates to honor this privacy notice.
We may share your information with our business partners to offer you certain products, services, or promotions."
browser type,we,"advertising, analytics, legal, security, services","We automatically collect device information (such as your mobile device ID, model, and manufacturer), operating system, version information and system configuration information, device and application identification numbers, browser type and version, hardware model Internet service provider and/or mobile carrier, and Internet Protocol (IP) address (or proxy server)."
cookie / pixel tag,we,"advertising, analytics, legal, security, services","In Short: We may use cookies and other tracking technologies to collect and store your information.
We may use cookies and similar tracking technologies (like web beacons and pixels) to access or store information."
device identification number,we,"advertising, analytics, legal, security, services","We automatically collect device information (such as your mobile device ID, model, and manufacturer), operating system, version information and system configuration information, device and application identification numbers, browser type and version, hardware model Internet service provider and/or mobile carrier, and Internet Protocol (IP) address (or proxy server)."
information about you,we,"advertising, analytics, legal, security, services","In Short: If you choose to register or log in to our services using a social media account, we may have access to certain information about you."
information in specific situation describe in section,Acosta Sales & Marketing,,"Data Analytics Services Finance & Accounting Tools Cloud Computing Services Communication & Collaboration Tools Data Storage Service Providers Payment Processors Performance Monitoring Tools Sales & Marketing Tools
In Short: We may share information in specific situations described in this section and/or with the following categories of third parties."
information in specific situation describe in section,analytic provider,,"Data Analytics Services Finance & Accounting Tools Cloud Computing Services Communication & Collaboration Tools Data Storage Service Providers Payment Processors Performance Monitoring Tools Sales & Marketing Tools
In Short: We may share information in specific situations described in this section and/or with the following categories of third parties."
information in specific situation describe in section,we,"advertising, analytics, legal, security, services",In Short: We may share information in specific situations described in this section and/or with the following categories of third parties.
information we receive,we,"advertising, analytics, legal, security, services",We will use the information we receive only for the purposes that are described in this privacy notice or that are otherwise made clear to you on the relevant Services.
ip address,we,"advertising, analytics, legal, security, services","We automatically collect device information (such as your mobile device ID, model, and manufacturer), operating system, version information and system configuration information, device and application identification numbers, browser type and version, hardware model Internet service provider and/or mobile carrier, and Internet Protocol (IP) address (or proxy server)."
operating system,we,"advertising, analytics, legal, security, services","We automatically collect device information (such as your mobile device ID, model, and manufacturer), operating system, version information and system configuration information, device and application identification numbers, browser type and version, hardware model Internet service provider and/or mobile carrier, and Internet Protocol (IP) address (or proxy server)."
option,we,"advertising, analytics, legal, security, services","We may provide you with the option to register with us using your existing social media account details, like your Facebook, Twitter, or other social media account."
payment datum,Stripe,,All payment data is stored by Stripe and Intact.
payment datum,intact,,All payment data is stored by Stripe and Intact.
personal information outside,we,"advertising, analytics, legal, security, services","We may also collect other personal information outside of these categories instances where you interact with us in person, online, or by phone or mail in the context of:"
personal information provide in request,we,"advertising, analytics, legal, security, services",We will only use personal information provided in your request to verify your identity or authority to make the request.
personal information you send to we,we,"advertising, analytics, legal, security, services","We may process the personal information you send to us for our marketing purposes, if this is in accordance with your marketing preferences."
profile information,we,"advertising, analytics, legal, security, services","The profile information we receive may vary depending on the social media provider concerned, but will often include your name, email address, friends list, and profile picture, as well as other information you choose to make public on such a social media platform."
profile information about you,we,"advertising, analytics, legal, security, services","Where you choose to do this, we will receive certain profile information about you from your social media provider."
system configuration information,we,"advertising, analytics, legal, security, services","We automatically collect device information (such as your mobile device ID, model, and manufacturer), operating system, version information and system configuration information, device and application identification numbers, browser type and version, hardware model Internet service provider and/or mobile carrier, and Internet Protocol (IP) address (or proxy server)."
verification method,we,"advertising, analytics, legal, security, services",We may also use other verification methods as the circumstances dictate.
version information,we,"advertising, analytics, legal, security, services","We automatically collect device information (such as your mobile device ID, model, and manufacturer), operating system, version information and system configuration information, device and application identification numbers, browser type and version, hardware model Internet service provider and/or mobile carrier, and Internet Protocol (IP) address (or proxy server)."
