data_type,collector,purpose,text
UNSPECIFIED_DATA,UNSPECIFIED_ACTOR,advertising,"Privacy Terms

CrmOne Privacy Policies

We share your data with third parties when you give us consent to do so.
These companies may use information about your visits to this and other websites in order to provide relevant advertisements about goods and services that you may be interested in."
UNSPECIFIED_DATA,advertiser,advertising,Our ad network partner uses cookies and web beacons to collect information about your activities on this and other websites to provide you targeted advertising based upon your interests.
UNSPECIFIED_DATA,copyright agent,,"If you believe that your work has been copied in a way that constitutes infringement on CrmOne's website, please provide the following information to CrmOne's Copyright Agent."
UNSPECIFIED_DATA,crmone affiliates we have operation,services,"To facilitate our global operations, we may transfer information to other CrmOne Affiliates where we have operations for the purposes described in this policy."
UNSPECIFIED_DATA,service offerings,,"The Service Offerings may use, transfer, and/or store your data or information outside of the CrmOne Marketplace or CrmOne product, and we are not responsible for any such use, transfer, or storage."
UNSPECIFIED_DATA,service provider,"advertising, analytics, services",We may need to share your information with service providers to provide information about products or services to you.
UNSPECIFIED_DATA,trusted crmone partner,"advertising, analytics, services","We may share data with trusted CrmOne partners to contact you based on your request to receive such communications, help us perform statistical analysis, provide sales support, or provide customer support."
UNSPECIFIED_DATA,we,"advertising, analytics, security, services","After a reasonable period of time, we will either delete or anonymize your information or, if this is not possible, then we will securely store your information and isolate it from any further use until deletion is possible.
Privacy Terms

CrmOne Privacy Policies

1. What Information We Collect and Process
Privacy Terms

CrmOne Privacy Policies

We share your data with third parties when you give us consent to do so.
To facilitate our global operations, we may transfer information to other CrmOne Affiliates where we have operations for the purposes described in this policy.
We may collect information about what types of integrations you use in your CrmOne account.
We may receive and use this information from these service providers and other sources in combination with other information we collect through other means described in this Privacy Policy for the purposes of providing you with updates and an improved Subscription Service, like personalised communications, event promotion, and tailoring the websites or product to improve user experience.
We may receive information from third party service providers, from related companies, and from our business and solution partners.
We may share data with trusted CrmOne partners to contact you based on your request to receive such communications, help us perform statistical analysis, provide sales support, or provide customer support.
We receive information from third party service providers and other sources such as third party providers of business information and publicly available sources.
We store our customers' information on our service providers' servers but process it as a processor under our customers' instructions and in accordance with our Customer Terms of service, which prohibit us from using the information except as necessary to provide and improve the Subscription Service and as required by law.
We use your information to provide customer support, such as resolving technical issues you encounter and analysing product outages or bugs.
We use your information to verify user accounts, new product sign-ups, and to detect and prevent product abuse.
We will: notify you in writing promptly upon becoming aware of any such claim; give you sole control of the defense or settlement of such a claim; and provide you (at your expense) with any and all information and assistance reasonably requested by you to handle the defense or settlement of the claim.
We will: notify you in writing within thirty (30) days of our becoming aware of any such claim, give you sole control of the defense or settlement of such a claim, and provide you (at your expense) with any and all information and assistance reasonably requested by you to handle the defense or settlement of the claim.
We will: notify you in writing within thirty (30) days of our becoming aware of any such claim; give you sole control of the defense or settlement of such a claim; and provide you (at your expense) with any and all information and assistance reasonably requested by you to handle the defense or settlement of the claim.
What data we collect.
When you engage with these co-marketing partners, we will tell you who we are sharing data with, and provide a link to the co-marketing partner's privacy policy so you can learn more about how to opt-out of the partner's communications.
When you interact with us via our websites or any sites or services that link to this Privacy Policy or use the Subscription Service, we may collect Personal Data and other information from you, as further described below.
When you visit our websites, sign up for a CrmOne account, attend a CrmOne virtual event, or request more information about CrmOne, we collect information automatically using tracking technologies, like cookies and tracking pixels."
UNSPECIFIED_DATA,we,"advertising, analytics, security, services, legal","After a reasonable period of time, we will either delete or anonymize your information or, if this is not possible, then we will securely store your information and isolate it from any further use until deletion is possible.
Privacy Terms

CrmOne Privacy Policies

1. What Information We Collect and Process
Privacy Terms

CrmOne Privacy Policies

We share your data with third parties when you give us consent to do so.
To facilitate our global operations, we may transfer information to other CrmOne Affiliates where we have operations for the purposes described in this policy.
We may collect information about what types of integrations you use in your CrmOne account.
We may receive and use this information from these service providers and other sources in combination with other information we collect through other means described in this Privacy Policy for the purposes of providing you with updates and an improved Subscription Service, like personalised communications, event promotion, and tailoring the websites or product to improve user experience.
We may receive information from third party service providers, from related companies, and from our business and solution partners.
We may share data with trusted CrmOne partners to contact you based on your request to receive such communications, help us perform statistical analysis, provide sales support, or provide customer support.
We receive information from third party service providers and other sources such as third party providers of business information and publicly available sources.
We store our customers' information on our service providers' servers but process it as a processor under our customers' instructions and in accordance with our Customer Terms of service, which prohibit us from using the information except as necessary to provide and improve the Subscription Service and as required by law.
We use your information to provide customer support, such as resolving technical issues you encounter and analysing product outages or bugs.
We use your information to verify user accounts, new product sign-ups, and to detect and prevent product abuse.
We will: notify you in writing promptly upon becoming aware of any such claim; give you sole control of the defense or settlement of such a claim; and provide you (at your expense) with any and all information and assistance reasonably requested by you to handle the defense or settlement of the claim.
We will: notify you in writing within thirty (30) days of our becoming aware of any such claim, give you sole control of the defense or settlement of such a claim, and provide you (at your expense) with any and all information and assistance reasonably requested by you to handle the defense or settlement of the claim.
We will: notify you in writing within thirty (30) days of our becoming aware of any such claim; give you sole control of the defense or settlement of such a claim; and provide you (at your expense) with any and all information and assistance reasonably requested by you to handle the defense or settlement of the claim.
What data we collect.
When you engage with these co-marketing partners, we will tell you who we are sharing data with, and provide a link to the co-marketing partner's privacy policy so you can learn more about how to opt-out of the partner's communications.
When you interact with us via our websites or any sites or services that link to this Privacy Policy or use the Subscription Service, we may collect Personal Data and other information from you, as further described below.
When you visit our websites, sign up for a CrmOne account, attend a CrmOne virtual event, or request more information about CrmOne, we collect information automatically using tracking technologies, like cookies and tracking pixels."
account access,we,"advertising, analytics, security, services","In case the Credit card declined the payment due to an ""Overdraft"" or ""No Available Balance"" issue, we will hold your account access, till we receive payment."
account information,we,"advertising, analytics, security, services, legal","We may also use this information to meet legal requirements.
We use your account information and Customer Data to provide the product and services to you.
We use your account information to investigate and help prevent security incidents."
account information you provide to crmone,we,"advertising, analytics, security, services, legal","We use the account information you provide to CrmOne when signing up for the Subscription Service and Trends services to send you transactional emails or in-app notification about billing, account management, and other administrative matters."
alias,subscription service,,"The Subscription Service will store replies, outgoing mail, email headers, subject line, distribution lists, aliases, time sent, and email bodies."
assistance,we,"advertising, analytics, security, services, legal","We will: notify you in writing promptly upon becoming aware of any such claim; give you sole control of the defense or settlement of such a claim; and provide you (at your expense) with any and all information and assistance reasonably requested by you to handle the defense or settlement of the claim.
We will: notify you in writing within thirty (30) days of our becoming aware of any such claim; give you sole control of the defense or settlement of such a claim; and provide you (at your expense) with any and all information and assistance reasonably requested by you to handle the defense or settlement of the claim."
assistance request,we,"advertising, analytics, security, services, legal","We will: notify you in writing within thirty (30) days of our becoming aware of any such claim, give you sole control of the defense or settlement of such a claim, and provide you (at your expense) with any and all information and assistance reasonably requested by you to handle the defense or settlement of the claim."
aup,we,"advertising, analytics, security, services, legal","As a Service Provider, you must comply with and abide by your other applicable agreements with us, our AUP, and the CrmOne Marketplace Reviews Policy."
beta services,subscription service,,"If we make beta access to some or all of the Subscription Service (the ""Beta Services"") available to you (i) the Beta Services are provided ""as is"" and without warranty of any kind, (ii) we may suspend, limit, or terminate the Beta Services for any reason at any time without notice, and (iii) we will not be liable to you for damages of any kind, except in respect of losses that cannot be legally limited or excluded under law, related to your use of the Beta Services."
billing contact for crmone account,we,"advertising, analytics, security, services, legal","For example, we may ask you to provide a billing address, or a billing contact for your CrmOne account."
california personal information,we,"advertising, analytics, security, services, legal","We certify that we will Process California Personal Information as a Service Provider strictly for the purpose of performing the Subscription Services and Consulting Services under the Agreement (the ""Business Purpose"") or as otherwise permitted by the CCPA, including as described in the 'Usage Data' section of our Privacy Policy.
We will (i) comply with obligations applicable to us as a Service Provider under the CCPA and (ii) provide California Personal Information with the same level of privacy protection as is required by the CCPA."
category of information list in log,we,"advertising, analytics, security, services, legal","When you use the Subscription Service, we collect and store the categories of information listed above in logs in the following instances, subject to the customer's implementation settings:"
certificate,https implementation,,Our HTTPS implementation uses industry standard algorithms and certificates.
confidential information of disclosing party,receive party,,"The Receiving Party may disclose Confidential Information of the Disclosing Party if required to do so under any federal, state, or local law, statute, rule or regulation, subpoena or legal process."
confidential information of disclosing party,receiving party,,"Privacy Terms

CrmOne Privacy Policies

Clients Terms of Service Guidelines

7.2 The Receiving Party may disclose Confidential Information of the Disclosing Party if required to do so under any federal, state, or local law, statute, rule or regulation, subpoena or legal process; provided, however, that (i) the Receiving Party will provide the Disclosing Party with prompt notice of any request that it disclose Confidential Information, sufficient to allow the Disclosing Party to object to the request and/or seek an appropriate protective order or, if such notice is prohibited by law, the Receiving Party will disclose the minimum amount of Confidential Information required to be disclosed under the applicable legal mandate; (ii) the Receiving Party will refer the request to the Disclosing Party and will provide reasonable assistance to the Disclosing Party, at the Disclosing Party's cost, in opposing such disclosure or seeking a protective order, unless the Receiving Party is explicitly prohibited from doing so by law or court order; and (iii) in no event will the Receiving Party disclose Confidential Information to a party other than a government agency except under a valid order from a court having jurisdiction requiring the specific disclosure, including in circumstances where the Disclosing Party refuses to provide their consent or fails to respond to the Receiving Party's inquiries in connection with the request to disclose the Confidential Information..
The Receiving Party may disclose Confidential Information of the Disclosing Party if required to do so under any federal, state, or local law, statute, rule or regulation, subpoena or legal process.
b. The Receiving Party may disclose Confidential Information of the Disclosing Party if required to do so under any federal, state, or local law, statute, rule or regulation, subpoena or legal process; provided, however, that (i) Receiving Party will provide Disclosing Party with prompt notice of any request that it disclose Confidential Information, sufficient to allow Disclosing Party to object to the request and/or seek an appropriate protective order or, if such notice is prohibited by law, Receiving Party shall disclose the minimum amount of Confidential Information required to be disclosed under the applicable legal mandate; and (ii) in no event shall Receiving Party disclose Confidential Information to a party other than a government agency except under a valid order from a court having jurisdiction requiring the specific disclosure."
contact information,sale team,services,"Privacy Terms

CrmOne Privacy Policies

CrmOne Referral Program

A- To refer a new client to CrmOne, you must submit their contact information to our sales team or through the referral portal on our website."
copy of personal data,UNSPECIFIED_ACTOR,"advertising, analytics",Each party shall process the copy of the Personal Data in its possession or control: (i) in accordance with the CrmOne Business Partner DPA (ii) as an independent controller (not as a joint controller with the other party) (iii) for the purposes described in this Agreement; and/or (iv) as may otherwise be permitted under Applicable Data Protection Law.
crmone account,sub,services,"In order to provide customer support and product development support, CrmOne employees from other office locations and Sub-Processors may access your CrmOne account and Customer Data."
crmone account,we,"advertising, analytics, security, services, legal","For example, we may access your CrmOne account if you call CrmOne Support and have a question about how to use a certain feature or to fix a bug."
customer data submit,we,"advertising, analytics, security, services, legal","1.3 You understand and agree that while Customer Data will be primarily stored and processed in the Location: (i) CrmOne, Inc. is located in the USA and certain storage and processing may continue outside of the Location, including in the USA and other regions where we, our Affiliates and Sub-processors operate; (ii) we may change Sub-processors in order to provide the Subscription Service, in accordance with the DPA; (iii) Customer Data may be accessed outside of the Location if Users accessing the Subscription Service are located outside of Europe; (iv) except as otherwise agreed only Customer Data that was submitted or collected after Regional Data Hosting was included as part of your subscription will be stored in the Location; and (v) we make no warranty that Regional Data Hosting will meet your data residency requirements."
datum about,we,"advertising, analytics, security, services, legal","As described in the 'Customer Data' section of the Customer Terms of Service, we may collect data about how you use and interact with the Subscription Service."
demographic information about user base as whole,UNSPECIFIED_ACTOR,"advertising, analytics","CrmOne and our partners use cookies or similar technologies (such as web beacons and JavaScript) to analyze trends, administer the website, monitor how visitors navigate around the websites, and to gather demographic information about our user base as a whole."
device identifier,we,"advertising, analytics, security, services, legal","When you access or use the Subscription Service via our mobile applications, we automatically collect information such as your device model and version, operating system, or device identifiers."
device model,we,"advertising, analytics, security, services, legal","When you access or use the Subscription Service via our mobile applications, we automatically collect information such as your device model and version, operating system, or device identifiers."
different permission,team,,"Give teams different permissions for your blog posts, site pages, emails, forms, CTAs, lists, or workflows based on role, region, and more, so they can only see and edit content relevant to them."
distribution list,subscription service,,"The Subscription Service will store replies, outgoing mail, email headers, subject line, distribution lists, aliases, time sent, and email bodies."
document,we,"advertising, analytics, security, services, legal","We've aimed to keep these documents as readable as possible, but in some cases for legal reasons, some of the language is necessarily ""legalese""."
