data_type,collector,purpose,text
UNSPECIFIED_DATA,merchant,,Each merchant and third-party payment processor collects and shares your information according to its own privacy policy and terms of service.
UNSPECIFIED_DATA,third party payment processor,,Each merchant and third-party payment processor collects and shares your information according to its own privacy policy and terms of service.
UNSPECIFIED_DATA,we,,"This Privacy Policy (""Policy"") describes how we collect, use, and disclose data."
area on services,we,,We may provide areas on the Services where you can publicly post information.
cookie / pixel tag,UNSPECIFIED_ACTOR,"advertising, analytics, services","Cuckoo and its partners may use cookies and other tracking technologies such as pixels and web beacons on the Services to administer the Services, track your movements around the Services, analyze trends, serve targeted advertisements, and gather demographic information.
Our third-party partners may use cookies or other tracking technologies to provide you advertising on other sites based upon your browsing activities and interests."
cookie / pixel tag,cuckoo,"advertising, analytics, services","Cuckoo and its partners may use cookies and other tracking technologies such as pixels and web beacons on the Services to administer the Services, track your movements around the Services, analyze trends, serve targeted advertisements, and gather demographic information."
cookie / pixel tag,we,"advertising, analytics","We also use web beacons in the emails we deliver for Customers to create reports about campaign performance and determine what actions Subscribers took.
When we send emails to Customers, we may use web beacons to track who opened the emails and clicked links to measure campaign performance and improve features for Customers."
cookie / pixel tag,we,"advertising, analytics, legal","We also use web beacons in the emails we deliver for Customers to create reports about campaign performance and determine what actions Subscribers took.
When we send emails to Customers, we may use web beacons to track who opened the emails and clicked links to measure campaign performance and improve features for Customers."
cookie / pixel tag,we,"advertising, analytics, legal, security, services","We also use web beacons in the emails we deliver for Customers to create reports about campaign performance and determine what actions Subscribers took.
When we send emails to Customers, we may use web beacons to track who opened the emails and clicked links to measure campaign performance and improve features for Customers."
customer personal datum,entity help,,"Consistent with this Privacy Policy, we may transfer Customer or Subscriber Personal Data to entities that help us promote, provide, or support our Services or the services of our Customers (""Service Providers"")."
customer personal datum,we,"advertising, analytics","Consistent with this Privacy Policy, we may transfer Customer or Subscriber Personal Data to entities that help us promote, provide, or support our Services or the services of our Customers (""Service Providers"")."
demographic information,UNSPECIFIED_ACTOR,"advertising, analytics, services","Cuckoo and its partners may use cookies and other tracking technologies such as pixels and web beacons on the Services to administer the Services, track your movements around the Services, analyze trends, serve targeted advertisements, and gather demographic information."
demographic information,cuckoo,"advertising, analytics, services","Cuckoo and its partners may use cookies and other tracking technologies such as pixels and web beacons on the Services to administer the Services, track your movements around the Services, analyze trends, serve targeted advertisements, and gather demographic information."
personal data be,we,"advertising, analytics, legal",We only collect Personal Data that is relevant for providing the Services.
platform,we,"advertising, analytics, legal, security, services","This Policy applies to your use of Cuckoo's products, services, and Website located at www.cuckoo.so on all platforms (collectively, ""Services"")."
third- party information,we,"advertising, analytics, legal, security, services","Upon your consent, the Services may access third- party information through application interfaces."
