data_type,collector,purpose,text
UNSPECIFIED_DATA,degree analytics,,Degree Analytics will keep deidentified and aggregate data for a period of 8 years.
UNSPECIFIED_DATA,provider of service,,"When you use these services, you would be providing information directly to the provider of these services, and the provision of such information would be subject to such party's own privacy policy."
UNSPECIFIED_DATA,we,,"In addition to previously stated retention policies, we will retain your information for as long as your account is active or as needed to provide you services.
In addition, if you so indicate in the event of sharing your contact information with us, we may use the information we collect to send you news and product and service updates, including contacting you about our services, products, activities, special events or offers and for other marketing, informational, product development and promotional purposes, including notifications about new features and or improvements to the Sites of our products and services; We may also receive information from third parties with whom we have business relationships, and may combine this information with the other personal information we have about you.
We may retain and use your information as necessary to comply with our legal obligations, resolve disputes, and enforce our agreements."
aggregate / deidentified / pseudonymized information,we,"analytics, services","We collect aggregate data for a number of purposes, including to help us understand trends and user needs so that we can better consider new publications, products and services, and tailor existing publications, products and services to user desires."
audit trail,we,"analytics, services, security",Any time a user access protected data we store an audit trail for security purposes.
browser type,we,"analytics, services, security","As true of most websites, we gather certain information automatically and store it in log files.
This information may include internet protocol (IP) addresses, browser type, internet service provider (ISP), referring/exit pages, operating system, date/time stamp, and/or clickstream data."
clickstream datum,we,"analytics, services, security","As true of most websites, we gather certain information automatically and store it in log files.
This information may include internet protocol (IP) addresses, browser type, internet service provider (ISP), referring/exit pages, operating system, date/time stamp, and/or clickstream data."
contact,we,"analytics, services, security","In addition, from time to time we may collect contact or other personal or demographic information you provide in connection with your participation in surveys."
contact information,UNSPECIFIED_ACTOR,,"We may share your contact information with third parties, but only if you have indicated to us that you wish to receive information from such parties."
contact information,we,"analytics, services, security","We may share your contact information with third parties, but only if you have indicated to us that you wish to receive information from such parties."
corp,we,"analytics, services, security, advertising","This privacy policy (""Policy"") applies to any Web sites located through the domains of at degreeanalytics.com, *.degreeanalytics.com (the ""Site"") owned and operated by MF Genius, Corp d.b.a Degree Analytics (""MF Genius"" ""Degree Analytics"" ""we"" or ""us"") and the Degree Analytics service accessed through our mobile, web application, or API (the ""Service"" or ""App"") or data, reports or otherwise provided by Degree Analytics."
date time stamp,we,"analytics, services, security","As true of most websites, we gather certain information automatically and store it in log files.
This information may include internet protocol (IP) addresses, browser type, internet service provider (ISP), referring/exit pages, operating system, date/time stamp, and/or clickstream data."
email address,degree analytics,,"Degree Analytics may share other personal or non- personal information and aggregate information to third parties in order for the App to provide you some service.
Specifically, with regard to Email functionality, when the Degree Analytics app sends an email to a user, the user's email address will be provided to them along with such identifying information as you choose, such as your name and/or photo."
feedback,we,"analytics, services, security","For example, we may use the information we collect: to request feedback and to enable us to develop, customize and improve the Site and our information and services; and"
geolocation,degree analytics,,"Unless you direct us to act otherwise, your personal location information is only stored by Degree Analytics for up to 365 days of inactivity after which location information is disassociated from personal information and anonymized."
geolocation,degree analytics app,,Degree Analytics app may automatically collect location information from your device.
information about computer,degree analytics,,"When you visit our website or use our mobile apps, Degree Analytics and our service provider partners may collect certain information about your computer or device through technologies such as cookies, beacons, tags, and scripts."
information about computer,service provider partner,,"When you visit our website or use our mobile apps, Degree Analytics and our service provider partners may collect certain information about your computer or device through technologies such as cookies, beacons, tags, and scripts."
information as you use application,analytic provider,,"This software may record information such as how often you use the application, the events that occur within the application, aggregated usage, performance data, and from where the application was downloaded.
We use analytics software to allow us to better understand the functionality of our Software on your device."
information we collect,we,"analytics, services, security, advertising","For example, we may use the information we collect:
In addition, if you so indicate in the event of sharing your contact information with us, we may use the information we collect to send you news and product and service updates, including contacting you about our services, products, activities, special events or offers and for other marketing, informational, product development and promotional purposes, including notifications about new features and or improvements to the Sites of our products and services; We may also receive information from third parties with whom we have business relationships, and may combine this information with the other personal information we have about you."
information you provide to we contain personal information,we,"analytics, services, security, advertising","At several places on our Sites, we may collect certain information you voluntarily provide to us which may contain personal information."
ip address,we,"analytics, services, security, advertising","As true of most websites, we gather certain information automatically and store it in log files.
This information may include internet protocol (IP) addresses, browser type, internet service provider (ISP), referring/exit pages, operating system, date/time stamp, and/or clickstream data."
local storage objects,we,"analytics, services, security, advertising",We may also use Local Storage Objects (LSOs) such as those available in the HTML5 web standard to store content information and preferences.
lsos,we,"analytics, services, security, advertising",We may also use Local Storage Objects (LSOs) such as those available in the HTML5 web standard to store content information and preferences.
mf genius,we,"analytics, services, security, advertising","This privacy policy (""Policy"") applies to any Web sites located through the domains of at degreeanalytics.com, *.degreeanalytics.com (the ""Site"") owned and operated by MF Genius, Corp d.b.a Degree Analytics (""MF Genius"" ""Degree Analytics"" ""we"" or ""us"") and the Degree Analytics service accessed through our mobile, web application, or API (the ""Service"" or ""App"") or data, reports or otherwise provided by Degree Analytics."
option of,we,"analytics, services, security, advertising","We may provide the option of connecting to the Degree Analytics service through Facebook, Twitter, Google+ or other social network as a faster, easier way for you to create a profile on the Degree Analytics service."
person name,we,"analytics, services, security, advertising","If you register for the App, send us an email, or submit content, we may collect your name, photo, and/or demographic information that you provide."
photo,we,"analytics, services, security, advertising","If you register for the App, send us an email, or submit content, we may collect your name, photo, and/or demographic information that you provide."
report base on use of technology by company,we,"analytics, services, security, advertising",We may receive reports based on the use of these technologies by these companies on an individual as well as aggregated basis.
