data_type,collector,purpose,text
UNSPECIFIED_DATA,UNSPECIFIED_ACTOR,,"We may share your personal information in the following situations: With Affiliates : We may share Your information with Our affiliates, in which case we will require those affiliates to honor this Privacy Policy."
UNSPECIFIED_DATA,business partner,advertising,"We may share your personal information in the following situations: With Business partners : We may share Your information with Our business partners to offer You certain products, services or promotions."
UNSPECIFIED_DATA,we,"advertising, services","Type: Session Cookies
We may share your personal information in the following situations: With Affiliates : We may share Your information with Our affiliates, in which case we will require those affiliates to honor this Privacy Policy.
We may share your personal information in the following situations: With Business partners : We may share Your information with Our business partners to offer You certain products, services or promotions.
We use this information to provide features of Our Service, to improve and customize Our Service.
When You access the Service by or through a mobile device, We may collect certain information automatically, including, but not limited to, the type of mobile device You use, Your mobile device unique ID, the IP address of Your mobile device, Your mobile operating system, the type of mobile Internet browser You use, unique device identifiers and other diagnostic data.
While using Our Application, in order to provide features of Our Application, We may collect, with your prior permission: Pictures and other information from your Device's camera and photo library"
collect datum,Google,advertising,Google may use the collected data to contextualize and personalize the ads of its own advertising network.
contact information,we,"advertising, services","While using Our Service, We may ask You to provide Us with certain personally identifiable information that can be used to contact or identify You."
cookie / pixel tag,Google,advertising,"Google, as a third party vendor, uses cookies to serve ads on our Service."
cookie / pixel tag,meta,"advertising, analytics","Meta, as a third party vendor, uses cookies to serve ads and track visitors on our Service."
cookie / pixel tag,we,"advertising, services, analytics","Functionality Cookies
Necessary / Essential Cookies
Privacy Policy

Collecting and Using Your Personal Data

Types of Data Collected

Cookies Policy / Notice Acceptance Cookies
Tracking Technologies and Cookies
Tracking and Performance Cookies
Type: Session Cookies
Types of Data Collected

Targeting and Advertising Cookies
We may also use these Cookies to test new advertisements, pages, features or new functionality of the Website to see how our users react to them.
We use Cookies and similar tracking technologies to track the activity on Our Service and store certain information.
We use both session and persistent Cookies for the purposes set out below:
We use this information to provide features of Our Service, to improve and customize Our Service."
credit / debit card number,third party payment processor govern,,"That information is provided directly to Our third-party payment processors whose use of Your personal information is governed by their Privacy Policy.
We will not store or collect Your payment card details."
datum collect,Google,"advertising, analytics","Google uses the data collected to track and monitor the use of our Service.
This data is shared with other Google services."
information browser send,we,"advertising, services, analytics",We may also collect information that Your browser sends whenever You visit our Service or when You access the Service by or through a mobile device.
information collect,we,"advertising, services, analytics","Types of Data Collected

Information Collected while Using the Application
We use this information to provide features of Our Service, to improve and customize Our Service."
personal information,UNSPECIFIED_ACTOR,"advertising, analytics, services","We may share your personal information in the following situations: With Affiliates : We may share Your information with Our affiliates, in which case we will require those affiliates to honor this Privacy Policy."
personal information,business partner,"advertising, analytics, services","We may share your personal information in the following situations: With Business partners : We may share Your information with Our business partners to offer You certain products, services or promotions."
personal information,service provider,"advertising, analytics, services","Service Providers have access to Your Personal Data only to perform their tasks on Our behalf and are obligated not to disclose or use it for any other purpose.
We may share your personal information in the following situations: With Service Providers : We may share Your personal information with Service Providers to monitor and analyze the use of our Service, to show advertisements to You to help support and maintain Our Service, for payment processing, to contact You."
personal information,we,"advertising, services, analytics, security, legal","The Company may disclose Your Personal Data in the good faith belief that such action is necessary to:
The Company may use Personal Data for the following purposes:
The Company will retain Your Personal Data only for as long as is necessary for the purposes set out in this Privacy Policy.
Types of Data Collected

Personal Data
Under certain circumstances, the Company may be required to disclose Your Personal Data if required to do so by law or in response to valid requests by public authorities (e.g. a court or a government agency).
We may share your personal information in the following situations: For Business transfers : We may share or transfer Your personal information in connection with, or during negotiations of, any merger, sale of Company assets, financing, or acquisition of all or a portion of our business to another company.
We may share your personal information in the following situations: With Service Providers : We may share Your personal information with Service Providers to monitor and analyze the use of our Service, to show advertisements to You to help support and maintain Our Service, for payment processing, to contact You.
We may use Your Personal Data to contact You with newsletters, marketing or promotional materials and other information that may be of interest to You.
We use Your Personal data to provide and improve the Service.
We use this information to provide features of Our Service, to improve and customize Our Service.
We will retain and use Your Personal Data to the extent necessary to comply with our legal obligations (for example, if we are required to retain your data to comply with applicable laws), resolve disputes, and enforce our legal agreements and policies."
picture,we,"advertising, services, analytics, security, legal","While using Our Application, in order to provide features of Our Application, We may collect, with your prior permission: Pictures and other information from your Device's camera and photo library"
required information,we,"advertising, services, analytics, security, legal",The Company will disclose and deliver the required information free of charge within 45 days of receiving Your verifiable request.
tracking,we,"advertising, services, analytics, security, legal","Tracking and Performance Cookies
We use this information to provide features of Our Service, to improve and customize Our Service."
