data_type,collector,purpose,text
UNSPECIFIED_DATA,Google,analytics,Google will use this information on behalf of the website owner to evaluate how you use the website.
UNSPECIFIED_DATA,UNSPECIFIED_ACTOR,,"No data shall be passed on to third parties in connection with the processing of data for sending newsletters.
Within the scope of the consent given by the customer, the credit agency stores and transmits the data to the affiliated credit institutions, credit card companies, leasing companies, retail companies including mail order companies and other companies that commercially provide money or goods credits to consumers or offer telecommunication services in order to be able to provide them with information for assessing the creditworthiness of customers."
UNSPECIFIED_DATA,affiliated credit institution,,"Within the scope of the consent given by the customer, the credit agency stores and transmits the data to the affiliated credit institutions, credit card companies, leasing companies, retail companies including mail order companies and other companies that commercially provide money or goods credits to consumers or offer telecommunication services in order to be able to provide them with information for assessing the creditworthiness of customers."
UNSPECIFIED_DATA,beamer,,"Beamer uses cookies and other technologies to collect data about user behavior and the devices used (including anonymized IP addresses), device type (unique device type identification), browser information, geographical information (country), preferred language for displaying the website, among others."
UNSPECIFIED_DATA,credit agency,,"Under certain circumstances, the data may be transmitted by the payment service providers to credit agencies.
Within the scope of the consent given by the customer, the credit agency stores and transmits the data to the affiliated credit institutions, credit card companies, leasing companies, retail companies including mail order companies and other companies that commercially provide money or goods credits to consumers or offer telecommunication services in order to be able to provide them with information for assessing the creditworthiness of customers."
UNSPECIFIED_DATA,credit card company,,"Within the scope of the consent given by the customer, the credit agency stores and transmits the data to the affiliated credit institutions, credit card companies, leasing companies, retail companies including mail order companies and other companies that commercially provide money or goods credits to consumers or offer telecommunication services in order to be able to provide them with information for assessing the creditworthiness of customers."
UNSPECIFIED_DATA,digistore24,,"Our server does not transmit any data to Digistore24 in this process, but the data is transferred - as with every website visit - from your web browser to Digistore24.
Which data Digistore24 stores and processes during this website visit is determined by Digistore24 GmbH as the data controller in its own privacy policy."
UNSPECIFIED_DATA,leasing company,,"Within the scope of the consent given by the customer, the credit agency stores and transmits the data to the affiliated credit institutions, credit card companies, leasing companies, retail companies including mail order companies and other companies that commercially provide money or goods credits to consumers or offer telecommunication services in order to be able to provide them with information for assessing the creditworthiness of customers."
UNSPECIFIED_DATA,payment service provider,,"Under certain circumstances, the data may be transmitted by the payment service providers to credit agencies."
UNSPECIFIED_DATA,retail company,,"Within the scope of the consent given by the customer, the credit agency stores and transmits the data to the affiliated credit institutions, credit card companies, leasing companies, retail companies including mail order companies and other companies that commercially provide money or goods credits to consumers or offer telecommunication services in order to be able to provide them with information for assessing the creditworthiness of customers."
UNSPECIFIED_DATA,we,security,"Furthermore, we shall use the data to optimize the website and ensure the security of our information technology systems.
Our server does not transmit any data to Digistore24 in this process, but the data is transferred - as with every website visit - from your web browser to Digistore24.
The data is entered into an input mask and transmitted to us and stored.
With each visit to our website, our system shall automatically collect data and information from the computer system of the accessing device."
browser information,UNSPECIFIED_ACTOR,analytics,"Beamer uses cookies and other technologies to collect data about user behavior and the devices used (including anonymized IP addresses), device type (unique device type identification), browser information, geographical information (country), preferred language for displaying the website, among others.
Neither Beamer nor ourselves will use this information to identify individual users or compare it to future data."
browser information,beamer,analytics,"Beamer stores this information in a pseudonymized user profile.
Beamer uses cookies and other technologies to collect data about user behavior and the devices used (including anonymized IP addresses), device type (unique device type identification), browser information, geographical information (country), preferred language for displaying the website, among others.
Neither Beamer nor ourselves will use this information to identify individual users or compare it to future data."
country,beamer,analytics,"Beamer uses cookies and other technologies to collect data about user behavior and the devices used (including anonymized IP addresses), device type (unique device type identification), browser information, geographical information (country), preferred language for displaying the website, among others."
data enter,payment service provider,,"However, the data entered is only processed by the payment service providers and stored by them; i.e. we do not receive any account or credit card-related information, but only information with confirmation or negative information about the payment."
datum request on order form,product manufacturer,legal,The data requested on the order form is transmitted to the product manufacturer on the basis of Article 6(1) (b) of the GDPR for the purpose of fulfilling the contract.
datum require for collection of claim,collection partner,,"Pursuant to Article 6(1)(f) of the GDPR, in the event of a payment default, the data required for the collection of our claim will be passed on to our collection partner."
device type,beamer,analytics,"Beamer uses cookies and other technologies to collect data about user behavior and the devices used (including anonymized IP addresses), device type (unique device type identification), browser information, geographical information (country), preferred language for displaying the website, among others."
