data_type,collector,purpose,text
aggregate / deidentified / pseudonymized information,we,,We may disclose aggregated information about our users without restriction.
billing processor,contract service provider,,"Service Providers We may share Personal Data with our contracted service providers, such as billing or payment processors, so that these service providers can provide services on our behalf; traffic tracking and targeted advertising services, which may enable us to show you ads after you leave our site; and technical providers who help us diagnose technical problems and administer our site so that we can constantly improve our services."
cookie / pixel tag,we,,We use cookies and similar technologies.
customer information,we,services,"For example, we may need to share Customer Information for customer relationship management purposes."
email address,UNSPECIFIED_ACTOR,,"We share you name and email address with the person or company, if any, who referred you to our website."
email address,we,services,"We share you name and email address with the person or company, if any, who referred you to our website."
eu personal data,we,services,"Subject to applicable law, we retain EU Personal Data in a form that identifies or renders you identifiable only for as long as it serves a purpose that is compatible with the purposes for which it was collected or subsequently authorized by you."
information about you,we,services,"We may also disclose information about you if we determine that for purposes of national security, law enforcement, or other issues of public importance, disclosure is necessary or appropriate."
non - identifying usage volume statistical information,we,services,"We also track and analyze non-identifying and aggregate usage and volume statistical information from our Site Visitors and Customers.
We collect this information:"
person name,UNSPECIFIED_ACTOR,,"We share you name and email address with the person or company, if any, who referred you to our website."
person name,we,services,"We share you name and email address with the person or company, if any, who referred you to our website."
personal data collect in connection with purchase,UNSPECIFIED_ACTOR,,"If you purchase or specifically express interest in a jointly offered product or service from us, we may share Personal Data collected in connection with your purchase or expression of interest with our partners."
personal data collect in connection with purchase,we,services,"If you purchase or specifically express interest in a jointly offered product or service from us, we may share Personal Data collected in connection with your purchase or expression of interest with our partners."
reasonable access to personal datum we maintain about you,we,services,"Accordingly, where appropriate, we provide you with reasonable access to the Personal Data we maintain about you."
record,data protection authority,,"Privacy Policy

5. Record-keeping

These records shall be provided to data protection authorities upon request."
referral,we,services,We may disclose Personal Data to the following types of third parties: Referrals
relevant record of,we,services,"As required by applicable law, we will maintain relevant records of:"
