data_type,collector,purpose,text
UNSPECIFIED_DATA,UNSPECIFIED_ACTOR,"advertising, analytics","We may disclose such information to third parties if you consent to such disclosure.
We may enable other users of our site and third parties to view or receive information from your profile, subject to your permission to share this information.
We may provide information to other companies for purposes such as reporting and marketing.
We may provide your information to our wholly-owned companies and affiliates, which may be outside the United States."
UNSPECIFIED_DATA,company assist in fraud protection,,We may also share information with companies assisting in fraud protection or investigation.
UNSPECIFIED_DATA,easyidentity,,EasyIdentity will retain your data for as long as you continue using our services.
UNSPECIFIED_DATA,prefer service provider,,We provide our suppliers and preferred service providers with the information they need to perform their services and work with them to respect and protect your information.
UNSPECIFIED_DATA,supplier,,We provide our suppliers and preferred service providers with the information they need to perform their services and work with them to respect and protect your information.
UNSPECIFIED_DATA,we,"advertising, analytics, services","For the purpose of operating our business, we may transfer information between EasyIdentity and our suppliers and preferred service providers who use that information only to conduct EasyIdentity business.
We may also share information with companies assisting in fraud protection or investigation.
We may disclose such information to third parties if you consent to such disclosure.
We may enable other users of our site and third parties to view or receive information from your profile, subject to your permission to share this information.
We may provide information to other companies for purposes such as reporting and marketing.
We may provide your information to our wholly-owned companies and affiliates, which may be outside the United States.
We provide our suppliers and preferred service providers with the information they need to perform their services and work with them to respect and protect your information.
We use the information to compile reports and to help us improve the Site."
browsing / search history,we,"advertising, analytics, services",We use GI to help us analyze your online behavior.
company name,we,"advertising, analytics, services","We request information from you (which may include your name, mailing address, telephone number, email address, company name, company size, and, when necessary, credit card information) when you:"
company size,we,"advertising, analytics, services","We request information from you (which may include your name, mailing address, telephone number, email address, company name, company size, and, when necessary, credit card information) when you:"
cookie / pixel tag,we,"advertising, analytics, services","For example, we use cookies to:
We also use LuckyOrange cookies to collect information about how visitors use our Site and Service.
We use cookies on our website to give you the most relevant experience by remembering your preferences and repeat visits."
credit / debit card number,UNSPECIFIED_ACTOR,"advertising, analytics","Credit card numbers allow a user to subscribe to (and thus pay for) our business service.
This data is protected and stored on our behalf by third party service providers."
credit / debit card number,service provider,"security, services",Credit card numbers are used by service providers to initiate secure payments through the specific payment gateway at certain other service providers on a single occasion or a regular basis.
credit / debit card number,we,"advertising, analytics, services","We request information from you (which may include your name, mailing address, telephone number, email address, company name, company size, and, when necessary, credit card information) when you:"
email address,we,"advertising, analytics, services","If you create a EasyIdentity account or log into EasyIdentity using your Google credentials via Single Sign On, we will have access to your name, email and other information you have authorized in your Google profile settings.
We request information from you (which may include your name, mailing address, telephone number, email address, company name, company size, and, when necessary, credit card information) when you:"
google user datum,we,"advertising, analytics, services","For the purpose of proper functioning of our site, and only after you authenticate successfully with your Google ID on the Google Workspace website, you may choose to transfer your Google user data into our site.
We may share such user user data with your explicit permission and action within the EasyIdentity site, with your selected and licensed third party Apps."
information about,we,"advertising, analytics, services","Like many websites, we gather information about how visitors use our website.
We also use LuckyOrange cookies to collect information about how visitors use our Site and Service."
information about sale transaction,we,"advertising, analytics, services","If you request your registration information be deleted or if you unsubscribe from communications, we may maintain information about sales transactions or service inquiries for future service and record keeping purposes."
information about use of site,we,"advertising, analytics, services","Like other interactive websites, we collect information about your use of our site and our services using cookies, log files, and techniques used to track who is reading a web page or email, when, and from what computer, such as web bugs, web beacons, or pixel tags."
information about visit,we,"advertising, analytics, services","We may use GI to collect information about your visit, including the pages you view, the links you click and other actions taken in connection with our sites and services."
information we gather on site,UNSPECIFIED_ACTOR,"advertising, analytics, services",The information we gather on the Site may be shared with third parties in order to deliver our services.
information we gather on site,we,"advertising, analytics, services","We use the information we gather on the Site for the purposes of providing our services (including creating user accounts and to better understand and serve your needs), responding to any queries you may have, operating and improving the Site, fostering a positive user experience and delivering the products and services that we offer to our users."
information you authorize in google profile setting,we,"advertising, analytics, services","If you create a EasyIdentity account or log into EasyIdentity using your Google credentials via Single Sign On, we will have access to your name, email and other information you have authorized in your Google profile settings.
We collect this information to give you access to the service and personalizing our service."
person name,we,"advertising, analytics, services","If you create a EasyIdentity account or log into EasyIdentity using your Google credentials via Single Sign On, we will have access to your name, email and other information you have authorized in your Google profile settings.
We request information from you (which may include your name, mailing address, telephone number, email address, company name, company size, and, when necessary, credit card information) when you:"
personal identifier,we,"advertising, analytics, services","We will collect personally identifiable profile information only from web site operators with which we have contractual relationships.
We will provide reasonable access to profile information that is personally identifiable or is associated with personally identifiable information."
personal information,UNSPECIFIED_ACTOR,"advertising, analytics, services","We may transfer your personal information to third parties in connection with any merger, acquisition, reorganization, or change in capital structure or sale of all or substantially all of the assets of EasyIdentity."
personal information,we,"advertising, analytics, services","We may transfer your personal information to third parties in connection with any merger, acquisition, reorganization, or change in capital structure or sale of all or substantially all of the assets of EasyIdentity.
We may use your personal information and use of the EasyIdentity Community to improve the EasyIdentity Community and for our internal analytics purposes.
We may use your personal information to communicate with you directly or indirectly through affiliated suppliers by email and telephone to provide confirmation emails when a purchase has been completed, to inform you with any changes or issues with a purchase you have made and for providing marketing related information such as an eBook and other updates."
phone number,we,"advertising, analytics, services","We request information from you (which may include your name, mailing address, telephone number, email address, company name, company size, and, when necessary, credit card information) when you:"
postal address,we,"advertising, analytics, services","We request information from you (which may include your name, mailing address, telephone number, email address, company name, company size, and, when necessary, credit card information) when you:"
specific information,we,"advertising, analytics, services","On rare occasions, we may disclose specific information upon governmental request, in response to a court order, when required by law, to enforce our website policies, or to protect our or others' rights, property, or safety."
