data_type,collector,purpose,text
UNSPECIFIED_DATA,we,,"We may collect additional information at other times, including but not limited to, when you provide feedback, when you provide information about your personal or business affairs, change your content or email preference, respond to surveys and/or promotions, provide financial or credit card information, or communicate with our customer support."
browser type,we,,"When you come to our website (www.BizGPT.com.au) we may collect certain information such as browser type, operating system, website visited immediately before coming to our site, etc."
collect datum,we,,We maintain the collected data in a secure environment with robust encryption protocols.
cookie / pixel tag,we,analytics,"Our website may from time to time use cookies to analyses website traffic and help us provide a better website visitor experience.
We may from time to time use cookies on our website."
information you provide,we,analytics,"Additionally, we may also collect any other information you provide while interacting with us."
operating system,we,analytics,"When you come to our website (www.BizGPT.com.au) we may collect certain information such as browser type, operating system, website visited immediately before coming to our site, etc."
personal information,UNSPECIFIED_ACTOR,,Personal information is only supplied to a third party when it is required for the delivery of our services.
personal information,bizgpt pty ltd pty ltd,,"BizGPT Pty Ltd Pty Ltd will, from time to time, receive and store personal information you enter onto our website, provided to us directly or given to us in other forms.
collects personal information from you in a variety of ways, including when you interact with us electronically or in person, when you access our website and when we provide our services to you."
personal information,we,"analytics, legal, security, services","This policy sets out how we collect and treat your personal information.
We may also use your personal information to protect the copyright, trademarks, legal rights, property or safety of BizGPT Pty Ltd Pty Ltd, www.BizGPT.com.au, its customers or third parties.
We may disclose your personal information to any of our employees, officers, insurers, professional advisers, agents, suppliers or subcontractors insofar as reasonably necessary for the purposes set out in this Policy.
We may from time to time need to disclose personal information to comply with a legal requirement, such as a law, regulation, court order, subpoena, warrant, in the course of a legal proceeding or in response to a law enforcement agency request.
We may receive personal information from third parties.
We may use your personal information to improve our products and services and better understand your needs."
personal information collect from you,bizgpt pty ltd pty ltd,services,"BizGPT Pty Ltd Pty Ltd may use personal information collected from you to provide you with information, updates and our services."
