data_type,collector,purpose,text
UNSPECIFIED_DATA,UNSPECIFIED_ACTOR,"advertising, analytics, services","If permitted by state and federal law, Edjuncture may share your information with other companies to improve the education performance of Edjuncture School Programs or so that Edjuncture can offer services to you or give you information about services of third parties."
UNSPECIFIED_DATA,company not connect to edjuncture,,"If allowed by law, Edjuncture may share your information with companies that are not connected to Edjuncture but want to send you information about their products or services."
UNSPECIFIED_DATA,edjuncture,"advertising, analytics, services","If allowed by law, Edjuncture may share your information with companies that are not connected to Edjuncture but want to send you information about their products or services.
If permitted by law, Edjuncture may use your information to provide you with information about new products or services available through Edjuncture and may combine PI to improve the educational experience or to determine how Edjuncture's educational products and services may interest other people.
If permitted by state and federal law, Edjuncture may share your information with other companies to improve the education performance of Edjuncture School Programs or so that Edjuncture can offer services to you or give you information about services of third parties."
UNSPECIFIED_DATA,online service,"security, services","If others help Edjuncture provide online services, they are given the least information needed to do their work for Edjuncture, as required by law.
They have no other rights to the information and have agreed to keep the data private, to use it only to perform the work they provide for Edjuncture and to keep the data safe."
UNSPECIFIED_DATA,we,analytics,"We also use it to study Internet traffic trends, administer the site, and gather information.
We use this information to monitor and improve our site."
account detail,zoom meeting,services,"Zoom Meeting will store your account details to schedule sessions among Principals, Teachers & Students."
cookie / pixel tag,we,"analytics, services","We may use cookies from other companies to provide relevant information to you.
We use cookies to follow how you use the Sites to adapt Web content to your interests."
google account detail,Google,services,"Google Meet will store your Google account details to schedule sessions among Principals, Teachers & Students."
information we obtain from you,we,"analytics, services","This Privacy Policy explains how we collect, use and protect information that we obtain from you."
law enforcement,state agency,,"Information you or the child provide may be given to state and federal agencies, including law enforcement if required or permitted by law."
non,we,"analytics, services",We automatically receive Non-PI from your web browser or device connected to the Internet.
personal information,edjuncture,"advertising, analytics, services","Edjuncture will use or share PI if required to do so by law, such as a court order, or permitted to do so for law enforcement, health or safety purposes or to protect Edjuncture's legal rights."
personal information,we,"analytics, services",We automatically receive Non-PI from your web browser or device connected to the Internet.
personal information about child be,edjuncture,"advertising, analytics, services",Edjuncture receives personal information about children who are under the age of 13 strictly from their Schools when those children are enrolled into a Edjuncture Virtual School Program.
pre - recorded message,edjuncture,"advertising, analytics, services",Edjuncture may use pre-recorded messages when allowed by law to make sure that customers receive the information they requested.
