data_type,collector,purpose,text
UNSPECIFIED_DATA,Mixpanel,,"Mixpanel Analytics collects information such as how often users visit the Service, what pages they visit when they do so, and what other sites they used prior to coming to the Service."
account information,we,,"If you create an Account you will be required to provide us with certain information, such as your name, email address, phone number, your organization name, your clinical degree, your position and title, your clinic's site, as well as a password that you will use for your Account (""Account Information"")."
aggregate / deidentified / pseudonymized information,UNSPECIFIED_ACTOR,,"We may also disclose Anonymous Information (with or without compensation) to third parties, including advertisers and partners."
aggregate / deidentified / pseudonymized information,advertiser,,"We may also disclose Anonymous Information (with or without compensation) to third parties, including advertisers and partners."
aggregate / deidentified / pseudonymized information,we,,"We may also disclose Anonymous Information (with or without compensation) to third parties, including advertisers and partners.
We may use Anonymous Information (as defined below) or disclose it to third-party service providers in order to improve our Services and enhance your experience with the Services."
anonymous identifier,we,services,"Our Services may utilize ""cookies"", anonymous identifiers and other tracking technologies in order for us to provide our Services and present you with information that is customized for you."
browsing / search history,UNSPECIFIED_ACTOR,,We do not allow third-parties to collect personally identifiable information about an individual consumer's online activities over time and across different web sites when a consumer uses the Services.
clinical degree,we,services,"If you create an Account you will be required to provide us with certain information, such as your name, email address, phone number, your organization name, your clinical degree, your position and title, your clinic's site, as well as a password that you will use for your Account (""Account Information"")."
cookie / pixel tag,we,services,"Our Services may utilize ""cookies"", anonymous identifiers and other tracking technologies in order for us to provide our Services and present you with information that is customized for you."
date,we,services,"Such information may include your mobile device type, mobile device ID, and the date and time stamps of App use.
We may collect limited information from your mobile device in order to provide the App."
demographic information,we,services,"We may use such information to analyze trends, administer the Services, track users' movement around the Services, and gather demographic information."
device identifier,we,services,"Such information may include your mobile device type, mobile device ID, and the date and time stamps of App use.
We may collect limited information from your mobile device in order to provide the App."
eleos health inc.,we,"services, analytics, advertising","This is the privacy policy (""Privacy Policy"") that governs how we, Eleos Health, Inc. (""Eleos"", ""we"", ""our"" or ""us""), use Personal Information (defined below) that we collect, receive and store about individuals in connection with the use of: (i) the website www.eleos.health, and any other website that we operate (each, together with its subdomains, content and services, a ""Site""); and (ii) the Eleos mobile software application (the ""App"")."
information about use of service,we,services,"The Site may use a tool called ""Mixpanel Analytics"" to collect information about the use of the Service."
information browser send to we,we,"services, analytics","The information inside the log files includes internet protocol (IP) addresses, type of browser, Internet Service Provider (ISP), date/time stamp, referring/exit pages, clicked pages and any other information your browser may send to us.
We may use such information to analyze trends, administer the Services, track users' movement around the Services, and gather demographic information."
information we get from mixpanel analytics,we,"services, analytics",We use the information we get from Mixpanel Analytics to maintain and improve the Service and our products.
information you submit via services,we,"services, analytics","We may disclose your Personal Information or any information you submitted via the Services if we have a good faith belief that disclosure of such information is helpful or reasonably necessary to: (i) comply with any applicable law, regulation, legal process or governmental request; (ii) enforce our Terms and SaaS Agreement, including investigations of potential violations thereof; (iii) detect, prevent, or otherwise address fraud or security issues; or (iv) protect against harm to the rights, property or safety of Eleos, our users, yourself or the public."
internet activity,UNSPECIFIED_ACTOR,,We do not allow third-parties to collect personally identifiable information about an individual consumer's online activities over time and across different web sites when a consumer uses the Services.
log file,we,"services, analytics",We may make use of log files.
mobile device type,we,"services, analytics","Such information may include your mobile device type, mobile device ID, and the date and time stamps of App use.
We may collect limited information from your mobile device in order to provide the App."
organization name,we,"services, analytics","If you create an Account you will be required to provide us with certain information, such as your name, email address, phone number, your organization name, your clinical degree, your position and title, your clinic's site, as well as a password that you will use for your Account (""Account Information"")."
password,we,"services, analytics","If you create an Account you will be required to provide us with certain information, such as your name, email address, phone number, your organization name, your clinical degree, your position and title, your clinic's site, as well as a password that you will use for your Account (""Account Information"")."
person name,we,"services, analytics","If you create an Account you will be required to provide us with certain information, such as your name, email address, phone number, your organization name, your clinical degree, your position and title, your clinic's site, as well as a password that you will use for your Account (""Account Information"").
If you send us a ""Contact Us"" request, whether by submitting an online form that we make available or by sending an email to an email address that we display, you may be required to provide us with certain information such as your name and email address."
personal identifier,UNSPECIFIED_ACTOR,,We do not allow third-parties to collect personally identifiable information about an individual consumer's online activities over time and across different web sites when a consumer uses the Services.
phone number,we,"services, analytics, advertising","If you create an Account you will be required to provide us with certain information, such as your name, email address, phone number, your organization name, your clinical degree, your position and title, your clinic's site, as well as a password that you will use for your Account (""Account Information"")."
position,we,"services, analytics, advertising","If you create an Account you will be required to provide us with certain information, such as your name, email address, phone number, your organization name, your clinical degree, your position and title, your clinic's site, as well as a password that you will use for your Account (""Account Information"")."
title,we,"services, analytics, advertising","If you create an Account you will be required to provide us with certain information, such as your name, email address, phone number, your organization name, your clinical degree, your position and title, your clinic's site, as well as a password that you will use for your Account (""Account Information"")."
tracking technology,we,"services, analytics, advertising","Our Services may utilize ""cookies"", anonymous identifiers and other tracking technologies in order for us to provide our Services and present you with information that is customized for you."
