data_type,collector,purpose,text
UNSPECIFIED_DATA,we,,"This enables you to ask us to suspend the processing of your personal data in the following scenarios: (a) if you want us to establish the data's accuracy; (b) where our use of the data is unlawful but you do not want us to erase it; (c) where you need us to hold the data even if we no longer require it as you need it to establish, exercise or defend legal claims; or (d) you have objected to our use of your data but we need to verify whether we have overriding legitimate grounds to use it.
We use different methods to collect data from and about you including through:"
cookie / pixel tag,we,services,"When you use our website, if you provide consent, we will store cookies on your computer in order to facilitate and customise your use of our site if your settings allow us to."
datum about you,UNSPECIFIED_ACTOR,,Clicking on those links or enabling those connections may allow third parties to collect or share data about you.
different kind,we,services,"We may, depending on the processing, collect, use, store and transfer different kinds of personal data about you which we have grouped together as follows:"
different kind,we,"services, analytics","We may, depending on the processing, collect, use, store and transfer different kinds of personal data about you which we have grouped together as follows:"
different method,we,services,We use different methods to collect data from and about you including through:
email address,we,,"We may use email addresses and first name / last name details to create 'custom audiences' and identify 'lookalike' audiences on social media channels to provide information, services, or products that we feel may be of use or interest to those audiences."
email address,we,services,"We may use email addresses and first name / last name details to create 'custom audiences' and identify 'lookalike' audiences on social media channels to provide information, services, or products that we feel may be of use or interest to those audiences."
en group,we,"services, analytics","Engaging Networks Privacy Notice

The data we collect about you and how it is collected
Marketing and Communications Data includes your preferences in receiving marketing from us, EN Group, and our third parties and your communication preferences."
identifier,we,services,"We may, depending on the processing, collect, use, store and transfer different kinds of personal data about you which we have grouped together as follows: Identity Data includes first name, last name, username or similar identifier,"
identity,we,services,"You may give us your identity and contact details by filling in online or paper forms, by corresponding with us or giving it in person."
information about,we,services,"Engaging Networks Privacy Notice

The data we collect about you and how it is collected
Usage Data includes information about how you use our website, products and"
person name,we,services,"We may use email addresses and first name / last name details to create 'custom audiences' and identify 'lookalike' audiences on social media channels to provide information, services, or products that we feel may be of use or interest to those audiences.
We may, depending on the processing, collect, use, store and transfer different kinds of personal data about you which we have grouped together as follows: Identity Data includes first name, last name, username or similar identifier,"
personal datum in structured use machine readable format,UNSPECIFIED_ACTOR,,"We will provide to you, or a third party you have chosen, your personal data in a structured, commonly used, machine-readable format."
personal datum in structured use machine readable format,we,services,"We will provide to you, or a third party you have chosen, your personal data in a structured, commonly used, machine-readable format."
personal datum of business contact within en group,we,services,We share personal data of business contacts within the EN Group.
statistical inference,we,"services, analytics","We use personal data of users of our website to gather statistical inferences from it, for example, we may aggregate your usage data to calculate the percentage of users accessing a specific website feature."
technical data about equipment,we,"services, analytics","As you interact with our website, we may automatically collect Technical Data about your equipment, browsing actions and patterns.
We collect this personal data by using cookies, server logs and other similar technologies."
training,agency,,"EN provides training to clients and agencies through our online training platform, The Academy."
training,en,,"EN provides training to clients and agencies through our online training platform, The Academy."
username,we,"services, analytics","We may, depending on the processing, collect, use, store and transfer different kinds of personal data about you which we have grouped together as follows: Identity Data includes first name, last name, username or similar identifier,"
web beacons,we,"services, analytics","We may use automatic data collection technologies to collect certain information about your equipment, browsing actions, and patterns, which includes Web Beacons."
