data_type,collector,purpose,text
Google,we,"analytics, services, advertising, legal",We may use third-party Service Providers to monitor and analyze the use of our Service such as Google Analytics.
UNSPECIFIED_DATA,we,"analytics, services","We use Cookies and similar tracking technologies to tract the activity on our Service and hold certain information, if you have allowed Cookies to be acceptable."
affiliate entity control,we,"analytics, services, advertising, legal","Spectrio LLC and any affiliate entity controlled directly or indirectly by it (collectively ""us"", ""we"", ""our"", or ""Spectrio"") take the protection of your privacy very seriously as trust is a core value."
collect datum,spectrio,,"Spectrio uses the collected data for various purposes though, such as:"
cookie / pixel tag,UNSPECIFIED_ACTOR,advertising,"We and our third-party vendors use cookies to inform, optimize and serve ads based on your past visits to our Service."
cookie / pixel tag,we,"analytics, services, advertising","We and our third-party vendors use cookies to inform, optimize and serve ads based on your past visits to our Service.
We collect several different types of information for various purposes to provide and improve our Service to you such as Personal Data, Usage Data, tracking and Cookies data.
We use Cookies and similar tracking technologies to tract the activity on our Service and hold certain information, if you have allowed Cookies to be acceptable."
data collect,service provider,,This means that the data collected is primarily stored by us and our service providers in the U.S.
data collect,we,"analytics, services, advertising",This means that the data collected is primarily stored by us and our service providers in the U.S.
datum relate to customer,we,"analytics, services, advertising","We may host or receive data related to our customers for our customers (and for which we act as a ""service provider"") via our product applications."
geolocation,we,"analytics, services, advertising","We may use and store information about your location if you give us permission to do so.
We use this data to provide features of our Service, to improve and customize our Service."
information on,we,"analytics, services, advertising",We may also collect information on how the Service is accessed and used also known as Usage Data.
personal information,UNSPECIFIED_ACTOR,"advertising, services",These third parties have access to your Personal Data only to perform these tasks on our behalf and are obligated not to disclose or use it for any other purpose.
personal information,spectrio,,"Under certain circumstances, Spectrio may be required to disclose your Personal Data if required to do so by law or in response to valid requests by public authorities (e.g. a court or a government agency)."
personal information,we,"analytics, services, advertising, legal","If you are located outside the United States and choose to provide information to us, please note that we transfer the data, including Personal Data, to United States and process it there if it is relevant for the delivery of our Services or applicable for business operations.
We collect several different types of information for various purposes to provide and improve our Service to you such as Personal Data, Usage Data, tracking and Cookies data.
We do retain and use Personal Data or Usage Data to the extent necessary to comply with applicable laws, resolve disputes, and enforce our legal agreements.
We may use your Personal Data to contact you through newsletters, marketing or promotional materials to optimize our sales operations, to maintain the security of our website, to present other media that may be of interest to you, or to address legal issues.
When operating as a Data Controller, we may process your Personal Data:"
