data_type,collector,purpose,text
UNSPECIFIED_DATA,UNSPECIFIED_ACTOR,,"Vendors, Consultants, and Other Third-Party Service Providers - We may share your data with third-party vendors, service providers, contractors, or agents (""third parties"") who perform services for us or on our behalf and require access to such information to do that work."
UNSPECIFIED_DATA,ai model,,"To facilitate the processing and improvement of our services, your  Data is shared with AI models."
UNSPECIFIED_DATA,contractor,,"Vendors, Consultants, and Other Third-Party Service Providers - We may share your data with third-party vendors, service providers, contractors, or agents (""third parties"") who perform services for us or on our behalf and require access to such information to do that work."
UNSPECIFIED_DATA,service provider,,"Vendors, Consultants, and Other Third-Party Service Providers - We may share your data with third-party vendors, service providers, contractors, or agents (""third parties"") who perform services for us or on our behalf and require access to such information to do that work."
UNSPECIFIED_DATA,we,"analytics, legal, security, services","- Consent - We may process your information if you have given us permission (i.e., consent) to use your personal information for a specific purpose.
- Legal Obligations - We may process your information where we believe it is necessary for compliance with our legal obligations.
- Legitimate Interests - We may process your information when we believe it is reasonably necessary to achieve our legitimate business interests and those interests do not outweigh your interests and fundamental rights and freedoms.
- Vital Interests - We may process your information when necessary to protect your vital interests or the vital interests of a third party.
For Canadian users, we may process your information with your express or implied consent.
However, we may retain some information in our files to prevent fraud, troubleshoot problems, assist with any investigations, enforce our legal terms and/or comply with applicable legal requirements.
In Short: We process your information to provide, improve, and administer our Services, communicate with you, for security and fraud prevention, and to comply with law.
In short, we keep your information for as long as necessary to fulfill the purposes outlined in this privacy notice unless otherwise required by law.
In some exceptional cases, we may process your information without your consent under applicable law, such as for investigations, fraud detection and prevention, business transactions, insurance claims, identifying injured or deceased persons, financial abuse, or compliance with subpoenas, warrants, court orders, or rules of the court relating to the production of records.
Privacy Notice

5C.1. HOW WE USE YOUR DATA  - To Provide and Improve Services : We analyze Data, which encompasses participant names, surnames, and calendar meeting transcriptions, to offer personalized services, improve existing features, and develop new functionalities tailored to your needs.
Privacy Notice

In short, we may transfer, store, and process your information in countries other than your own.
Privacy Notice

The information we collect includes:
Vendors, Consultants, and Other Third-Party Service Providers - We may share your data with third-party vendors, service providers, contractors, or agents (""third parties"") who perform services for us or on our behalf and require access to such information to do that work.
We also may need to share your personal information in the following situations: - Business Transfers - We may share or transfer your information in connection with, or during negotiations of, any merger, sale of company assets, financing, or acquisition of all or a portion of our business to another company.
We automatically collect certain information when you visit, use, or navigate the Services.
We may also process your information for other purposes with your consent.
We may process information about how you use our Services to better understand how they are being used so we can improve them.
We may process your information as part of our efforts to keep our Services safe and secure, including fraud monitoring and prevention.
We may process your information so you can create and log in to your account, as well as keep your account in working order.
We may process your information to provide you with the requested service.
We may process your information to respond to your inquiries and solve any potential issues you might have with the requested service.
We may process your information when necessary to request feedback and to contact you about your use of our Services.
We may process your information when necessary to save or protect an individual's vital interest, such as to prevent harm.
We may share information in specific situations and with specific categories of third parties.
We process your information only when we have a valid legal reason to do so."
information about you,we,"analytics, legal, security, services","In short, if you choose to register or log in to our services using a social media account, we may have access to certain information about you."
information describe in section call,we,"analytics, legal, security, services","If you choose to register in this way, we will collect the information described in the section called ""HOW DO WE HANDLE YOUR SOCIAL LOGINS?"" below."
information in specific situation describe in section,we,"analytics, legal, security, services","Privacy Notice

In short, we may share information in specific situations described in this section and/or with the following categories of third parties:"
information we receive,we,"analytics, legal, security, services",We will use the information we receive only for the purposes that are described in this privacy notice or that are otherwise made clear to you on the relevant Services.
option,we,"analytics, legal, security, services","We may provide you with the option to register with us using your existing social media account details, like your Facebook, Twitter, or other social media account."
payment datum,Stripe,,All payment data is stored by Stripe.
profile information,we,"analytics, legal, security, services","The profile information we receive may vary depending on the social media provider concerned but will often include your name, email address, friends list, and profile picture, as well as other information you choose to make public on such a social media platform."
profile information about you,we,"analytics, legal, security, services","Where you choose to do this, we will receive certain profile information about you from your social media provider."
