data_type,collector,purpose,text
customer datum,UNSPECIFIED_ACTOR,advertising,"We share customer data with the following third parties, including: Legal, accounting, insurance, and regulatory third parties: (i) to satisfy any applicable law, regulation, subpoenas, governmental requests or legal process if in our good faith opinion such is required or permitted by law, including to meet national security or law enforcement requirements; (ii) to protect and/or defend our agreements with our Customers and our policies, including investigation of potential violations thereof; (iii) to protect the safety, rights, property or security of Ethnio or any third party; and/or (iv) to detect, prevent or otherwise address fraud, security or technical issues.
We share customer data with the following third parties, including: Our contracted service providers and subprocessors that process Personal Data on our behalf for IT and system administration, credit card processing, research and analytics, marketing, customer support and data enrichment;"
customer datum,advertiser,advertising,"We share customer data with the following third parties, including: Third party advertising networks or others in order to tailor and serve advertisements regarding the Platform to customers."
customer datum,analytic provider,advertising,"We share customer data with the following third parties, including: Our contracted service providers and subprocessors that process Personal Data on our behalf for IT and system administration, credit card processing, research and analytics, marketing, customer support and data enrichment;"
customer datum,contract service provider,advertising,"We share customer data with the following third parties, including: Our contracted service providers and subprocessors that process Personal Data on our behalf for IT and system administration, credit card processing, research and analytics, marketing, customer support and data enrichment;"
customer datum,credit card processing,advertising,"We share customer data with the following third parties, including: Our contracted service providers and subprocessors that process Personal Data on our behalf for IT and system administration, credit card processing, research and analytics, marketing, customer support and data enrichment;"
customer datum,customer support,advertising,"We share customer data with the following third parties, including: Our contracted service providers and subprocessors that process Personal Data on our behalf for IT and system administration, credit card processing, research and analytics, marketing, customer support and data enrichment;"
customer datum,data enrichment,advertising,"We share customer data with the following third parties, including: Our contracted service providers and subprocessors that process Personal Data on our behalf for IT and system administration, credit card processing, research and analytics, marketing, customer support and data enrichment;"
customer datum,marketing,advertising,"We share customer data with the following third parties, including: Our contracted service providers and subprocessors that process Personal Data on our behalf for IT and system administration, credit card processing, research and analytics, marketing, customer support and data enrichment;"
customer datum,research,advertising,"We share customer data with the following third parties, including: Our contracted service providers and subprocessors that process Personal Data on our behalf for IT and system administration, credit card processing, research and analytics, marketing, customer support and data enrichment;"
customer datum,subprocessor,advertising,"We share customer data with the following third parties, including: Our contracted service providers and subprocessors that process Personal Data on our behalf for IT and system administration, credit card processing, research and analytics, marketing, customer support and data enrichment;"
customer datum,we,advertising,"We share customer data with the following third parties, including:"
personal information,UNSPECIFIED_ACTOR,advertising,Ethnio may disclose Personal Data to subcontractors and third-party agents who assist us in providing Services to our customers and prospects.
personal information,subcontractor,,Ethnio may disclose Personal Data to subcontractors and third-party agents who assist us in providing Services to our customers and prospects.
truthful information,data subject,,"In making modifications to their Personal Data, Data Subjects must provide only truthful, complete, and accurate information."
