data_type,collector,purpose,text
UNSPECIFIED_DATA,trusted business,services,"We may provide information to other trusted businesses or persons to process it for the services, based on our instructions and in compliance with our Privacy Policy and any other appropriate confidentiality and security measures."
UNSPECIFIED_DATA,we,"analytics, security, services","We also use your information to ensure that our services are working as intended, such as tracking outages or troubleshooting issues that you report to us.
We may provide information to other trusted businesses or persons to process it for the services, based on our instructions and in compliance with our Privacy Policy and any other appropriate confidentiality and security measures.
We use data for analytics and measurement to understand how our services are used.
We use data to build better services.
We use information to help improve the safety and reliability of our services.
We use your information to deliver our services.
We, XL8 Inc., collect information to provide better services to all our users."
datum about visit to site,we,"analytics, security, services","For example, we analyze data about your visits to our sites to do things like optimizing the product design."
email notification of privacy policy change,we,"analytics, security, services","If changes are significant, we'll provide a more prominent notice (including, for certain services, email notification of Privacy Policy changes)."
geolocation,we,"analytics, security, services","We may collect the location information when you use our services, which helps us offer the best user language of the UI.We use various technologies to collect and store information, including cookies, pixel tags, local storage, such as browser web storage or application data caches, databases, and server logs."
information we collect from service,we,"analytics, security, services",We use the information we collect from all our services for the following purposes:
information we store with account we treat as personal information,we,"analytics, security, services","When you're signed in, we also collect information that we store with your account, which we treat as personal information."
non-personal information,advertiser,legal,"3. For legal reasons

We may share non-personally identifiable information publicly and with our partners -- like publishers, advertisers, developers, or rights holders."
non-personal information,developer,legal,"3. For legal reasons

We may share non-personally identifiable information publicly and with our partners -- like publishers, advertisers, developers, or rights holders."
non-personal information,publisher,legal,"3. For legal reasons

We may share non-personally identifiable information publicly and with our partners -- like publishers, advertisers, developers, or rights holders."
non-personal information,we,"analytics, security, services, legal","3. For legal reasons

We may share non-personally identifiable information publicly and with our partners -- like publishers, advertisers, developers, or rights holders."
page,we,"analytics, security, services, legal","This information includes: Usage Data: How you interact with our services, such as pages visited, time spent on each page, and actions taken (e.g., button clicks)."
record of request,we,"analytics, security, services, legal","And if you contact XL8, we'll keep a record of your request in order to help solve any issues you might be facing."
server around world,we,"analytics, security, services, legal",We maintain servers around the world and your personal information may be processed on servers located outside of the country where you live.
xl8 inc.,we,"analytics, security, services, legal","We, XL8 Inc., collect information to provide better services to all our users."
