data_type,collector,purpose,text
UNSPECIFIED_DATA,acquirer,,"Furthermore, should there be any significant changes in our business structure, such as a merger, acquisition, or similar transaction, your information may be transferred to an acquirer, successor, or assignee."
UNSPECIFIED_DATA,assignee,,"Furthermore, should there be any significant changes in our business structure, such as a merger, acquisition, or similar transaction, your information may be transferred to an acquirer, successor, or assignee."
UNSPECIFIED_DATA,collaborator,services,These collaborators are authorized to use or disclose your information solely for the purpose of delivering essential services on behalf of ExactCareers.
UNSPECIFIED_DATA,we,,"Additionally, we will keep your data for the duration required to achieve the original collection purpose and until the Customer's account is deleted in accordance with our Customer Terms and Conditions.
We retain data only for as long as necessary to perform the app's functions."
aggregate / deidentified / pseudonymized information,UNSPECIFIED_ACTOR,,"Once you click on these links, you will exit our website, and another entity may collect your Personal Information or anonymized data."
cookie / pixel tag,we,services,We use cookies to enhance user experience and functionality within our app.
google user datum,we,services,"Here we describe how our application accesses, uses, stores, and shares Google user data when integrating Google Services, specifically Google Meet and Google Calendar, for scheduling and conducting interviews."
id,we,services,We only store Google Meet meeting's ID to make a meeting accessible once you want to join it.
information regard inquiry,team,,"Please provide detailed information regarding your inquiry or concern, and our team will strive to respond in a timely manner."
personal information,UNSPECIFIED_ACTOR,,"Once you click on these links, you will exit our website, and another entity may collect your Personal Information or anonymized data."
personal information,affiliates,,"Our subsidiaries and affiliates (collectively, ""Affiliates"") may share Personal Data about you with us."
personal information,exactcareers,,"This Privacy Policy outlines how ExactCareers gathers, utilizes, shares, and secures the personal information you provide."
personal information,we,services,"Our subsidiaries and affiliates (collectively, ""Affiliates"") may share Personal Data about you with us.
Third-Party Sources:

We receive Personal Data about you from third parties (""Third Parties""), including:
We gather Personal Data about you through the following channels:"
personal information gather from website,we,services,We utilize the personal information gathered from our websites and through the use of our services to offer a comprehensive range of benefits.
response we receive from google,we,services,We only use the response we receive from Google once you authenticate yourself as a valid Google user.
unique need of business,we,services,"Additionally, we use this information to fulfill specific requests, respond promptly to customer service inquiries, administer your account, and facilitate seamless transactions with other users when utilizing our services.
Understanding the unique needs of your business is a priority for us, allowing us to recommend or determine suitable products tailored to your requirements."
