data_type,collector,purpose,text
UNSPECIFIED_DATA,Google,,"Google Analytics collects information such as how often users visit the Website, what pages they visit when they do so, and what other sites they used prior to coming to the Website."
UNSPECIFIED_DATA,UNSPECIFIED_ACTOR,services,"We may disclose information as follows: We may disclose information to third-party companies and individuals to facilitate our Services, provide the Services on our behalf, perform website-related services, assist us in analyzing how our website and Services are used, or perform other services."
UNSPECIFIED_DATA,company affiliate with we,,"We may disclose information as follows: We may share information with companies that are affiliated with us, such as our direct or indirect subsidiaries or parent or sister companies.
We may share your information with companies that are affiliated with us, such as our direct or indirect subsidiaries or parent or sister companies."
UNSPECIFIED_DATA,company affiliated,,"We may share your information with companies that are affiliated with us, such as our direct or indirect subsidiaries or parent or sister companies."
UNSPECIFIED_DATA,individual,services,"We may disclose information as follows: We may disclose information to third-party companies and individuals to facilitate our Services, provide the Services on our behalf, perform website-related services, assist us in analyzing how our website and Services are used, or perform other services."
UNSPECIFIED_DATA,we,"advertising, services","Privacy Policy

Information We Obtain

Why We Collect Information
We collect information so we can identify you as our customer, to establish, manage and protect your accounts, to complete your transactions, to create and offer you products and services you might be interested in, to personalize and improve upon your experience with us and to comply with various legal and regulatory requirements.
We may also share your information with our affiliates to market financial products and services to you.
We may collect information from your visit or as part of the registration and administration of your account, in order to personalize and improve upon your experience with us, such as, without limitation, age and individual preferences ("" Non-Identifying Information "").
We may disclose information as follows: We also may share information when you ask or permit us to do so; in response to subpoenas or court orders; when we suspect fraud or criminal activity; to protect our property and rights or those of a third party; to protect the safety of the public or any person; or to prevent or stop activity we may consider to be, or to pose a risk of being, illegal, unethical, or legally actionable.
We may disclose information as follows: We may disclose information to third-party companies and individuals to facilitate our Services, provide the Services on our behalf, perform website-related services, assist us in analyzing how our website and Services are used, or perform other services.
We may disclose information as follows: We may share information with companies that are affiliated with us, such as our direct or indirect subsidiaries or parent or sister companies.
We may share your information with companies that are affiliated with us, such as our direct or indirect subsidiaries or parent or sister companies.
We want you to understand what information we collect and how we use it."
account name,we,"advertising, services","We may collect (and may have collected during the 12-month period prior to the Last Updated date of this California Consumer Privacy Notice) the following categories of personal information about you: Identifiers: identifiers such as a real name, alias, postal address, unique personal identifier (such as a device identifier; cookies, beacons, pixel tags, mobile ad identifiers, and similar technology; customer number, unique pseudonym, or user alias; telephone number and other forms of persistent or probabilistic identifiers), online identifier, IP address, email address, account name, Social Security number, driver's license number, passport number, and other similar identifiers"
account name,we,"advertising, services, legal, analytics, security","We may collect (and may have collected during the 12-month period prior to the Last Updated date of this California Consumer Privacy Notice) the following categories of personal information about you: Identifiers: identifiers such as a real name, alias, postal address, unique personal identifier (such as a device identifier; cookies, beacons, pixel tags, mobile ad identifiers, and similar technology; customer number, unique pseudonym, or user alias; telephone number and other forms of persistent or probabilistic identifiers), online identifier, IP address, email address, account name, Social Security number, driver's license number, passport number, and other similar identifiers"
broad technical information on,we,"advertising, services",We use log file information at times to help identify you as you browse and to gather broad technical and demographic information on who uses our website.
browsing / search history,we,"advertising, services","We may collect (and may have collected during the 12-month period prior to the Last Updated date of this California Consumer Privacy Notice) the following categories of personal information about you: Online Activity: Internet and other electronic network activity information, including, but not limited to, information regarding your interaction with websites, applications or advertisements"
