data_type,collector,purpose,text
UNSPECIFIED_DATA,UNSPECIFIED_ACTOR,services,"To realize the collaborating capability among the associated organizations, your organization will provide external collaborating organizations with your necessary personal information and data generated during work collaboration, and relevant information may be stored and accessed cross borders according to different collaborating counterparties.
When you log in with a Feishu account on a third-party product or service, or bind a Feishu account with another third-party or related party account, such applications or services will use your name, profile photo, app installation status, device information, the order information for purchasing third-party products and other information as authorized by you."
UNSPECIFIED_DATA,cooperative party,,"When you choose to participate in marketing activities organized by us and our affiliates or third parties, to provide you with consistent services in joint activities, or to send you cash rewards offered by our entrust cooperative parties in time, we and our cooperative parties may need your name, mailing address, contact information and other information."
UNSPECIFIED_DATA,external collaborate organization,services,"To realize the collaborating capability among the associated organizations, your organization will provide external collaborating organizations with your necessary personal information and data generated during work collaboration, and relevant information may be stored and accessed cross borders according to different collaborating counterparties."
UNSPECIFIED_DATA,feishu,,"Feishu will only process the information according to the Customer's instructions, the agreement between the Customer and us and for the purpose of providing you with relevant services and features.
In order to provide the Service for you and every Customer, meet Customer's needs of working collaboration and management, maintain the normal and safe operation of the Service, and optimize the functional experience of the Service, Feishu will collect the personal information you provide or authorize any other party to provide when registering an account and using the Service, as well as that generated during your use of the Service, according to the following purposes and methods:"
UNSPECIFIED_DATA,we,"security, services","To maintain a safe operation, quality and efficiency of software and services, we will collect the following information from you: hardware model, operating system version number, device identifiers (For Android devices: such as IMEI, AndroidID, OAID, IMSI, SIM card information (such as ICCID), GAID, MEID.
When you choose to participate in marketing activities organized by us and our affiliates or third parties, to provide you with consistent services in joint activities, or to send you cash rewards offered by our entrust cooperative parties in time, we and our cooperative parties may need your name, mailing address, contact information and other information.
c. We may use your account information, device information, service logs and other information that our affiliates and partners may seek from you with your authorization or according to law, for the purpose of maintaining the security of accounts and transactions, conducting identity verification, identifying violations, detecting and preventing security incidents."
above information,feishu,,"1.7.3 When you click, browse, comment, collect, download, are ""liked"" or share the content, Feishu will record the above information for enabling such features."
acceleration sensor,we,"security, services, analytics","When you take pictures with the horizontal screen of your mobile phone, to adapt to the status of your device, we may use the acceleration sensor to identify whether the device is in the horizontal screen status."
account,customer service provider,"analytics, services","to deal with your complaints, suggestions and other demands in a timely manner, the customer service provider needs to use your account and relevant information of the events involved to understand, handle and respond to relevant issues in a timely manner."
account information,we,"security, services, analytics","c. We may use your account information, device information, service logs and other information that our affiliates and partners may seek from you with your authorization or according to law, for the purpose of maintaining the security of accounts and transactions, conducting identity verification, identifying violations, detecting and preventing security incidents."
app installation status,UNSPECIFIED_ACTOR,services,"When you log in with a Feishu account on a third-party product or service, or bind a Feishu account with another third-party or related party account, such applications or services will use your name, profile photo, app installation status, device information, the order information for purchasing third-party products and other information as authorized by you."
application,we,"security, services, analytics","b. To prevent malicious programs and maintain the operation quality and efficiency, we will collect the information of the Feishu application you installed (such as version, language, source, etc.), application-in-process, usage and frequency, application crash and performance data."
avatar,we,"security, services, analytics",We need to locally process the names and avatars from the address book in the client for local display purpose only.
bluetooth information,feishu,services,"In WiFi or Bluetooth clock-in mode, Feishu also needs to obtain your WiFi access point, Bluetooth information respectively to help you clock in."
communication call record with we,we,"security, services, analytics","Therefore, we will record your contact information, feedback problems or suggestions, your communication/call records with us and related contents (including account information, work order information, the information you provided when you contacted customer service, the feedback you sent on the questionnaire, other information you provide to prove relevant facts, or other contact information you leave), so that we can further contact you and give you feedback on our processing progress."
cookie / pixel tag,we,"security, services, analytics","2.1 To improve your experience using the Service, we use Cookies and other similar technologies."
cookies,we,"security, services, analytics",We use Cookies and similar technologies mainly to facilitate the following functions or services:
corresponding recording file,feishu,services,"1.5.4 When the recording function for audio and video conferences is activated, Feishu will store the corresponding recording files and the transcripts of the contents by Feishu Minutes."
device identifier,we,"security, services, analytics","To maintain a safe operation, quality and efficiency of software and services, we will collect the following information from you: hardware model, operating system version number, device identifiers (For Android devices: such as IMEI, AndroidID, OAID, IMSI, SIM card information (such as ICCID), GAID, MEID."
device information,UNSPECIFIED_ACTOR,services,"When you log in with a Feishu account on a third-party product or service, or bind a Feishu account with another third-party or related party account, such applications or services will use your name, profile photo, app installation status, device information, the order information for purchasing third-party products and other information as authorized by you."
device information,we,"security, services, analytics","c. We may use your account information, device information, service logs and other information that our affiliates and partners may seek from you with your authorization or according to law, for the purpose of maintaining the security of accounts and transactions, conducting identity verification, identifying violations, detecting and preventing security incidents."
device time zone,feishu,services,"1.2.12 In the process of instant communication, if you and the other party are not in the same time zone and your local time is between 22:00 p.m. and 08:00 a.m., to help the other party understand your local time, as to reasonably arrange work communication and avoid unnecessary interference, Feishu needs to use your device time zone so as to show the other party your local time."
distance sensor,feishu,services,"1.2.11 When you play voice, to help you determine whether to turn on the handset mode, Feishu may need to use the distance sensor."
facial feature information,we,"security, services, analytics","We will retain your facial photos and facial feature information based the Customer's instruction, and we will not provide relevant data to third parties."
facial information,we,"security, services, analytics","In the scenario of face recognition, we will process your facial information in accordance with the Chinese """
facial photo,we,"security, services, analytics","We will retain your facial photos and facial feature information based the Customer's instruction, and we will not provide relevant data to third parties."
feedback,feishu,services,"Feishu collects your feedback, related the Input Content and the Output Content to improve the functionality of the Service."
