data_type,collector,purpose,text
UNSPECIFIED_DATA,UNSPECIFIED_ACTOR,,"For example, we may share anonymous and aggregated reports and information on user demographics and traffic patterns with third parties."
UNSPECIFIED_DATA,analytic provider,,"We share information with third parties who provide services to us, such as payment processing, analytics, website management, information technology, and other similar service providers."
UNSPECIFIED_DATA,information technology,,"We share information with third parties who provide services to us, such as payment processing, analytics, website management, information technology, and other similar service providers."
UNSPECIFIED_DATA,payment processing,,"We share information with third parties who provide services to us, such as payment processing, analytics, website management, information technology, and other similar service providers."
UNSPECIFIED_DATA,service provider,,"We share information with third parties who provide services to us, such as payment processing, analytics, website management, information technology, and other similar service providers."
UNSPECIFIED_DATA,we,"analytics, security, services","For example, we may share anonymous and aggregated reports and information on user demographics and traffic patterns with third parties.
In providing the Service, we collect and obtain information about our users (""End Users"") to, among other things, help End Users and their organizations monitor and respond to incidents affecting their products and services (including site outages and data security incidents).
We may disclose your information as we believe to be necessary or appropriate to: (1) comply with applicable law and legal processes; (2) respond to requests from public and government authorities, including public and government authorities outside your country of residence; (3) enforce our legal agreements; (4) protect our rights, privacy, safety, or property, and/or that of our affiliates, you, or others; and (5) allow us to pursue available remedies or limit the damages that we may sustain.
We may share, transfer, or disclose your information if you consent to us doing so, as well as in the following circumstances:
We may use your data to create aggregate or statistical information that does not directly identify a specific person, and we may share that information.
We share information with third parties who provide services to us, such as payment processing, analytics, website management, information technology, and other similar service providers.
We use information in a variety of ways to provide the Service and to operate our business, including the following:
We use your information to communicate with you for Service-related purposes."
UNSPECIFIED_DATA,website management,,"We share information with third parties who provide services to us, such as payment processing, analytics, website management, information technology, and other similar service providers."
aggregate / deidentified / pseudonymized information,we,"analytics, security, services","We may share, transfer, or disclose your information if you consent to us doing so, as well as in the following circumstances: Aggregate, De-Identified Information."
anonymous report,UNSPECIFIED_ACTOR,,"For example, we may share anonymous and aggregated reports and information on user demographics and traffic patterns with third parties."
anonymous report,we,"analytics, security, services","For example, we may share anonymous and aggregated reports and information on user demographics and traffic patterns with third parties."
demographic information,we,"analytics, security, services","Cookies enable us to personalize your experience on the Service, maintain a persistent session, passively collect demographic information, and monitor advertisements and other activities."
device information,firehydrant,,"FireHydrant collects information from and about End Users in a variety of ways.
This information includes: Device and Usage Information."
different kind,we,"analytics, security, services",The Service may use different kinds of cookies and other types of local storage (such as browser-based or plugin-based local storage).
information about interaction with service,we,"analytics, security, services","We also receive information about your interactions with our Service, such as which website pages you visited and how much time was spent on the page.
We may collect and analyze this information through our third-party service providers.
We may collect this information using cookies or similar technologies."
information about you,firehydrant,,"This Privacy Policy explains how FireHydrant collects, uses, discloses, and secures information about you through https://www.firehydrant.io (as may be updated, relocated, or otherwise modified from time to time) along with our related websites, networks, applications, mobile applications, our electronic communications, including email and text messages, and other services provided by us (collectively, the ""Service"")."
information collect,end users,,"The Service may allow End Users to share information collected with explicitly designated third parties, including other End Users."
information from source,firehydrant,,"FireHydrant collects information from and about End Users in a variety of ways.
This information includes: Information from Other Sources."
information we collect,we,"analytics, security, services","We use the information that we collect: (1) to understand and analyze usage trends and preferences; (2) to monitor and analyze the effectiveness of the Service; and (3) to improve the Service and develop new products, services, features, and functionality."
information we collect about,we,"analytics, security, services, advertising","As permitted by applicable law, we may use information we collect about and from you for marketing purposes, such as providing you with promotional materials that may be useful, relevant, valuable, or otherwise of interest to you.
We use the information we collect about and from you for a number of purposes, including providing and supporting the Service, analyzing how you use the Service, and better tailoring features."
information you submit,we,"analytics, security, services, advertising",We will also collect any information you submit through your use of the Service.
mobile application,we,"analytics, security, services, advertising","This Privacy Policy explains how FireHydrant collects, uses, discloses, and secures information about you through https://www.firehydrant.io (as may be updated, relocated, or otherwise modified from time to time) along with our related websites, networks, applications, mobile applications, our electronic communications, including email and text messages, and other services provided by us (collectively, the ""Service"")."
network,we,"analytics, security, services, advertising","This Privacy Policy explains how FireHydrant collects, uses, discloses, and secures information about you through https://www.firehydrant.io (as may be updated, relocated, or otherwise modified from time to time) along with our related websites, networks, applications, mobile applications, our electronic communications, including email and text messages, and other services provided by us (collectively, the ""Service"")."
non-personal information,we,"analytics, security, services, advertising","We may use your data to create aggregate or statistical information that does not directly identify a specific person, and we may share that information."
personal information,we,"analytics, security, services, advertising","We keep Personal Data for as long as reasonably necessary for the purposes described in this Privacy Policy, while we have a business need to do so, or as required by law (e.g. for tax, legal, accounting or other purposes), whichever is longer."
preference,we,"analytics, security, services, advertising","We use the information that we collect: (1) to understand and analyze usage trends and preferences; (2) to monitor and analyze the effectiveness of the Service; and (3) to improve the Service and develop new products, services, features, and functionality."
related website,we,"analytics, security, services, advertising","This Privacy Policy explains how FireHydrant collects, uses, discloses, and secures information about you through https://www.firehydrant.io (as may be updated, relocated, or otherwise modified from time to time) along with our related websites, networks, applications, mobile applications, our electronic communications, including email and text messages, and other services provided by us (collectively, the ""Service"")."
usage trend,we,"analytics, security, services, advertising","We use the information that we collect: (1) to understand and analyze usage trends and preferences; (2) to monitor and analyze the effectiveness of the Service; and (3) to improve the Service and develop new products, services, features, and functionality."
