data_type,collector,purpose,text
UNSPECIFIED_DATA,UNSPECIFIED_ACTOR,"security, services","Additionally, we share your information with subsidiaries and joint ventures to help coordinate the services we provide to you, enforce our appropriate use policy, and promote trust and safety."
UNSPECIFIED_DATA,firstdigital,,"Additionally, in the course of providing telephony services, FirstDigital obtains information such as class or type of service, technical characteristics, billing records, location of service and other information.
FirstDigital collects information from our users at several points on our Site as further described in this statement.
FirstDigital collects information online by asking you for it, for example, to order a service, apply for a job, or in responding to your email."
UNSPECIFIED_DATA,joint venture,"security, services","Additionally, we share your information with subsidiaries and joint ventures to help coordinate the services we provide to you, enforce our appropriate use policy, and promote trust and safety."
UNSPECIFIED_DATA,we,"security, services","Additionally, we share your information with subsidiaries and joint ventures to help coordinate the services we provide to you, enforce our appropriate use policy, and promote trust and safety.
If you purchase video, phone, internet, or managed services (""Services"") from us, we may collect your name, mailing address, driver's license number, social security number, telephone number, credit card number and email address, certain additional information as provided in our Service Order Agreement, and online traffic, actions and anonymous surfing data (in general, ""click-stream data"") and data which can be used to provide a better online experience.
In addition, during the course of providing services to our Customers, we collect information about their use of the Services, including type of service and calling activity; that information is known as ""Customer Proprietary Network Information,"" (herein after referred to as ""CPNI"") and is subject to special rules.  From time to time we obtain information such as class or type of service, technical characteristics, billing records, location of service, IP address and other information pertaining to Customers.
We use performance cookies to collect information about how visitors use our website, which parts of the website you like and what types of content you view.
We use the information to improve our website and enhance our user experience."
anonymous surfing datum,we,"security, services","If you purchase video, phone, internet, or managed services (""Services"") from us, we may collect your name, mailing address, driver's license number, social security number, telephone number, credit card number and email address, certain additional information as provided in our Service Order Agreement, and online traffic, actions and anonymous surfing data (in general, ""click-stream data"") and data which can be used to provide a better online experience."
billing record,firstdigital,,"Additionally, in the course of providing telephony services, FirstDigital obtains information such as class or type of service, technical characteristics, billing records, location of service and other information."
billing record,we,"security, services","In addition, during the course of providing services to our Customers, we collect information about their use of the Services, including type of service and calling activity; that information is known as ""Customer Proprietary Network Information,"" (herein after referred to as ""CPNI"") and is subject to special rules.  From time to time we obtain information such as class or type of service, technical characteristics, billing records, location of service, IP address and other information pertaining to Customers."
class,firstdigital,,"Additionally, in the course of providing telephony services, FirstDigital obtains information such as class or type of service, technical characteristics, billing records, location of service and other information."
class,we,"security, services","In addition, during the course of providing services to our Customers, we collect information about their use of the Services, including type of service and calling activity; that information is known as ""Customer Proprietary Network Information,"" (herein after referred to as ""CPNI"") and is subject to special rules.  From time to time we obtain information such as class or type of service, technical characteristics, billing records, location of service, IP address and other information pertaining to Customers."
click stream data,we,"security, services","If you purchase video, phone, internet, or managed services (""Services"") from us, we may collect your name, mailing address, driver's license number, social security number, telephone number, credit card number and email address, certain additional information as provided in our Service Order Agreement, and online traffic, actions and anonymous surfing data (in general, ""click-stream data"") and data which can be used to provide a better online experience."
communication of kind over network,firstdigital,,"FirstDigital may monitor and/or disclose communications of any kind over its networks (i) to satisfy any law, regulation, or government request (e.g. response to private or law enforcement-issued subpoena); (ii) if such monitoring and/or disclosure is necessary or appropriate to operate We  (e.g. recording of Customer Care calls); or (iii) to protect the rights or property of FirstDigital or others (e.g. to prevent fraud, infringement of rights, etc.).  Additionally, in connection with the potential sale or transfer of any of its interest in FirstDigital, FirstDigital reserves the right to sell or transfer visitor or Customer information to a third party that (i) concentrates its business in communication products or services, (ii) agrees to be FirstDigital's successor in interest with regard to the maintenance and protection of information collected and maintained by FirstDigital, and (iii) agrees to the material obligations of this Privacy Notice.  Furthermore, we may or may not recognize the do-no-track headers from some or all browsers."
cookie / pixel tag,firstdigital,analytics,FirstDigital may also use 'cookies' and similar technology to obtain information about your visits to our Site in an aggregated data format that does not identify you.
cookie / pixel tag,we,"security, services","We use cookies to provide you a richer, personalized experience on our Site, to customize your shopping experience, and to remember who you are when you revisit our Site.
We use performance cookies to collect information about how visitors use our website, which parts of the website you like and what types of content you view."
credit / debit card number,we,"security, services","If you purchase video, phone, internet, or managed services (""Services"") from us, we may collect your name, mailing address, driver's license number, social security number, telephone number, credit card number and email address, certain additional information as provided in our Service Order Agreement, and online traffic, actions and anonymous surfing data (in general, ""click-stream data"") and data which can be used to provide a better online experience."
customer information,we,"security, services","The law does permit us to disclose to law enforcement, voluntarily and without prior notice, customer information, including the contents of communications, if we reasonably believe that an emergency involving immediate danger of death or serious physical injury requires such disclosure without delay"
datum use,we,"security, services","If you purchase video, phone, internet, or managed services (""Services"") from us, we may collect your name, mailing address, driver's license number, social security number, telephone number, credit card number and email address, certain additional information as provided in our Service Order Agreement, and online traffic, actions and anonymous surfing data (in general, ""click-stream data"") and data which can be used to provide a better online experience."
driver's license number,we,"security, services","If you purchase video, phone, internet, or managed services (""Services"") from us, we may collect your name, mailing address, driver's license number, social security number, telephone number, credit card number and email address, certain additional information as provided in our Service Order Agreement, and online traffic, actions and anonymous surfing data (in general, ""click-stream data"") and data which can be used to provide a better online experience."
email address,we,"security, services","If you contact us, we may collect your email address and the content of your communications.
If you purchase video, phone, internet, or managed services (""Services"") from us, we may collect your name, mailing address, driver's license number, social security number, telephone number, credit card number and email address, certain additional information as provided in our Service Order Agreement, and online traffic, actions and anonymous surfing data (in general, ""click-stream data"") and data which can be used to provide a better online experience.
We also use email as a means of communicating with our customers."
email address,we,"security, services, analytics","If you contact us, we may collect your email address and the content of your communications.
If you purchase video, phone, internet, or managed services (""Services"") from us, we may collect your name, mailing address, driver's license number, social security number, telephone number, credit card number and email address, certain additional information as provided in our Service Order Agreement, and online traffic, actions and anonymous surfing data (in general, ""click-stream data"") and data which can be used to provide a better online experience.
We also use email as a means of communicating with our customers."
federal tax id information,firstdigital,"analytics, security, services","For account security, verification or tax purposes, FirstDigital may also request federal tax ID information, purchase order number, and information about the individuals responsible for business account administration."
geolocation,firstdigital,"analytics, security, services","Additionally, in the course of providing telephony services, FirstDigital obtains information such as class or type of service, technical characteristics, billing records, location of service and other information."
geolocation,we,"security, services","In addition, during the course of providing services to our Customers, we collect information about their use of the Services, including type of service and calling activity; that information is known as ""Customer Proprietary Network Information,"" (herein after referred to as ""CPNI"") and is subject to special rules.  From time to time we obtain information such as class or type of service, technical characteristics, billing records, location of service, IP address and other information pertaining to Customers."
id,we,"security, services, analytics",We also use this ID to track the pages you visit on our Site.
information about individual responsible,firstdigital,"analytics, security, services","For account security, verification or tax purposes, FirstDigital may also request federal tax ID information, purchase order number, and information about the individuals responsible for business account administration."
information about visit to site,firstdigital,"analytics, security, services",FirstDigital may also use 'cookies' and similar technology to obtain information about your visits to our Site in an aggregated data format that does not identify you.
information pertain to customer,we,"security, services, analytics","In addition, during the course of providing services to our Customers, we collect information about their use of the Services, including type of service and calling activity; that information is known as ""Customer Proprietary Network Information,"" (herein after referred to as ""CPNI"") and is subject to special rules.  From time to time we obtain information such as class or type of service, technical characteristics, billing records, location of service, IP address and other information pertaining to Customers."
information we collect about you,we,"security, services, analytics","We use the information we collect about you in order (1) to provide our services and process your transactions, (2) to provide customer service, (3) to determine your eligibility to receive offers for special features or products, (4) to improve our products and services, (5) to comply with governmental regulations and requests, (6) to deal with fraud and unauthorized use of our Services."
information we deem,firstdigital,"analytics, security, services",FirstDigital collects information we deem necessary to provide services to you and to comply with applicable governmental regulations and requests.
internet activity,we,"security, services, analytics","If you transmit a service inquiry, we may collect information about your usage of our services regardless of whether the services utilized consist of video, phone, internet, or security monitoring services."
ip address,we,"security, services","In addition, during the course of providing services to our Customers, we collect information about their use of the Services, including type of service and calling activity; that information is known as ""Customer Proprietary Network Information,"" (herein after referred to as ""CPNI"") and is subject to special rules.  From time to time we obtain information such as class or type of service, technical characteristics, billing records, location of service, IP address and other information pertaining to Customers."
ip address,we,"security, services, analytics","In addition, during the course of providing services to our Customers, we collect information about their use of the Services, including type of service and calling activity; that information is known as ""Customer Proprietary Network Information,"" (herein after referred to as ""CPNI"") and is subject to special rules.  From time to time we obtain information such as class or type of service, technical characteristics, billing records, location of service, IP address and other information pertaining to Customers."
online traffic,we,"security, services, analytics","If you purchase video, phone, internet, or managed services (""Services"") from us, we may collect your name, mailing address, driver's license number, social security number, telephone number, credit card number and email address, certain additional information as provided in our Service Order Agreement, and online traffic, actions and anonymous surfing data (in general, ""click-stream data"") and data which can be used to provide a better online experience."
person name,we,"security, services, analytics","If you purchase video, phone, internet, or managed services (""Services"") from us, we may collect your name, mailing address, driver's license number, social security number, telephone number, credit card number and email address, certain additional information as provided in our Service Order Agreement, and online traffic, actions and anonymous surfing data (in general, ""click-stream data"") and data which can be used to provide a better online experience."
personal information,we,"security, services, analytics","If you utilize services or take advantage of special offers made by our marketing partners, or us we may collect other personal information about you.
We collect 'personal' information from you when you provide it to us.
We collect, store, and process your personal information on servers located in the United States."
phone number,we,"security, services, analytics","If you purchase video, phone, internet, or managed services (""Services"") from us, we may collect your name, mailing address, driver's license number, social security number, telephone number, credit card number and email address, certain additional information as provided in our Service Order Agreement, and online traffic, actions and anonymous surfing data (in general, ""click-stream data"") and data which can be used to provide a better online experience."
postal address,we,"security, services, analytics","If you purchase video, phone, internet, or managed services (""Services"") from us, we may collect your name, mailing address, driver's license number, social security number, telephone number, credit card number and email address, certain additional information as provided in our Service Order Agreement, and online traffic, actions and anonymous surfing data (in general, ""click-stream data"") and data which can be used to provide a better online experience."
purchase order number,firstdigital,"analytics, security, services","For account security, verification or tax purposes, FirstDigital may also request federal tax ID information, purchase order number, and information about the individuals responsible for business account administration."
reasonable access to individual,firstdigital,"analytics, security, services",FirstDigital will take reasonable steps to collect the minimum amount of personal information necessary to accomplish the specific purpose and will provide reasonable access to individuals regarding the personal information we hold about them.
ssn,we,"security, services, analytics","If you purchase video, phone, internet, or managed services (""Services"") from us, we may collect your name, mailing address, driver's license number, social security number, telephone number, credit card number and email address, certain additional information as provided in our Service Order Agreement, and online traffic, actions and anonymous surfing data (in general, ""click-stream data"") and data which can be used to provide a better online experience."
technical characteristic,firstdigital,"analytics, security, services","Additionally, in the course of providing telephony services, FirstDigital obtains information such as class or type of service, technical characteristics, billing records, location of service and other information."
technical characteristic,we,"security, services, analytics","In addition, during the course of providing services to our Customers, we collect information about their use of the Services, including type of service and calling activity; that information is known as ""Customer Proprietary Network Information,"" (herein after referred to as ""CPNI"") and is subject to special rules.  From time to time we obtain information such as class or type of service, technical characteristics, billing records, location of service, IP address and other information pertaining to Customers."
we company,we,"security, services, analytics","This policy applies to all of FirstDigital's operating companies and affiliates (herein collectively referred to as ""we,"" ""us,"" ""Company,"" or ""FirstDigital) and herein referred to as ""Customer,"" ""You."""
