data_type,collector,purpose,text
UNSPECIFIED_DATA,UNSPECIFIED_ACTOR,,"Privacy Policy

Sharing Data with Third-Party AI Platforms
We may share Your information with Our affiliates, in which case we will require those affiliates to honor this Privacy Policy.
We may share Your personal information in the following situations: With Affiliates:"
UNSPECIFIED_DATA,business partner,advertising,"We may share Your personal information in the following situations: With business partners: We may share Your information with Our business partners to offer You certain products, services or promotions."
UNSPECIFIED_DATA,we,"advertising, analytics, legal, services","Please note, however, that We may need to retain certain information when we have a legal obligation or lawful basis to do so.
The Company may use Personal Data for the following purposes: For business transfers: We may use Your information to evaluate or conduct a merger, divestiture, restructuring, reorganization, dissolution, or other sale or transfer of some or all of Our assets, whether as a going concern or as part of bankruptcy, liquidation, or similar proceeding, in which Personal Data held by Us about our Service users is among the assets transferred.
The Company may use Personal Data for the following purposes: For other purposes: We may use Your information for other purposes, such as data analysis, identifying usage trends, determining the effectiveness of our promotional campaigns and to evaluate and improve our Service, products, services, marketing and your experience.
We may share Your information with Our affiliates, in which case we will require those affiliates to honor this Privacy Policy.
We may share Your personal information in the following situations: With business partners: We may share Your information with Our business partners to offer You certain products, services or promotions.
When You access the Service by or through a mobile device, We may collect certain information automatically, including, but not limited to, the type of mobile device You use, Your mobile device unique ID, the IP address of Your mobile device, Your mobile operating system, the type of mobile Internet browser You use, unique device identifiers and other diagnostic data."
contact information,we,"advertising, analytics, legal, services","While using Our Service, We may ask You to provide Us with certain personally identifiable information that can be used to contact or identify You."
cookie / pixel tag,we,"advertising, analytics, legal, services","Unless you have adjusted Your browser setting so that it will refuse Cookies, our Service may use Cookies.
We use Cookies and similar tracking technologies to track the activity on Our Service and store certain information.
We use both Session and Persistent Cookies for the purposes set out below:"
datum encryption,resource,services,"Resources must maintain data encryption at rest and in transit for their entire lifecycle, including during decommissioning or when removed from service temporarily."
datum necessary,we,"advertising, analytics, legal, services",We take the following measures to ensure the security and privacy of your data when shared with third-party AI platforms: Data Minimization : We only share the data necessary to achieve the specific improvements or functionalities.
information about,party outside flozy,,"Providing information about, or lists of, Flozy personnel to parties outside Flozy."
information browser send,we,"advertising, analytics, legal, services",We may also collect information that Your browser sends whenever You visit our Service or when You access the Service by or through a mobile device.
non-personal information,we,"advertising, analytics, legal, services","When sharing data with third-party AI platforms, we share non-personally identifiable information that includes, but is not limited to:"
personal information,UNSPECIFIED_ACTOR,"advertising, analytics, services",We may share Your personal information in the following situations: With Affiliates:
personal information,business partner,"advertising, analytics, services","We may share Your personal information in the following situations: With business partners: We may share Your information with Our business partners to offer You certain products, services or promotions."
personal information,service provider,"advertising, analytics, services","We may share Your personal information in the following situations:
With Service Providers: We may share Your personal information with Service Providers to monitor and analyze the use of our Service, to contact You."
personal information,we,"advertising, analytics, legal, services","Other legal requirements

The Company may disclose Your Personal Data in the good faith belief that such action is necessary to:
The Company may use Personal Data for the following purposes:
The Company will retain Your Personal Data only for as long as is necessary for the purposes set out in this Privacy Policy.
Under certain circumstances, the Company may be required to disclose Your Personal Data if required to do so by law or in response to valid requests by public authorities (e.g. a court or a government agency).
We may share Your personal information in the following situations: For business transfers: We may share or transfer Your personal information in connection with, or during negotiations of, any merger, sale of Company assets, financing, or acquisition of all or a portion of Our business to another company.
We may share Your personal information in the following situations: With Your consent: We may disclose Your personal information for any other purpose with Your consent.
We use Your Personal data to provide and improve the Service.
We will retain and use Your Personal Data to the extent necessary to comply with our legal obligations (for example, if we are required to retain your data to comply with applicable laws), resolve disputes, and enforce our legal agreements and policies.
With Service Providers: We may share Your personal information with Service Providers to monitor and analyze the use of our Service, to contact You."
user datum,Google,,"In our commitment to enhancing our Service and providing you with innovative features, we may share certain user data with third-party artificial intelligence (AI) platforms, including OpenAI, and Google."
user datum,openai,,"In our commitment to enhancing our Service and providing you with innovative features, we may share certain user data with third-party artificial intelligence (AI) platforms, including OpenAI, and Google."
user datum,we,"advertising, analytics, legal, services","In our commitment to enhancing our Service and providing you with innovative features, we may share certain user data with third-party artificial intelligence (AI) platforms, including OpenAI, and Google."
