data_type,collector,purpose,text
UNSPECIFIED_DATA,UNSPECIFIED_ACTOR,,"As is true of most other websites, Fluint's website collects certain information automatically and stores it in log files."
UNSPECIFIED_DATA,service provider,,"If you are located in the EU, when we share your personal data with third parties based outside of the European Economic Area ("" EEA ""), we will ensure that our service providers sign on agreements that require them to comply with applicable law, keep your data secure at similar levels to the level described in this Policy, and make sure that your data protection rights are protected."
UNSPECIFIED_DATA,we,,"If you would like to exercise your privacy rights, please direct your query to Fluint's data protection officer:Jon Crawleyjon@fluint.io1900 Grant Street, Ste 510Denver, CO 80203  (3) How We Collect and Process Your Data
We use both types."
broad demographic information assist we in,we,,"We may also use your IP address to help diagnose problems with our server and to administer our website, analyze trends, track visitor movements, and gather broad demographic information that assists us in identifying preferences; - If a Customer has enabled the optional 'note-taking' feature within the Platform, and users opt-in to the use of this feature in their calls and meetings recorded through Fluint, these meeting recordings may be used to identify and note each user's participation on the recorded calls; - To facilitate and optimize our marketing campaigns, ad management and sales operations, including personalized messages based on user behavior and locations."
browser type,we,,"The information may include internet protocol (IP) addresses, the region or general location where your computer or device is accessing the internet, browser type, operating system and other usage information about the use of Fluint's website, including a history of the pages you view.
We use this personal data as necessary for the performance of our Services; to comply with our legal and contractual obligations; and to support legitimate interests in maintaining and improving our Services; in marketing, and selling Services; providing customer service and technical support; and protecting prospects, customers, and ourselves (""Legitimate Interests"")."
cookie / pixel tag,ou rservice providers,"analytics, services","We and ou rService Providers use cookies, pixels and other technologies to enable and improve the Services we provide, to track the performance of our Sites, perform analytics and gain insights on the use of our Services and the performance of our activities, and for personalization purposes."
cookie / pixel tag,we,"analytics, services","We and ou rService Providers use cookies, pixels and other technologies to enable and improve the Services we provide, to track the performance of our Sites, perform analytics and gain insights on the use of our Services and the performance of our activities, and for personalization purposes.
We use ""Persistent Cookies"" to remember your log-in details and make it easier for you to log-in the next time you access the Platform."
customer relation management system,service providers,,"- To provide select third-party companies and integrations who assist in delivering Services on our behalf and complementary to our own, including, for example, hosting and servers, data security services, billing and payment processing, web and product content transcription and analysis services, performance measurement,  customer relation management systems (collectively, "" Service Providers "")."
geolocation,we,"analytics, services","The information may include internet protocol (IP) addresses, the region or general location where your computer or device is accessing the internet, browser type, operating system and other usage information about the use of Fluint's website, including a history of the pages you view.
We use this personal data as necessary for the performance of our Services; to comply with our legal and contractual obligations; and to support legitimate interests in maintaining and improving our Services; in marketing, and selling Services; providing customer service and technical support; and protecting prospects, customers, and ourselves (""Legitimate Interests"")."
ip address,we,"analytics, services","The information may include internet protocol (IP) addresses, the region or general location where your computer or device is accessing the internet, browser type, operating system and other usage information about the use of Fluint's website, including a history of the pages you view.
We may also use your IP address to help diagnose problems with our server and to administer our website, analyze trends, track visitor movements, and gather broad demographic information that assists us in identifying preferences; - If a Customer has enabled the optional 'note-taking' feature within the Platform, and users opt-in to the use of this feature in their calls and meetings recorded through Fluint, these meeting recordings may be used to identify and note each user's participation on the recorded calls; - To facilitate and optimize our marketing campaigns, ad management and sales operations, including personalized messages based on user behavior and locations.
We use this personal data as necessary for the performance of our Services; to comply with our legal and contractual obligations; and to support legitimate interests in maintaining and improving our Services; in marketing, and selling Services; providing customer service and technical support; and protecting prospects, customers, and ourselves (""Legitimate Interests"")."
operating system,we,"analytics, services","The information may include internet protocol (IP) addresses, the region or general location where your computer or device is accessing the internet, browser type, operating system and other usage information about the use of Fluint's website, including a history of the pages you view.
We use this personal data as necessary for the performance of our Services; to comply with our legal and contractual obligations; and to support legitimate interests in maintaining and improving our Services; in marketing, and selling Services; providing customer service and technical support; and protecting prospects, customers, and ourselves (""Legitimate Interests"")."
personal information about prospect,fluint,,Fluint collects personal information about its prospects and customers.
pixel,ou rservice providers,"analytics, services","We and ou rService Providers use cookies, pixels and other technologies to enable and improve the Services we provide, to track the performance of our Sites, perform analytics and gain insights on the use of our Services and the performance of our activities, and for personalization purposes."
pixel,we,"analytics, services","We and ou rService Providers use cookies, pixels and other technologies to enable and improve the Services we provide, to track the performance of our Sites, perform analytics and gain insights on the use of our Services and the performance of our activities, and for personalization purposes."
prospect datum,fluint,,Fluint's retains prospect data until such time as it no longer has business value and is purged from Fluint's systems.
region,we,"analytics, services","The information may include internet protocol (IP) addresses, the region or general location where your computer or device is accessing the internet, browser type, operating system and other usage information about the use of Fluint's website, including a history of the pages you view.
We use this personal data as necessary for the performance of our Services; to comply with our legal and contractual obligations; and to support legitimate interests in maintaining and improving our Services; in marketing, and selling Services; providing customer service and technical support; and protecting prospects, customers, and ourselves (""Legitimate Interests"")."
service datum,fluint,analytics,"(6) Data Storage & Retention  Fluint retains service data for the duration of the customer's business relationship with Fluint and for a period of time thereafter, to analyze the data for Fluint's own operations, and for historical and archiving purposes associated with Fluint's services."
video meeting,we,"analytics, services, advertising","We use this information to provide prospects and customers with contracted and requested services (""Services"").
Work phone number *     Video meetings and recordings *     Contractual and billing details"
