data_type,collector,purpose,text
UNSPECIFIED_DATA,FullStory,,"For example: FullStory.
We disclose your information with the following different categories of third-party service providers:"
UNSPECIFIED_DATA,Google,,"For example: Google Analytics.
We disclose your information with the following different categories of third-party service providers:"
UNSPECIFIED_DATA,UNSPECIFIED_ACTOR,"advertising, services","In certain circumstances we work with third parties to help us provide our Services and this can require us to disclose your information to these third parties.
Like most online businesses, we disclose some Information with contracted third parties to provide better services and advertising to you.
Like most online businesses, we do share some Information with contracted third parties in order to provide better services and advertising to you.
We employ other companies and people to perform tasks on our behalf and need to share your information with them to provide products or services to you; for example:
We may ""sell"" or ""share"" this information with the following types of third parties: Gem Customers, such as recruiters and companies seeking job applicants.
We may also share some information with third parties, but only as described below.
We may share information with third parties when you direct us to do so."
UNSPECIFIED_DATA,advertiser,,"We disclose your information with the following different categories of third-party service providers:
We employ other companies and people to perform tasks on our behalf and need to share your information with them to provide products or services to you; for example: marketing and advertising services, and"
UNSPECIFIED_DATA,affiliated companies,,"We disclose your information with the following different categories of third-party service providers: Affiliated Companies, Business Units and Employees : Information that we process and collect may be transferred between companies, business units and employees that become affiliated with us."
UNSPECIFIED_DATA,analytic provider,,We disclose your information with the following different categories of third-party service providers: Analytics Service Providers.
UNSPECIFIED_DATA,asset transfer,,We disclose your information with the following different categories of third-party service providers: Asset Transfer or Company Acquisition.
UNSPECIFIED_DATA,business units,,"We disclose your information with the following different categories of third-party service providers: Affiliated Companies, Business Units and Employees : Information that we process and collect may be transferred between companies, business units and employees that become affiliated with us."
UNSPECIFIED_DATA,company acquisition,,We disclose your information with the following different categories of third-party service providers: Asset Transfer or Company Acquisition.
UNSPECIFIED_DATA,controller,,You can also request that we transmit the data to another controller where technically feasible.
UNSPECIFIED_DATA,employee,,"We disclose your information with the following different categories of third-party service providers: Affiliated Companies, Business Units and Employees : Information that we process and collect may be transferred between companies, business units and employees that become affiliated with us."
UNSPECIFIED_DATA,for data storage service,,"We disclose your information with the following different categories of third-party service providers:
We employ other companies and people to perform tasks on our behalf and need to share your information with them to provide products or services to you; for example: data storage services,"
UNSPECIFIED_DATA,gem customers,,"We may ""sell"" or ""share"" this information with the following types of third parties: Gem Customers, such as recruiters and companies seeking job applicants."
UNSPECIFIED_DATA,law enforcement authority,legal,"As explained in more detail in the Legal basis section above, we may need to share your information with third parties, including law enforcement authorities, to comply  with law, legal obligations, regulations, law enforcement, governmental and other legal requests, or court order; enforce or apply our Terms of Use and other agreements; address fraud, security or technical issues; or protect the rights, property, or safety of Gem Software, our employees, our users, or others."
UNSPECIFIED_DATA,service providers,,We disclose your information with the following different categories of third-party service providers: Service Providers.
UNSPECIFIED_DATA,track technology use on service,analytics,"Even if you opt-out of interest-based advertising by a participant, tracking technologies used on the Services may still collect data for other purposes including analytics."
