data_type,collector,purpose,text
UNSPECIFIED_DATA,we,,"We may process information that you post for publication on our website or through our services ("" publication data "")."
account data,we,,"During the past 12 months, we may have collected the following categories of personal information that the CCPA covers (detailed in section 3 above): Account data"
account data,we,"analytics, services, advertising, security, legal","During the past 12 months, we may have collected the following categories of personal information that the CCPA covers (detailed in section 3 above): Account data"
cookie / pixel tag,power website,services,This GrowthZone-powered website uses cookies to optimize functionality and give users the best possible experience.
cookie / pixel tag,service provider,,Our service providers use cookies and those cookies may be stored on your computer when you visit our website.
cookie / pixel tag,we,"analytics, services","10.1 We use cookies for the following purposes:
GrowthZone Privacy Policy

Updated January 2023

status - we use cookies to help us to determine if you are logged into our website;
analysis - we use cookies to help us to analyze the use and performance of our website and services.
authentication - we use cookies to identify you when you visit our website and as you navigate our website;"
cookie / pixel tag,web browser,,"Cookies may be either ""persistent"" cookies or ""session"" cookies: a persistent cookie will be stored by a web browser and will remain valid until its set expiry date, unless deleted by the user before the expiry date; a session cookie, on the other hand, will expire at the end of the user session, when the web browser is closed."
correspondence data,we,"analytics, services","During the past 12 months, we may have collected the following categories of personal information that the CCPA covers (detailed in section 3 above): Correspondence data"
correspondence data,we,"analytics, services, advertising, security, legal","During the past 12 months, we may have collected the following categories of personal information that the CCPA covers (detailed in section 3 above): Correspondence data"
datum about use of website,we,"analytics, services","We may process data about your use of our website and services ("" usage data "")."
information about website use,Google,,Google Analytics gathers information about website use by means of cookies.
information about you,micronet,,"However, Micronet may disclose certain information about you when you use services for purposes that may be considered a ""sale"" under the CCPA."
information contain in,we,"analytics, services, advertising","We may process information contained in or relating to any communication that you send to us ("" correspondence data "")."
information contain in inquiry you submit to we regard good,we,"analytics, services, advertising","We may process information contained in any inquiry you submit to us regarding goods and/or services (""i nquiry data "")."
information include in personal profile,we,"analytics, services, advertising","We may process your information included in your personal profile on our website or within our software ("" profile data "")."
information relate to transaction include purchase of good you enter into with we,we,"analytics, services, advertising","We may process information relating to transactions, including purchases of goods and services, that you enter into with us and/or through our website or software ("" transaction data "")."
information you provide to we,we,"analytics, services, advertising","We may process information that you provide to us for the purpose of subscribing to email notifications and/or newsletters ("" notification data "")."
inquiry data,we,"analytics, services, advertising","During the past 12 months, we may have collected the following categories of personal information that the CCPA covers (detailed in section 3 above): Inquiry data"
inquiry data,we,"analytics, services, advertising, security, legal","During the past 12 months, we may have collected the following categories of personal information that the CCPA covers (detailed in section 3 above): Inquiry data"
ip address,financial institution issue credit card with place,,"We may also record your computer's IP address with your order to help us identify fraudulent credit card use.
We may share this information with the financial institution that issued the credit card with which an order was placed or with law enforcement authorities if we determine, or are notified, that the use of the credit card was fraudulent."
ip address,law enforcement authority,,"We may also record your computer's IP address with your order to help us identify fraudulent credit card use.
We may share this information with the financial institution that issued the credit card with which an order was placed or with law enforcement authorities if we determine, or are notified, that the use of the credit card was fraudulent."
ip address,we,"analytics, services, advertising","We may also record your computer's IP address with your order to help us identify fraudulent credit card use.
We may share this information with the financial institution that issued the credit card with which an order was placed or with law enforcement authorities if we determine, or are notified, that the use of the credit card was fraudulent."
ip address,we,"analytics, services, advertising, security","We may also record your computer's IP address with your order to help us identify fraudulent credit card use.
We may share this information with the financial institution that issued the credit card with which an order was placed or with law enforcement authorities if we determine, or are notified, that the use of the credit card was fraudulent."
ip address,we,"analytics, services, advertising, security, legal","We may also record your computer's IP address with your order to help us identify fraudulent credit card use.
We may share this information with the financial institution that issued the credit card with which an order was placed or with law enforcement authorities if we determine, or are notified, that the use of the credit card was fraudulent."
notification data,we,"analytics, services, advertising, security","During the past 12 months, we may have collected the following categories of personal information that the CCPA covers (detailed in section 3 above): Notification data"
notification data,we,"analytics, services, advertising, security, legal","During the past 12 months, we may have collected the following categories of personal information that the CCPA covers (detailed in section 3 above): Notification data"
personal information in connection with transfer to acquirer upon,we,"analytics, services, advertising, security, legal",We may also disclose personal information in connection with the transfer to the acquirer upon the change of control.
profile data,we,"analytics, services, advertising, security, legal","During the past 12 months, we may have collected the following categories of personal information that the CCPA covers (detailed in section 3 above): Profile data"
publication data,we,"analytics, services, advertising, security, legal","During the past 12 months, we may have collected the following categories of personal information that the CCPA covers (detailed in section 3 above): Publication data"
specific information,we,"analytics, services, advertising, security, legal",We will need you to provide specific information to help us confirm your identify.
transaction data,we,"analytics, services, advertising, security, legal","During the past 12 months, we may have collected the following categories of personal information that the CCPA covers (detailed in section 3 above): Transaction data"
