data_type,collector,purpose,text
UNSPECIFIED_DATA,UNSPECIFIED_ACTOR,,"Data and Privacy Policy

Sharing information with third parties"
UNSPECIFIED_DATA,gymcatch,"analytics, services","Gymcatch also collects data to allow us to maintain and improve the service and to provide customer support.
Gymcatch processes this information but does not use this information in any way.
Gymcatch processes this information on the Business's behalf but does not use this information in any way.
Gymcatch processes this information on the Business's behalf.
If information exists after a Business has terminated its Gymcatch account, the information is retained for Consumers' own records (e.g. what they have paid for and booked etc.) and Gymcatch will assume control of it on behalf of the Consumer.
To do this Gymcatch collects and retains information from Businesses and Consumers."
UNSPECIFIED_DATA,we,services,"At registration we collect the following information:
We also may require that you provide additional information in order to provide those services.
We may use the information to enable us to provide customer support, to maintain and enhance the service and for operational purposes."
analytical datum about,we,services,We may also log analytical data about which features you use in Gymcatch and how you navigate our apps.
anonymise booking figure at brand,brand,,"Some information, like your schedule, and anonymised and aggregated booking figures at a brand may be shared with the Brand."
backup of database,gymcatch,"analytics, services",Gymcatch uses industry standard backup procedures and will retain backups of our database for up to 30 days.
browser type,we,services,"In order to maintain and improve our systems we collect data from Consumers and Businesses such as the Gymcatch application being used, the user's operating system, session time, IP address, browser-type, error reports, crash reports."
card detail,business from you make purchase,,Neither Gymcatch nor the Business from which you make purchases store your card details.
card detail,gymcatch,"analytics, services",Neither Gymcatch nor the Business from which you make purchases store your card details.
consumer datum collect on gymcatch,UNSPECIFIED_ACTOR,,Businesses should only share Consumer data collected on Gymcatch with the consent of the Consumer or in compliance with applicable laws.
consumer personal information,UNSPECIFIED_ACTOR,,Businesses should only collect and retain Consumer personal information as set out in this agreement and in compliance of all relevant data and privacy laws.
contact information,UNSPECIFIED_ACTOR,"legal, security, services","Businesses collect this information in order to provide their services safely and responsibly in accordance with laws and regulations, and in order to comply with their responsibilities to operate safely and to meet external requirements such as maintaining insurance policies and professional licenses.
This includes contact details, emergency contact details, records of which waivers and participation questionnaires you have completed."
cookie / pixel tag,Facebook,services,Facebook use a cookie on our website which is a requirement of the Facebook SDK to enableFacebook log in.
cookie / pixel tag,we,services,We use Cookies for the following reasons on Gymcatch.
crash report,we,services,"In order to maintain and improve our systems we collect data from Consumers and Businesses such as the Gymcatch application being used, the user's operating system, session time, IP address, browser-type, error reports, crash reports."
customer support,we,services,"This information enables us to maintain, operate and improve Gymcatch and provide customer support."
email address,Intercom,"advertising, services","For Business customers, when you are logged into Gymcatch we will automatically share your email address and name with Intercom to make it quicker and more efficient to deal with your query."
email address,we,"services, advertising","Customers can provide us with name and email address so we can handle their queries.
For Business customers, when you are logged into Gymcatch we will automatically share your email address and name with Intercom to make it quicker and more efficient to deal with your query."
error report,we,"services, advertising","In order to maintain and improve our systems we collect data from Consumers and Businesses such as the Gymcatch application being used, the user's operating system, session time, IP address, browser-type, error reports, crash reports."
gravity form,we,"services, advertising",We use gravity forms on the website for taking information from Business customers wishing to book a demo.
gymcatch application,gymcatch,"analytics, services, security",This data and privacy policy sets out how personal information on Gymcatch (which includes all of the Gymcatch applications and gymcatch.com ) is collected and retained in accordance with UK data protection laws including GDPR.
information receive from zoom,we,"services, advertising",Businesses can integrate with Gymcatch with their Zoom accounts with Gymcatch we store the following information received from Zoom:
ip address,we,"services, advertising","In order to maintain and improve our systems we collect data from Consumers and Businesses such as the Gymcatch application being used, the user's operating system, session time, IP address, browser-type, error reports, crash reports."
joint data controller for collect interaction between consumer on gymcatch,UNSPECIFIED_ACTOR,"legal, security, services","Gymcatch and any Business you interact with on Gymcatch are the joint data controllers for the data collected interactions between a Consumer and a Business on Gymcatch.
This information is only collected in relation to Businesses that you interact with on Gymcatch and so that those Business can provide their services to Consumers."
number of third party service,we,"services, advertising, analytics, security",We use a number of third party services for operational purposes to help us collect and manage technical data which do not receive any personally identifiable information about Consumers or Businesses.
operate system,we,"services, advertising, analytics, security","In order to maintain and improve our systems we collect data from Consumers and Businesses such as the Gymcatch application being used, the user's operating system, session time, IP address, browser-type, error reports, crash reports."
opt choice,we,"services, advertising, analytics, security",If at any time Gymcatch wishes to share your personal data with third parties or offer third party services we will provide you with an opt-out or opt-in choice before we share your data with third parties or before we use it for a purpose other than which it was originally collected.
participation questionnaire you complete,UNSPECIFIED_ACTOR,"legal, security, services","Businesses collect this information in order to provide their services safely and responsibly in accordance with laws and regulations, and in order to comply with their responsibilities to operate safely and to meet external requirements such as maintaining insurance policies and professional licenses.
This includes contact details, emergency contact details, records of which waivers and participation questionnaires you have completed."
person name,Intercom,"advertising, services","For Business customers, when you are logged into Gymcatch we will automatically share your email address and name with Intercom to make it quicker and more efficient to deal with your query."
person name,we,"services, advertising, analytics, security","Customers can provide us with name and email address so we can handle their queries.
For Business customers, when you are logged into Gymcatch we will automatically share your email address and name with Intercom to make it quicker and more efficient to deal with your query."
personal information,UNSPECIFIED_ACTOR,"legal, security, services","Data and Privacy Policy

Gymcatch  Data and Privacy Policy

No personal data is transferred by Gymcatch to any third party (including the party offering the promotion or the Business at which the user sees the promotion).
Gymcatch only shares personal information with third parties services where it is necessary to to facilitate your use of Gymcatch."
personal information,business at user see promotion,,"Data and Privacy Policy

Gymcatch  Data and Privacy Policy

No personal data is transferred by Gymcatch to any third party (including the party offering the promotion or the Business at which the user sees the promotion)."
personal information,gymcatch,"analytics, services","Data and Privacy Policy

Gymcatch  Data and Privacy Policy

No personal data is transferred by Gymcatch to any third party (including the party offering the promotion or the Business at which the user sees the promotion).
Gymcatch only shares personal information with third parties services where it is necessary to to facilitate your use of Gymcatch."
personal information,new control entity,,"In the event of a change of control of Gymcatch Limited or sale of all or part of the Gymcatch business, some or all personal information may be transferred to the new controlling entity."
personal information,promotion,,"Data and Privacy Policy

Gymcatch  Data and Privacy Policy

No personal data is transferred by Gymcatch to any third party (including the party offering the promotion or the Business at which the user sees the promotion)."
personal information generate in section,gymcatch,"analytics, services, security","Gymcatch may use personal information generated in this section in order to provide customer support, maintenance, security and for operational purposes."
promotion link,gymcatch,"analytics, services, security",Gymcatch will record when a user views or clicks on a promotion link but this information is immediately anonymised and aggregated so the Gymcatch database does not record any personally identifiable data in connection with Promotions.
