data_type,collector,purpose,text
UNSPECIFIED_DATA,we,,We may obtain information from other sources and combine it with data we collect.
aggregate / deidentified / pseudonymized information,we,,We may also share aggregated or de-identified information that cannot reasonably be used to identify you.
browser type,we,,"We automatically collect information such as IP addresses, browser types, device information, operating systems, and pages viewed when you interact with our Services."
browsing / search history,we,,"We use cookies, web beacons, and other tracking technologies to collect information about your browsing activities."
calendar,we,services,"With your permission, we may access your contacts and calendar to enhance your experience with our Services."
contact,we,services,"With your permission, we may access your contacts and calendar to enhance your experience with our Services."
contact information,we,"services, advertising","If you subscribe to our newsletters or updates, we collect your contact information to send you promotional materials.
On behalf of Practitioners, we use your contact information to send you appointment reminders and post-appointment requests for reviews or feedback about the services you received."
cookie / pixel tag,we,"services, advertising","We use cookies and similar technologies to enhance your experience.
We use cookies, web beacons, and other tracking technologies to collect information about your browsing activities."
date of birth,we,"services, advertising","When you create an account, we collect your name, email address, phone number, physical address, date of birth, gender, username, password, and payment information."
device information,we,"services, advertising","We automatically collect information such as IP addresses, browser types, device information, operating systems, and pages viewed when you interact with our Services."
email address,we,"services, advertising","When you create an account, we collect your name, email address, phone number, physical address, date of birth, gender, username, password, and payment information."
gender,we,"services, advertising","When you create an account, we collect your name, email address, phone number, physical address, date of birth, gender, username, password, and payment information."
information necessary,we,"services, advertising",Our security measures include: Data Minimization and Retention: We collect only the information necessary to provide our Services and retain it only as long as required for legitimate business purposes or as required by law.
information relate to,we,"services, advertising",We collect information related to scheduling appointments and communications between Practitioners and Customers.
information you choose,we,"services, advertising","When you contact us for support, we collect any information you choose to provide."
ip address,we,"services, advertising","We automatically collect information such as IP addresses, browser types, device information, operating systems, and pages viewed when you interact with our Services.
We may collect general geographic location based on your IP address or precise geolocation with your consent when using our Apps."
licensure information,practitioner,,Practitioners may also provide licensure information and upload photos or videos for their profile pages.
non-personal information,we,"services, advertising",We may also share aggregated or de-identified information that cannot reasonably be used to identify you.
operate system,we,"services, advertising","We automatically collect information such as IP addresses, browser types, device information, operating systems, and pages viewed when you interact with our Services."
password,we,"services, advertising","When you create an account, we collect your name, email address, phone number, physical address, date of birth, gender, username, password, and payment information."
payment,UNSPECIFIED_ACTOR,,Payments are processed by third-party providers compliant with industry standards.
payment information,we,"services, advertising","When you create an account, we collect your name, email address, phone number, physical address, date of birth, gender, username, password, and payment information."
person name,we,"services, advertising","When you create an account, we collect your name, email address, phone number, physical address, date of birth, gender, username, password, and payment information."
personal identifier,we,"services, advertising","We collect personal information that can identify you directly or indirectly as an individual (""Personal Information"")."
personal information,UNSPECIFIED_ACTOR,services,We may share your Personal Information with: Affiliates and Subsidiaries: Within our corporate family for operational purposes.
personal information,business transfers,services,"We may share your Personal Information with: Business Transfers: In connection with mergers, sales, acquisitions, or other corporate transactions."
personal information,customer service,services,"We may share your Personal Information with: Service Providers: Trusted third parties that perform services on our behalf, such as payment processing, data analysis, email delivery, hosting services, and customer service."
personal information,datum analysis,services,"We may share your Personal Information with: Service Providers: Trusted third parties that perform services on our behalf, such as payment processing, data analysis, email delivery, hosting services, and customer service."
personal information,email delivery,services,"We may share your Personal Information with: Service Providers: Trusted third parties that perform services on our behalf, such as payment processing, data analysis, email delivery, hosting services, and customer service."
personal information,hosting service,services,"We may share your Personal Information with: Service Providers: Trusted third parties that perform services on our behalf, such as payment processing, data analysis, email delivery, hosting services, and customer service."
personal information,payment processing,services,"We may share your Personal Information with: Service Providers: Trusted third parties that perform services on our behalf, such as payment processing, data analysis, email delivery, hosting services, and customer service."
personal information,practitioner,services,"We may share your Personal Information with: Practitioners and Customers: To facilitate services and communications between users, including appointment reminders and review requests."
personal information,service provider,services,"We may share your Personal Information with: Service Providers: Trusted third parties that perform services on our behalf, such as payment processing, data analysis, email delivery, hosting services, and customer service."
personal information,we,"services, advertising, legal, security","This Privacy Policy explains how we collect, use, disclose, and safeguard your personal information when you visit our websites (including H eal.me ) (our ""Sites""), use our mobile applications (our ""Apps""), or utilize any of our services (collectively, our ""Services"").
We collect personal information that can identify you directly or indirectly as an individual (""Personal Information"").
We may share your Personal Information with:
We retain your Personal Information only for as long as necessary to fulfill the purposes outlined in this Privacy Policy, comply with legal obligations, resolve disputes, and enforce our agreements.
We use your Personal Information to:"
phone number,we,"services, advertising, legal, security","When you create an account, we collect your name, email address, phone number, physical address, date of birth, gender, username, password, and payment information."
postal address,we,"services, advertising, legal, security","When you create an account, we collect your name, email address, phone number, physical address, date of birth, gender, username, password, and payment information."
precise geolocation,we,"services, advertising, legal, security",We may collect general geographic location based on your IP address or precise geolocation with your consent when using our Apps.
profile detail,we,"services, advertising, legal, security","If you interact with us through social media, we may receive information such as your profile details."
username,we,"services, advertising, legal, security","When you create an account, we collect your name, email address, phone number, physical address, date of birth, gender, username, password, and payment information."
