data_type,collector,purpose,text
UNSPECIFIED_DATA,UNSPECIFIED_ACTOR,"advertising, analytics","We may disclose information to current or future affiliates or subsidiaries for research, marketing, and other purposes consistent with this Privacy Notice.
We only share information with the Third Party that is required for the service they are offering and contractually bind these providers to keep any information We share with them as confidential and to be used only for particular purposes."
UNSPECIFIED_DATA,current affiliate,"advertising, analytics","We may disclose information to current or future affiliates or subsidiaries for research, marketing, and other purposes consistent with this Privacy Notice."
UNSPECIFIED_DATA,government entity,"legal, security","We may share information with Service Providers and government entities for legal, security, and safety purposes."
UNSPECIFIED_DATA,service providers,"legal, security","We may share information with Service Providers and government entities for legal, security, and safety purposes."
UNSPECIFIED_DATA,we,"advertising, analytics, legal, security","We may disclose information to current or future affiliates or subsidiaries for research, marketing, and other purposes consistent with this Privacy Notice.
We may share information with Service Providers and government entities for legal, security, and safety purposes.
We may share your data if we believe that disclosure is reasonably necessary to comply with a law, regulation, legal, or governmental request; to respond to a subpoena, court order, warrant, or other legal process; to enforce applicable Terms of Use or this Notice, including investigation of potential violations thereof; to protect the safety, rights, or property of the public, any person, or Hibox; to detect, prevent, or otherwise address, security or technical issues, illegal, or suspected illegal activities (including fraud); or as evidence in litigation in which we are involved, as part of a judicial or regulatory proceeding.
We only share information with the Third Party that is required for the service they are offering and contractually bind these providers to keep any information We share with them as confidential and to be used only for particular purposes."
cookie / pixel tag,advertiser,,"We can allow advertising on our web site, the advertising company can use cookies."
cookie / pixel tag,we,"advertising, analytics, legal, security","We use cookies for various purposes, like recognizing website visitors, to determine the number of unique visitors to the website, to determine which pages they visit and to make internal revisions of our website."
email address,authorized agent of company,services,"If you are using Hibox as a paid member of an organization or using your organization's email domain (thereby representing yourself as a member of the organization), we may share your email address and plan information with an authorized agent of your company upon request in order for them to administer the account for the company."
email address,we,"advertising, analytics, legal, security, services","If you are using Hibox as a paid member of an organization or using your organization's email domain (thereby representing yourself as a member of the organization), we may share your email address and plan information with an authorized agent of your company upon request in order for them to administer the account for the company."
google user datum,we,"advertising, analytics, legal, security, services",The application accesses Google user data to 1) view and manage the files in your Google Drive and 2) manage your contacts.
group who make,we,"advertising, analytics, legal, security, services","Privacy policy

1. General conditions

1.4 We, the group who makes the Application possible, believe that the privacy of Users' data and personal information is fundamental."
personal information,service providers,"legal, security, services","These Service Providers may have access to your personal or other information in order to provide these functions.
We may also engage Service Providers to provide services such as monitoring and developing Hibox services; aiding in communications, infrastructure, and IT services; customer service; debt collection; analyzing and enhancing data."
personal information,we,"advertising, analytics, legal, security, services","3.2 As a user, you accept that we can use your personal information for:
We retain the personal data we collect for so long as is reasonably necessary to fulfill the purposes for which the data was collected, to perform our contractual and legal obligations, and for any applicable statute of limitations periods for the purposes of bringing and defending claims.
We will retain your Personal Information for the period necessary to fulfill the purposes outlined in this Privacy Notice unless a longer retention period is required or permitted by law."
plan information,authorized agent of company,services,"If you are using Hibox as a paid member of an organization or using your organization's email domain (thereby representing yourself as a member of the organization), we may share your email address and plan information with an authorized agent of your company upon request in order for them to administer the account for the company."
plan information,we,"advertising, analytics, legal, security, services","If you are using Hibox as a paid member of an organization or using your organization's email domain (thereby representing yourself as a member of the organization), we may share your email address and plan information with an authorized agent of your company upon request in order for them to administer the account for the company."
select number of trust third party provider,we,"advertising, analytics, legal, security, services",We use a select number of trusted Third Party providers to help us provide Services to You.
