data_type,collector,purpose,text
UNSPECIFIED_DATA,lyceum,,"If you use Our invitation features, such as chats and sending invitations to friends, Lyceum may collect some information from them.
Lyceum may collect your personal information or data from third parties or websites to whom you have given your personal data through your browser."
UNSPECIFIED_DATA,subscriber,,Our Subscribers may while using our Services relating to education and training collect information from children under the age of 18.
cookie / pixel tag,UNSPECIFIED_ACTOR,,"These entities may collect or receive certain information about your use of Our Website and your activities over time and across different websites, including through the use of cookies, web beacons, and similar technologies."
email message,lyceum,,"Where Lyceum has your authorisation, Lyceum may store your email messages, email messages headers, message bodies, or attachments."
email message header,lyceum,,"Where Lyceum has your authorisation, Lyceum may store your email messages, email messages headers, message bodies, or attachments."
information about account,we,,"When you post audio-visual materials to your website or to a third party website, we may collect information about your account and the use of the content that you may post."
information about you,lyceum,advertising,"Lyceum may with third-party partners and vendors, use technologies such as cookies, pixels, and web beacons to collect and store information about you when you use or interact with Our Website and Services in order to provide you with targeted advertising based on your browsing activities and interests."
minimum personal information,lyceum,"advertising, services","In the above cases, Lyceum will retain minimum Personal Information to note that you opted out from being contacted again."
personal data collect,lyceum,"advertising, services",9.1 Lyceum retains the Personal Data collected where an ongoing legitimate business requires retention of such Personal Data.
personal information,UNSPECIFIED_ACTOR,services,"5.1 You acknowledge that Lyceum will share your Personal Data with its group companies and third-party service providers so that they may offer you Lyceum's Services and/or to send information or updates on the Services if you are a subscriber.
5.3 Lyceum shares Personal Data with Our third-party service providers that host and maintain the Lyceum Websites, applications, backup, storage, payment processing, analytics and other services.
These third-party service providers may have access to or Process your Personal Data for the purpose of providing these services for Us.
You can either obtain the Personal Information from us or, in turn, provide it to a third party (if you so wish), or ask us to transfer your Personal Information directly to a third party."
personal information,group company,,5.1 You acknowledge that Lyceum will share your Personal Data with its group companies and third-party service providers so that they may offer you Lyceum's Services and/or to send information or updates on the Services if you are a subscriber.
personal information,lyceum,"advertising, services, legal, security","4.1 Lyceum Processes your Personal Data in the following scenarios: a) to facilitate your access and use of the Websites and Services.
5.1 You acknowledge that Lyceum will share your Personal Data with its group companies and third-party service providers so that they may offer you Lyceum's Services and/or to send information or updates on the Services if you are a subscriber.
5.3 Lyceum shares Personal Data with Our third-party service providers that host and maintain the Lyceum Websites, applications, backup, storage, payment processing, analytics and other services.
5.6 Lyceum may also share Personal Data to assist investigation and prevention of illegal activities, suspected fraud, situations involving potential threats to the physical safety of any person, violations of Lyceum's Terms, or as otherwise required by law.
In the absence of a need to retain Personal Data under Section 9.1. above, Lyceum will either delete or aggregate it in accordance with the Terms or, if this is not possible then Lyceum will securely store your Personal Data and isolate it from any further Processing until deletion is possible.
Lyceum may also collect or receive your Personal Information from other sources such as: a) Lyceum's business or channel partners through which you create or access your Account, such as marketing service providers, social media services or apps or websites that use Lyceum's APIs or whose APIs Lyceum uses.
Lyceum may also disclose your Personal Data: a) As required to comply with applicable law or regulation, or to comply with law enforcement.
Lyceum may collect your personal information or data from third parties or websites to whom you have given your personal data through your browser.
Lyceum will normally collect Personal Information from you only where it is needed to perform a contract with you, where the processing is in Our legitimate interests and not overridden by your data protection interests or fundamental rights and freedoms, or where Lyceum has your consent.
Lyceum will retain your Personal Information for as long as necessary to provide you with the websites and apps you are eligible to use and as needed to comply with our legal obligations and enforce our agreements.
Please note that Lyceum needs to retain certain Personal Information about you for legal and internal business reasons, such as fraud prevention.
Privacy Policy

2. Information You Provide to us Directly

2.1 Lyceum collects Personal Information from you in the following scenarios:
Privacy Policy

5. Sharing of Personal Data

5.4 Lyceum may share your Personal Data with third-party providers who assist Us in marketing and promotions.
Privacy Policy

8. International Transfer

8.1 Lyceum mainly Processes Personal Data in the United States of America.
You are entitled to know whether Lyceum holds your Personal Information and the purpose your Personal Information is processed for."
personal information,third party provider who assist we in marketing,,"Privacy Policy

5. Sharing of Personal Data

5.4 Lyceum may share your Personal Data with third-party providers who assist Us in marketing and promotions."
