data_type,collector,purpose,text
UNSPECIFIED_DATA,UNSPECIFIED_ACTOR,,"For data portability requests, we will select a format to provide your personal information that is readily useable and should allow you to transmit the information from one entity to another entity without hindrance.
We do not share your personal data with third parties, except in the following circumstances: With your consent: We may share information with third parties if you give us explicit permission to do so."
UNSPECIFIED_DATA,instavc affiliate,services,We may share data with other InstaVC affiliates (such as InstaVC Unified Communications Pvt Ltd.) to enable additional products and features for use by schools and educational organizations.
UNSPECIFIED_DATA,we,"legal, security, services","InstaVC does not disclose student's data to third parties, except for: Legal, Security, or Safety Reasons: We may disclose data when required for legal, security, or safety reasons.
InstaVC does not disclose student's data to third parties, except for: Service Providers: We share data with service providers who help us provide InstaVC Products and technical infrastructure.
To verify your identity, we may require you to log into your existing InstaVC account (if applicable), give a declaration as to your identity under penalty of perjury, and/or provide additional information, such as providing at least two pieces of personal information relating to your account (which will be compared to information we have, such as profile information) or as we otherwise may already have in our possession, such as your email address and phone number.
We do not share your personal data with third parties, except in the following circumstances: For legal reasons: We may disclose information if required by law or to protect our rights and safety.
We do not share your personal data with third parties, except in the following circumstances: With your consent: We may share information with third parties if you give us explicit permission to do so.
We may collect information about the device you use to access our Services, such as the operating system and browser type.
We may share data with other InstaVC affiliates (such as InstaVC Unified Communications Pvt Ltd.) to enable additional products and features for use by schools and educational organizations.
We only use your information in a lawful, transparent, and fair manner.
We receive information from sources as described in the ""What personal data do we receive"" section, including: from you (including through your use of our products and services); from partners; from customers; and from publicly available sources."
commercial information,instavc,,"InstaVC may collect, or process on behalf of our customers, the following categories of personal data, as described above, in the ""What Personal Data do we receive?"" section: identifiers (such as in Account Information, Profile and Participant Information, Contact Information, and Registration Information), financial account information (such as in Account Information); commercial information (such as in Account Information); internet or other electronic network activity information (such as Device Information, Usage Information Regarding Meetings, Webinars, Message, Collaborative Features, and the Website, and Limited Information from InstaVC Email and Calendar Services); audio, electronic, and visual information (such as in Content and Context from Meetings, Webinars, Messaging, and Other Collaborative Features); education information such as from university customers; inferences we derive from the preceding or other information we collect; and sensitive personal information (such as certain categories in Account Information, Content and Context from Meetings, Webinars, Messaging, and Other Collaborative Features)."
commercial information,instavc,"services, analytics, security, advertising, legal","InstaVC may collect, or process on behalf of our customers, the following categories of personal data, as described above, in the ""What Personal Data do we receive?"" section: identifiers (such as in Account Information, Profile and Participant Information, Contact Information, and Registration Information), financial account information (such as in Account Information); commercial information (such as in Account Information); internet or other electronic network activity information (such as Device Information, Usage Information Regarding Meetings, Webinars, Message, Collaborative Features, and the Website, and Limited Information from InstaVC Email and Calendar Services); audio, electronic, and visual information (such as in Content and Context from Meetings, Webinars, Messaging, and Other Collaborative Features); education information such as from university customers; inferences we derive from the preceding or other information we collect; and sensitive personal information (such as certain categories in Account Information, Content and Context from Meetings, Webinars, Messaging, and Other Collaborative Features)."
contact,we,"legal, security, services","Contacts and Calendar Information: Contact lists the school or educational service adds or allows students to use on their account (such as names and email addresses for other students in the school), as well as calendar information added to the account (such as a class schedule or upcoming school events).
We may collect, or process on behalf of schools or other organizations providing educational services, the following categories of personal data when a student uses or interacts with InstaVC Products to receive educational services, such as when they join their classroom or meet with their teacher on InstaVC:"
contact information,we,"legal, security, services","We may collect, or process on behalf of schools or other organizations providing educational services, the following categories of personal data when a student uses or interacts with InstaVC Products to receive educational services, such as when they join their classroom or meet with their teacher on InstaVC: Profile and Participant Information: Name, profile picture, contact information, and any other information a school or educational organization allows students to add to their profile or to add when registering for meetings, recordings or webinars hosted on the school or organization's account."
cost estimate,we,"legal, security, services","If we determine that the request warrants a fee, we will tell you why we made that decision and provide you with a cost estimate before completing your request."
develop application for customer,we,"legal, security, services","This Privacy Policy (""Policy"") applies to the use of the services & products offered by InstaVC Technologies Private Limited (""we,"" ""us,"" or ""our"") and InstaVC Technologies Private Limited, including, but not limited to, the use of our website, mobile application, and any related services & products including the entire application suite of our InstaVC product line or features (collectively, the ""Services""), as well as other custom developed applications for our customers globally."
device information,we,"legal, security, services","Device Information: Information about the computers, phones, and other devices students use when joining meetings or webinars or sending messages using InstaVC Products, including device features (like microphone or camera versions and IDs), IP address (which may be used to infer general location at a city or country level) and WiFi information.
We may collect, or process on behalf of schools or other organizations providing educational services, the following categories of personal data when a student uses or interacts with InstaVC Products to receive educational services, such as when they join their classroom or meet with their teacher on InstaVC:"
