data_type,collector,purpose,text
UNSPECIFIED_DATA,we,"analytics, services","We may disclose your information also:
We use cookies and similar tracking technologies to track the activity on our Service and we hold certain information.
We use your data to provide and improve Service."
collect datum,Google,advertising,Google may use the collected data to contextualise and personalise the ads of its own advertising network.
contact information,we,"analytics, services","While using our Service, we may ask you to provide us with certain personally identifiable information that can be used to contact or identify you (""Personal Data"")."
credit / debit card number,third party payment processor govern,,"That information is provided directly to our third-party payment processors whose use of your personal information is governed by their Privacy Policy.
We will not store or collect your payment card details."
datum collect,Google,"advertising, analytics","Google uses the data collected to track and monitor the use of our Service.
This data is shared with other Google services."
geolocation,we,"analytics, services, security","We may use and store information about your location if you give us permission to do so (""Location Data"").
We use this data to provide features of our Service, to improve and customise our Service."
information browser send,we,"analytics, services, security","We may also collect information that your browser sends whenever you visit our Service or when you access Service by or through a mobile device (""Usage Data"")."
information result from use of service,we,"analytics, services, security","Our Privacy Policy governs your visit to www.holakavi.com and Kavi mobile application, and explains how we collect, safeguard and disclose information that results from your use of our Service."
personal identifier,we,"analytics, services, security","While using our Service, we may ask you to provide us with certain personally identifiable information that can be used to contact or identify you (""Personal Data"")."
personal information,UNSPECIFIED_ACTOR,services,These third parties have access to your Personal Data only to perform these tasks on our behalf and are obligated not to disclose or use it for any other purpose.
personal information,we,"analytics, services, security, advertising","If you are located outside the United States and choose to provide information to us, please note that we transfer the data, including Personal Data, to the United States and process it there.
We may disclose personal information that we collect, or you provide:
We may use your Personal Data to contact you with newsletters, marketing or promotional materials and other information that may be of interest to you.
We will retain and use your Personal Data to the extent necessary to comply with our legal obligations (for example, if we are required to retain your data to comply with applicable laws), resolve disputes, and enforce our legal agreements and policies.
We will retain your Personal Data only for as long as is necessary for the purposes set out in this Privacy Policy.
While using our Service, we may ask you to provide us with certain personally identifiable information that can be used to contact or identify you (""Personal Data"")."
preference cookies,we,"analytics, services, security, advertising",We use Preference Cookies to remember your preferences and various settings.
several different type of information,we,"analytics, services, security, advertising",We collect several different types of information for various purposes to provide and improve our Service to you.
