data_type,collector,purpose,text
UNSPECIFIED_DATA,we,,"This Privacy Policy is meant to help you understand what information we collect, why we collect it, and how you can update, manage, export, and delete your information."
UNSPECIFIED_DATA,wedzera,,Wedzera collects information from you when you choose to provide it to us.
aggregate statistic about user,UNSPECIFIED_ACTOR,,"Except as otherwise set forth herein, Wedzera may provide aggregated statistics about users to third parties, but such information will be aggregated so that it does not identify a particular individual or company."
aggregate statistic about user,wedzera,,"Except as otherwise set forth herein, Wedzera may provide aggregated statistics about users to third parties, but such information will be aggregated so that it does not identify a particular individual or company."
cookie / pixel tag,wedzera,,"Wedzera may use cookies, web beacons, web analytics, or other technologies to automatically collect certain information about you when you visit Komenda, utilize other Wedzera products, or otherwise, interact with us."
customized software code,wedzera,analytics,Wedzera uses customized and proprietary software code to analyze information on how users interact with its products.
email address,we,,"As an event attendee, a user, a panelist, a host or an admin, you provide us with your email address or phone number when you register, your name and often your city of residence."
email address,we,services,"As an event attendee, a user, a panelist, a host or an admin, you provide us with your email address or phone number when you register, your name and often your city of residence."
firebase auth token,api,"security, services",Komenda Mukana's API uses Firebase auth tokens for authentication.
information about you,we,,"If you use a third party to create your account or otherwise link to us, we may receive certain information about you from the third party (such as a social network, virtual meeting provider, etc.) based on your registration and privacy settings on that third-party service."
information about you,wedzera,analytics,"Wedzera may use cookies, web beacons, web analytics, or other technologies to automatically collect certain information about you when you visit Komenda, utilize other Wedzera products, or otherwise, interact with us."
information from event,event organizer,,"The event organizer may save information from the event (such as the questions asked or the comments in chat), but will then store that information according to the organizer's own data management practices and procedures."
information we collect,wedzera,"analytics, security, services","Wedzera may use the information we collect to: (a) Administer or operate Wedzera products, services, or Websites, including completing a transaction, providing you or the event organizer with products or user support, responding to your requests for information, preventing transactional fraud, or otherwise contacting you; (b) Research, address, develop, and improve the usage and operations of the existing or new Wedzera products and services; (c) Protect the security or integrity of the product and our business; and (d) Perform any other functions as otherwise described to you at the point of data collection."
information we collect from,wedzera,"analytics, security, services","Wedzera may disclose the information we collect from and about you (a) to the event organizer, our third-party service providers, partners, and distributors to enable the service provider, partner, or distributor to perform a business, professional, or technical support function for Wedzera; (b) in association with law enforcement, fraud prevention, a subpoena, or other legal or government investigatory action; (c) as required by law, rule, or regulation; (d) if Wedzera reasonably believes it is required to protect Wedzera, its customers, or the public; or (e) as described to you at the point of collection."
log of activity in komenda during event,we,services,"The email address or phone number can also be used to log into the Komenda instance for the event, without re-registering.  Lastly, you provide us with your questions, any comments you make in the chat feature of Komenda, and the log of your activity in Komenda during the event."
network monitoring,UNSPECIFIED_ACTOR,,"Wedzera and its affiliate companies and third-party vendors use commercially reasonable security measures, such as physical access controls, encryption, firewalls, and network monitoring, and strives to safeguard information concerning and submitted by users."
network monitoring,affiliate company,,"Wedzera and its affiliate companies and third-party vendors use commercially reasonable security measures, such as physical access controls, encryption, firewalls, and network monitoring, and strives to safeguard information concerning and submitted by users."
network monitoring,wedzera,"analytics, security, services","Wedzera and its affiliate companies and third-party vendors use commercially reasonable security measures, such as physical access controls, encryption, firewalls, and network monitoring, and strives to safeguard information concerning and submitted by users."
phone number,we,services,"As an event attendee, a user, a panelist, a host or an admin, you provide us with your email address or phone number when you register, your name and often your city of residence."
sufficient detail regard question,we,services,"In order for us to properly respond to you, you will need to provide us with sufficient details regarding your question."
