data_type,collector,purpose,text
UNSPECIFIED_DATA,UNSPECIFIED_ACTOR,,We may share your data with third parties when you explicitly authorize us to do so.
UNSPECIFIED_DATA,we,,"The types of data we collect include:
We may disclose your information when required by law, such as to comply with a subpoena, court order, or other legal processes.
We may share your data with third parties when you explicitly authorize us to do so."
audio recording,we,,"When you use our Services to record meetings, we collect and process the audio and video recordings and generate transcripts."
collect datum,we,"advertising, analytics, security, services","We use the collected data for various purposes, including:"
cookie / pixel tag,we,"advertising, analytics, security, services",We use cookies and similar tracking technologies to enhance your experience and analyze usage:
email address,we,"advertising, analytics, security, services","We will fetch and store your email address, name, and profile image URL from these services."
option delete datum before transfer,we,"advertising, analytics, security, services",We will notify you in advance and give you the option to delete your data before the transfer.
person name,we,"advertising, analytics, security, services","We will fetch and store your email address, name, and profile image URL from these services."
personal datum necessary,we,"advertising, analytics, security, services",We collect and process personal data necessary to deliver and improve our Services.
personal information,we,"advertising, analytics, security, services","In some cases, we may retain personal data longer if required by law or necessary to protect our legal rights.
We may share your personal data under the following circumstances:
We primarily store and process personal data in Microsoft Azure's data centers located in the European Economic Area (EEA), specifically in Ireland.
We retain personal data only as long as necessary for:"
profile image url,we,"advertising, analytics, security, services","We will fetch and store your email address, name, and profile image URL from these services."
