data_type,collector,purpose,text
Google,analytic provider,"advertising, analytics, security, services",We use analytics services including Google Analytics and Microsoft to collect and process certain analytics data about our Services.
Microsoft,analytic provider,"advertising, analytics, security, services",We use analytics services including Google Analytics and Microsoft to collect and process certain analytics data about our Services.
UNSPECIFIED_DATA,UNSPECIFIED_ACTOR,,"If you connect a third-party application to our Services, we may disclose information to that third party."
UNSPECIFIED_DATA,we,legal,"After permanently deleting your account, we may retain certain information as required by law, in accordance with our back-up policy, or for legitimate business purposes.
If you connect a third-party application to our Services, we may disclose information to that third party.
Our Services allow you to, upon your direction, integrate with other online services and disclose your documents or other information to such services.
We may retain certain information for legitimate business purposes or as required by law."
account information,we,legal,"If you sign up through a third-party site or one of our integration partners, we will receive certain information from those third parties, such as your name and account information."
action take through services,we,"legal, analytics","To help us understand how you use our Services and to help us improve them, we automatically receive information about your interactions with our Services like the pages or other content you view, referrer URL, number of log-ins, data displayed or clicked on (e.g., UI elements, links), actions taken through the Services, error reports and the dates and times of your visits."
aggregation,we,"legal, analytics","We collect your Personal Information for the following specific business and commercial purposes: Aggregation : Aggregating information collected through our Services and using it for lawful purposes such as to see the number of users who used a type of document or shape or how many users clicked on a particular advertisement.
We use the information we collect for the following purposes: Aggregation : Aggregating information collected through our Services and using it for lawful purposes such as to see the number of users who used a type of document or shape or how many users clicked on a particular advertisement."
analytic datum about service,we,"legal, analytics",We use analytics services including Google Analytics and Microsoft to collect and process certain analytics data about our Services.
attachment you send to we,we,"legal, analytics","If you contact us directly, fill out surveys, request additional information, post feedback, subscribe to newsletters  or otherwise interact with us on one of our public websites, including social media, or otherwise communicate with us through our Services, we may receive your name, email address, phone number, the contents of a message or attachments that you may send to us, and other information you choose to provide or make available."
backup,we,"legal, analytics",We store our backups for six (6) months.
browsing / search history,advertiser,,"Our third-party partners, such as analytics and advertising partners, may use these technologies to collect information about your online activities over time and across different services."
browsing / search history,analytic provider,,"Our third-party partners, such as analytics and advertising partners, may use these technologies to collect information about your online activities over time and across different services."
cache copy of information,we,"legal, analytics",We may also retain cached or archived copies of your information for a certain period of time.
commercial information,we,"legal, analytics","In the preceding twelve months since this notice was last updated, we disclosed Personal Information to the following categories of third parties for the purposes of analytics and feedback, auditing interactions, combining data, communicating, compliance, connecting third party services, contracting vendors, debugging, deidentification and aggregation, enabling transactions, fraud and incident prevention, identity verification, improving our services, job applications and prospects, marketing, order fulfillment, personalization, providing services, research, sales outreach, security issues, sending messages, training and rewards, transactional communications, transient use, and for any other notified purpose:
Service Providers : Personal Information we disclosed: Identifiers, Categories of Personal Information in Cal. Civ. Code Section 1798.80(e), Characteristics of Protected Classifications under California or Federal Law, Commercial Information, Internet or Other Electronic Activity Information, Sensory Information, Professional or Employment-Related Information, Non-Public Education Information, and Inferences Drawn from Personal Information."
communication,UNSPECIFIED_ACTOR,,"When you communicate with us online, such as through our online chat service, third party vendors receive and store these communications on our behalf."
content of message,we,"legal, analytics","If you contact us directly, fill out surveys, request additional information, post feedback, subscribe to newsletters  or otherwise interact with us on one of our public websites, including social media, or otherwise communicate with us through our Services, we may receive your name, email address, phone number, the contents of a message or attachments that you may send to us, and other information you choose to provide or make available."
cookie / pixel tag,we,"legal, analytics","Although we do not sell or share personal information as the concept is defined in the California Consumer Privacy Act (California Civil Code SSSS 1798.100 to 1798.199) and its implementing regulations, as amended or superseded from time to time ("" CCPA ""), we give users the option to select ""Do Not Sell or Share My Personal Information"" in our Cookie Storage Preferences Center.
We may use both session cookies and persistent cookies."
course completion datum,we,"legal, analytics","If you participate in a training or product course, we collect course completion data."
date,we,"legal, analytics","To help us understand how you use our Services and to help us improve them, we automatically receive information about your interactions with our Services like the pages or other content you view, referrer URL, number of log-ins, data displayed or clicked on (e.g., UI elements, links), actions taken through the Services, error reports and the dates and times of your visits."
document,we,"legal, analytics","Our Services allow you to, upon your direction, integrate with other online services and disclose your documents or other information to such services."
document you create,we,"legal, analytics, services","We store, process and maintain documents that you create and/or upload using the Services (as well as previous versions of your documents), including Lucid documents that you create, images you upload, sharing lists, and other data related to your account in order to provide the Services to you."
