data_type,collector,purpose,text
Facebook,social media,,"We may display targeted advertising to you through social media platforms, such as Twitter, Instagram, LinkedIn, and other social media forums."
Microsoft,social media,,"We may display targeted advertising to you through social media platforms, such as Twitter, Instagram, LinkedIn, and other social media forums."
Twitter,social media,,"We may display targeted advertising to you through social media platforms, such as Twitter, Instagram, LinkedIn, and other social media forums."
UNSPECIFIED_DATA,UNSPECIFIED_ACTOR,,These parties may collect information directly from a browser or device when an individual visits our Services through cookies or other data collection technologies.
UNSPECIFIED_DATA,business partner,"advertising, analytics, services","Our business partners will use your information for their own business and commercial purposes, including to send you any information about their products or services that we believe will be of interest to you."
UNSPECIFIED_DATA,platform provider,advertising,"We may share a unique identifier, such as a user ID, with these platform providers or they may collect information from our website visitors through a first-party pixel, in order to direct targeted advertising to you or to a custom audience on the social media platform."
UNSPECIFIED_DATA,we,"advertising, services","For example, with your consent or direction we may share your information with family members.
Privacy Policy

III. How we use cookies and other tracking technologies to collect information
The information may include contact information, demographic information, payment information, information about your communications and related activities, and information about your use of the Services.
We may receive your information from our business partners, such as companies that offer their products and/or services on our Services.
We may use this information to administer and facilitate our Services, your orders, and our marketing activities.
We may use this information to administer and facilitate our services, your orders, and our marketing activities.
We use this information to operate, maintain, and provide to you the features and functionality of the Services, as well as to communicate directly with you, such as to send you email messages about products and services that may be of interest to you.
Where you choose to contact us, we may need additional information to fulfill the request or respond to inquiries.
You should always review and, if necessary, adjust their privacy settings on third-party websites and social media networks and services before sharing information and/or linking or connecting them to other services."
analytic datum,we,"advertising, services",We may collect analytics data or use third-party analytics tools such as Google Analytics to help us measure traffic and usage trends for the services and to understand more about the demographics of our users.
applicable interest,we,"advertising, services, analytics","Privacy Policy

II. Our collection and use of personal information

Newsletter and Marketing Emails, including email address and applicable interests and communication preferences.
We use this information to manage our communications with you and send you information about products and services we think may be of interest to you."
attribution,advertiser,"analytics, services","This information is used to provide and inform targeted advertising, as well as to provide advertising-related services such as reporting, attribution, analytics and market research.
We and our third-party partners use this information to make the advertisements you see online more relevant to your interests, as well as to provide advertising-related services such as reporting, attribution, analytics and market research."
communication,we,"advertising, services, analytics","The information may include contact information, demographic information, payment information, information about your communications and related activities, and information about your use of the Services.
We may use this information to administer and facilitate our services, your orders, and our marketing activities."
communication preference,we,"advertising, services, analytics","Privacy Policy

II. Our collection and use of personal information

Newsletter and Marketing Emails, including email address and applicable interests and communication preferences.
We use this information to manage our communications with you and send you information about products and services we think may be of interest to you."
company offer product on services,business partner,"advertising, analytics, services","We may receive your information from our business partners, such as companies that offer their products and/or services on our Services."
contact information,we,"advertising, services, analytics","The information may include contact information, demographic information, payment information, information about your communications and related activities, and information about your use of the Services.
This also includes contact information provided on our Services.
We may use this information to administer and facilitate our services, your orders, and our marketing activities.
We use this information to investigate and respond to your inquiries, and to communicate with you, to enhance the services we offer to our users and to manage and grow our organization."
cookie / pixel tag,UNSPECIFIED_ACTOR,"advertising, analytics","In addition, third parties may still use cookies to collect information about your use of our online services, including for analytics and fraud prevention as well as any other purpose permitted under the DAA's Principles.
We and our third-party partners may also use cookies and tracking technologies for advertising purposes."
cookie / pixel tag,we,"advertising, services, analytics","Privacy Policy

III. How we use cookies and other tracking technologies to collect information
These features enable us to use first-party cookies (such as the Google Analytics cookie) and third-party cookies (such as the DoubleClick advertising cookie) or other third-party cookies together to inform, optimize, and display ads based on your past visits to the Services.
We and our third-party partners may also use cookies and tracking technologies for advertising purposes."
customer data,we,"advertising, services, analytics","We collect and process Customer Data on behalf of the mdhub Customers subject to restrictions set forth in our contracts with them, including HIPAA business associate agreements."
customer experience,we,"advertising, services, analytics","All of the information collected automatically through these tools allows us to improve your customer experience.
For example, we may use this information to enhance and personalize your user experience, to monitor and improve our Sites and Services, and to improve the effectiveness of our Services, offers, advertising, communications and customer service.
We may also use this information the data collected through tracking technologies to: (a) remember information so that you will not have to re-enter it during your visit or the next time you visit the site; (b) provide custom, personalized content and information, including targeted content and advertising; (c) identify you across multiple devices; (d) provide and monitor the effectiveness of our services; (e) monitor aggregate metrics such as total number of visitors, traffic, usage, and demographic patterns on our website; (f) diagnose or fix technology problems; and (g) otherwise to plan for and enhance our services."
datum collect through track technology,we,"advertising, services, analytics","We may also use this information the data collected through tracking technologies to: (a) remember information so that you will not have to re-enter it during your visit or the next time you visit the site; (b) provide custom, personalized content and information, including targeted content and advertising; (c) identify you across multiple devices; (d) provide and monitor the effectiveness of our services; (e) monitor aggregate metrics such as total number of visitors, traffic, usage, and demographic patterns on our website; (f) diagnose or fix technology problems; and (g) otherwise to plan for and enhance our services."
deidentifie information not use,we,"advertising, services, analytics","Through the provision of our Services, we may also process deidentified information that cannot reasonably be used to infer information about, or otherwise be linked to, a particular consumer or household."
demographic information,we,"advertising, services, analytics","The information may include contact information, demographic information, payment information, information about your communications and related activities, and information about your use of the Services.
We may use this information to administer and facilitate our services, your orders, and our marketing activities."
email address,we,"advertising, services, analytics","Privacy Policy

II. Our collection and use of personal information

Newsletter and Marketing Emails, including email address and applicable interests and communication preferences.
We use this information to manage our communications with you and send you information about products and services we think may be of interest to you."
feedback,we,"advertising, services, analytics","We may also collect feedback and ratings you provide relating to our services or products.
We use this information to communicate with you, to conduct market research, inform our marketing and advertising activities and improve and grow our business."
information about,UNSPECIFIED_ACTOR,"advertising, analytics","We, and our third-party partners, automatically collect information you provide to us and information about how you access and use the Services when you visit our services, read our emails, or otherwise engage with us."
information about,we,"advertising, services, analytics","We may also use third-party tools to collect information you provide to us or information about how you use the Services and may record browsing, search or purchasing behavior activities.
We, and our third-party partners, automatically collect information you provide to us and information about how you access and use the Services when you visit our services, read our emails, or otherwise engage with us."
information about individual,we,"advertising, services, analytics","When you interact with our Services through various social media networks, such as when someone ""Likes"" us on Facebook or follows us or shares our content on Facebook, LinkedIn, Twitter, or other social networks, we may receive some information about individuals that they permit the social network to share with third parties."
information about use of online service,UNSPECIFIED_ACTOR,"advertising, analytics","In addition, third parties may still use cookies to collect information about your use of our online services, including for analytics and fraud prevention as well as any other purpose permitted under the DAA's Principles.
We may permit third party online advertising networks, social media companies and other third-party services, to collect information about your use of our online services over time so that they may play or display ads on our Services, on other websites or services you may use, and on other devices you may use."
information about use of online service,advertiser,"analytics, services","We may permit third party online advertising networks, social media companies and other third-party services, to collect information about your use of our online services over time so that they may play or display ads on our Services, on other websites or services you may use, and on other devices you may use."
information about use of online service,social media,,"We may permit third party online advertising networks, social media companies and other third-party services, to collect information about your use of our online services over time so that they may play or display ads on our Services, on other websites or services you may use, and on other devices you may use."
information you enter,UNSPECIFIED_ACTOR,"advertising, analytics","These tools may also record information you enter when you interact with our Services or engage in chat features through our Services.
We may also use third-party tools to collect information you provide to us or information about how you use the Services and may record browsing, search or purchasing behavior activities."
information you provide to we,UNSPECIFIED_ACTOR,"advertising, analytics","We, and our third-party partners, automatically collect information you provide to us and information about how you access and use the Services when you visit our services, read our emails, or otherwise engage with us."
information you provide to we,we,"advertising, services, analytics","We may also use third-party tools to collect information you provide to us or information about how you use the Services and may record browsing, search or purchasing behavior activities.
We typically collect this information through a variety of tracking technologies, including (i) cookies or small data files that are stored on an individual's computer and (ii) other, related technologies, such as web beacons, pixels, embedded scripts, mobile SDKs, location-identifying technologies and logging technologies (collectively, ""tracking technologies"") and we may use third-party partners or technologies to collect this information.
We, and our third-party partners, automatically collect information you provide to us and information about how you access and use the Services when you visit our services, read our emails, or otherwise engage with us."
machine learning,service provider perform service on behalf,,"Our service providers that perform services solely on our behalf, such as machine learning and/or generative artificial intelligence services, survey and marketing providers and payment processors, collect personal information and often share some or all of this information with us."
payment information,we,"advertising, services, analytics","The information may include contact information, demographic information, payment information, information about your communications and related activities, and information about your use of the Services.
We may use this information to administer and facilitate our services, your orders, and our marketing activities."
personal information,UNSPECIFIED_ACTOR,"advertising, analytics","This Privacy Notice explains how mdhub, Inc., and its affiliates and/or subsidiaries (""mdhub"", ""we"", ""us"" or ""our"") collects, uses, discloses, and otherwise processes personal information (as defined below) in connection with our websites (the ""Sites"") and mobile applications that we own and operate that link to this Privacy Notice, and the related content, platform, services, products, mobile apps, and other functionality offered on or through our services (collectively, the ""Services"").
We may also share, transmit, disclose, grant access to, make available, and provide personal information with and to third parties, as follows:
We may disclose personal information about you to certain other third parties or publicly with their consent or direction.
We may disclose personal information to a third-party during negotiation of, in connection with or as an asset in such a corporate business transaction.
We share personal information with third parties who assist us in delivering our survey offerings and processing the responses.
We share personal information with third parties who assist us in providing our customer services and facilitating our communications with individuals that submit inquiries."
personal information,business partner,"advertising, analytics, services","From time to time, we may share personal information with our business partners or we may allow our business partners to collect your personal information."
personal information,law enforcement,,"We may disclose personal information to third parties, such as legal advisors and law enforcement:"
