data_type,collector,purpose,text
UNSPECIFIED_DATA,UNSPECIFIED_ACTOR,,"For example, we may employ third party companies or individuals for website creation and development, hosting, maintenance and support; virtual computing and storage services.
These third party companies may have access to or process your information."
UNSPECIFIED_DATA,mobile app,services,"11. Mobile Apps
Mobile Apps may transmit information to and from Devices to provide the Mobile Application services."
aggregate / deidentified / pseudonymized information,we,,We may disclose or use aggregated or anonymized Data for any purposes including research.
browser configuration,we,,"As is true of most websites and technology services offered via internet, our servers automatically collect information when you access or use our Websites or Services and record them in log files.
This information may include IP address, the address of the web address you have come from and you are going to, browser type and settings, your internet service provider or mobile carrier, your searches, your operating system, your location, the date and time you have accessed or used Services, information about your browser configuration and plugins, language preference and cookie data."
browser type,we,,"As is true of most websites and technology services offered via internet, our servers automatically collect information when you access or use our Websites or Services and record them in log files.
This information may include IP address, the address of the web address you have come from and you are going to, browser type and settings, your internet service provider or mobile carrier, your searches, your operating system, your location, the date and time you have accessed or used Services, information about your browser configuration and plugins, language preference and cookie data."
coarse geolocation,we,,"In addition to information we collect on our Websites and Services, when you use our Mobile Apps we may also collect further information including your city location, device model and version, device identifier (or ""UDID""), OS version, and your subscription."
company address,we,,"When you purchase or subscribe to our Services, we require you to provide the following personal information: Primary Information, company address, billing name and address, the number of employees within the organization and any other information you choose to provide to us (""Personal Data"")."
company name,we,,"When you request more information about the Services, we require you to provide the following personal information: your name, email address, your company name, and telephone number (""Primary Information"")."
cookie / pixel tag,UNSPECIFIED_ACTOR,"advertising, analytics, services","We and/or our third party partners may use Flash cookies to remember settings, preferences and usage and volume information from you to provide personalized settings, enhanced interactions and more relevant communications, and to track the performance of our advertisements."
cookie / pixel tag,we,"advertising, analytics, security, services","As is true of most websites and technology services offered via internet, our servers automatically collect information when you access or use our Websites or Services and record them in log files.
In addition, we use third party cookies like Google Analytics.
This information may include IP address, the address of the web address you have come from and you are going to, browser type and settings, your internet service provider or mobile carrier, your searches, your operating system, your location, the date and time you have accessed or used Services, information about your browser configuration and plugins, language preference and cookie data.
We and/or our third party partners may use Flash cookies to remember settings, preferences and usage and volume information from you to provide personalized settings, enhanced interactions and more relevant communications, and to track the performance of our advertisements.
We use cookies and other ad technology such as Web beacons, pixels and tags or in any combination to compile information about your usage of our Websites or Services and give you a personalized experience in a faster and more secure way."
date,we,"advertising, analytics, security, services","As is true of most websites and technology services offered via internet, our servers automatically collect information when you access or use our Websites or Services and record them in log files.
This information may include IP address, the address of the web address you have come from and you are going to, browser type and settings, your internet service provider or mobile carrier, your searches, your operating system, your location, the date and time you have accessed or used Services, information about your browser configuration and plugins, language preference and cookie data."
device identifier,we,"advertising, analytics, security, services","In addition to information we collect on our Websites and Services, when you use our Mobile Apps we may also collect further information including your city location, device model and version, device identifier (or ""UDID""), OS version, and your subscription."
device model,we,"advertising, analytics, security, services","In addition to information we collect on our Websites and Services, when you use our Mobile Apps we may also collect further information including your city location, device model and version, device identifier (or ""UDID""), OS version, and your subscription."
email address,we,"advertising, analytics, security, services","Through our ""import option"", we may also collect Personal Data or email addresses of contacts that you choose to share with us.
We will use your email address or phone number to contact you for administrative purposes, for customer service purposes, to address intellectual property notice, to notify you of changes to our services, provide important notices, rights of privacy, or defamation issues.
When you request more information about the Services, we require you to provide the following personal information: your name, email address, your company name, and telephone number (""Primary Information"")."
geolocation,we,"advertising, analytics, security, services","As is true of most websites and technology services offered via internet, our servers automatically collect information when you access or use our Websites or Services and record them in log files.
This information may include IP address, the address of the web address you have come from and you are going to, browser type and settings, your internet service provider or mobile carrier, your searches, your operating system, your location, the date and time you have accessed or used Services, information about your browser configuration and plugins, language preference and cookie data.
When you come to visit our Websites, we collect information about your browser type, Internet Protocol (""IP"") address, geographical location, referral source, length of visit and pages viewed (""Navigational Information"")."
information about you,we,"advertising, analytics, security, services","We may use information about you that we collect from other sources, including but not limited to newspapers and internet sources such as blogs, instant messaging services, Platform developers, social media websites and other users of our Websites, to supplement your profile."
information you choose,we,"advertising, analytics, security, services","When you purchase or subscribe to our Services, we require you to provide the following personal information: Primary Information, company address, billing name and address, the number of employees within the organization and any other information you choose to provide to us (""Personal Data"")."
ip address,social media,,"The Company's Websites and Services may use social media features, such as the Facebook ""like"" button.
These features may collect your IP address and which page you are visiting on the Company's Websites, and may set a cookie to enable the feature to function properly."
ip address,we,"advertising, analytics, security, services","As is true of most websites and technology services offered via internet, our servers automatically collect information when you access or use our Websites or Services and record them in log files.
This information may include IP address, the address of the web address you have come from and you are going to, browser type and settings, your internet service provider or mobile carrier, your searches, your operating system, your location, the date and time you have accessed or used Services, information about your browser configuration and plugins, language preference and cookie data.
When you come to visit our Websites, we collect information about your browser type, Internet Protocol (""IP"") address, geographical location, referral source, length of visit and pages viewed (""Navigational Information"")."
language preference,we,"advertising, analytics, security, services","As is true of most websites and technology services offered via internet, our servers automatically collect information when you access or use our Websites or Services and record them in log files.
This information may include IP address, the address of the web address you have come from and you are going to, browser type and settings, your internet service provider or mobile carrier, your searches, your operating system, your location, the date and time you have accessed or used Services, information about your browser configuration and plugins, language preference and cookie data."
mobile apps,we,"advertising, analytics, security, services","This Privacy Policy describes our privacy policy practices in relation to your access and uses of Platform and Solutions and its products and Mobile Apps (collectively, the ""Services""), your use and access to our Websites and your choices regarding use, access, correction and deletion of your personal information."
navigational information,we,"advertising, analytics, security, services","In addition, we use Navigational Information, Personal Data you have provided, publicly available information about you or in any combination of these to understand, operate, enhance, improve, research, and analyze the usage trends and preferences to the features of our Services and to create new features and functionality.
We use Navigational Information alone or in combinations with publicly available information about you to operate, enhance, improve and personalize your experience on our Websites.
When you come to visit our Websites, we collect information about your browser type, Internet Protocol (""IP"") address, geographical location, referral source, length of visit and pages viewed (""Navigational Information"")."
