data_type,collector,purpose,text
UNSPECIFIED_DATA,we,,"Furthermore, when you login and/or register within the Website, we store and process certain data in so-called log files.
If your data is required for a longer period of time due to legal storage reasons or to establish, exercise or defend a right in court, we store your data in accordance with personal data protection regulations for as long as it is requested by law or is necessary to fulfil the purpose."
automate decision making regard personal datum we process on behalf of client through own ai do % of work,we,,"When providing certain services to our Clients, we use automated decision making regarding your personal data we process on behalf of our Clients through our own AI (GPT functionality) which does more than 90% of the work."
browser detail,we,,"When using the Website, we also collect and process data such as: browser details i.e., name and browser version, the name of the operating system version of the device on which the browser is installed, device identification, system language, your device's network location data when you sign in (such as country and state), as well as the version of the website you are using."
browser version,we,,"When using the Website, we also collect and process data such as: browser details i.e., name and browser version, the name of the operating system version of the device on which the browser is installed, device identification, system language, your device's network location data when you sign in (such as country and state), as well as the version of the website you are using."
cookie / pixel tag,Google,,The following links provide information on how to modify the cookies settings on some popular browsers: Google Chrome: https://support.google.com/chrome/answer/95647?hl=en
cookie / pixel tag,Microsoft,,The following links provide information on how to modify the cookies settings on some popular browsers: Microsoft Edge: https://support.microsoft.com/en-gb/help/4468242/microsoft-edge-browsing-data-and-privacy-microsoft-privacy
cookie / pixel tag,we,"advertising, analytics, services","Our Website uses cookies, plug-ins and other online identifiers in order to ensure functional browsing or to provide a better browsing experience, to perform statistical analysis on accessing information on the site, or to provide you with custom content and advertising appropriate to your preferences and interests.
We use cookies to enhance your experience, to display customized content, and to analyze site traffic."
device identification,we,"advertising, analytics, services","When using the Website, we also collect and process data such as: browser details i.e., name and browser version, the name of the operating system version of the device on which the browser is installed, device identification, system language, your device's network location data when you sign in (such as country and state), as well as the version of the website you are using."
geolocation,we,"advertising, analytics, services","When using the Website, we also collect and process data such as: browser details i.e., name and browser version, the name of the operating system version of the device on which the browser is installed, device identification, system language, your device's network location data when you sign in (such as country and state), as well as the version of the website you are using."
identity information,meetz ai,,"Meetz Ai provides you with the identity information and links to these third-parties, as well as the option to accept or reject their online identifiers."
image,we,"advertising, analytics, services","For those cases where you choose to schedule a video call with us, we will also process your voice and image."
meetz ai llc,we,"advertising, analytics, services","Regarding the personal data processing activities performed through the website, the Controller is Meetz Ai LLC, ""Us"", ""We"" ;"
name of operate system version of device on instal,we,"advertising, analytics, services","When using the Website, we also collect and process data such as: browser details i.e., name and browser version, the name of the operating system version of the device on which the browser is installed, device identification, system language, your device's network location data when you sign in (such as country and state), as well as the version of the website you are using."
online identifier,we,"advertising, analytics, services","Our Website uses cookies, plug-ins and other online identifiers in order to ensure functional browsing or to provide a better browsing experience, to perform statistical analysis on accessing information on the site, or to provide you with custom content and advertising appropriate to your preferences and interests."
person name,we,"advertising, analytics, services","When using the Website, we also collect and process data such as: browser details i.e., name and browser version, the name of the operating system version of the device on which the browser is installed, device identification, system language, your device's network location data when you sign in (such as country and state), as well as the version of the website you are using."
plug in,we,"advertising, analytics, services","Our Website uses cookies, plug-ins and other online identifiers in order to ensure functional browsing or to provide a better browsing experience, to perform statistical analysis on accessing information on the site, or to provide you with custom content and advertising appropriate to your preferences and interests."
system language,we,"advertising, analytics, services","When using the Website, we also collect and process data such as: browser details i.e., name and browser version, the name of the operating system version of the device on which the browser is installed, device identification, system language, your device's network location data when you sign in (such as country and state), as well as the version of the website you are using."
voice,we,"advertising, analytics, services","For those cases where you choose to schedule a video call with us, we will also process your voice and image."
