data_type,collector,purpose,text
UNSPECIFIED_DATA,curalinc,,"Apart from the data mentioned above, CuraLinc may collect additional data depending upon the platform which you use to connect to CuraLinc (mobile application, etc.).
CuraLinc may collect some information from interactive features such as online surveys, contact and registration forms, and using 'cookies' as explained below.
If you are located in the European Union, CuraLinc may transfer data outside of the European Union in accordance with standards set forth by European Union law including the derogations based on Article 49 of GDPR and the EU model clauses."
UNSPECIFIED_DATA,we,security,"In some cases, we may request additional information to verify your request or where necessary to process your request.
It explains what information we collect from visitors to this site during the duration of our relationship, how we use that information, and how visitors can update and verify the uses of the information provided on this site.
Note that under some legislations we may be allowed to process information until you object to such processing (by opting out), without having to rely on consent or any other of the following legal bases below."
aggregate / deidentified / pseudonymized information,we,"security, analytics","For statistical purposes, we use only anonymized data.
We may use any aggregated data derived from or incorporating your Personal Information after you update or delete it, but not in a manner that would identify you personally."
country not guarantee adequate level of protection of personal datum accord to gdpr,third country,,"Your personal data may also be transferred to another third country (a country outside the EU), including countries that do not guarantee an adequate level of protection of personal data according to the GDPR."
customer record information,we,"security, analytics, advertising","During the past twelve (12) months, we have disclosed the following categories of Personal Information for a business purpose: Customer records information: Name, address, telephone number, medical information, health insurance information"
email address,we,"security, analytics, advertising","During the past twelve (12) months, we have disclosed the following categories of Personal Information for a business purpose: Identifiers: Name, residential address, Internet Protocol (IP) address, email address, or other similar identifiers"
gender,we,"security, analytics, advertising","During the past twelve (12) months, we have disclosed the following categories of Personal Information for a business purpose: Characteristics of protected classifications under California or federal law: Gender, language preference, age"
geolocation,we,"security, analytics, advertising","During the past twelve (12) months, we have disclosed the following categories of Personal Information for a business purpose: Geolocation data: IP-based geolocation"
identifier,we,"security, analytics, advertising","During the past twelve (12) months, we have disclosed the following categories of Personal Information for a business purpose: Identifiers: Name, residential address, Internet Protocol (IP) address, email address, or other similar identifiers"
industry standard encryption,curalinc,,CuraLinc uses industry standard encryption on this portal.
information about you,we,"security, analytics, advertising","We disclose information about you to others when we believe in good faith that we are required by law or legal process to respond to claims or to protect the rights, property or safety of CuraLinc or others."
information we collect,we,"security, analytics, advertising","We will disclose any information we collect, use or receive if required or permitted by law, such as to comply with a subpoena, or similar legal process, and when we believe in good faith that disclosure is necessary to protect our rights, protect your safety or the safety of others, investigate fraud, or respond to a government request."
internet,we,"security, analytics, advertising","During the past twelve (12) months, we have disclosed the following categories of Personal Information for a business purpose: Internet or other similar network activity: Information on a consumer's interaction with our website and applications"
internet activity,we,"security, analytics, advertising","During the past twelve (12) months, we have disclosed the following categories of Personal Information for a business purpose: Internet or other similar network activity: Information on a consumer's interaction with our website and applications"
ip address,we,"security, analytics, advertising","During the past twelve (12) months, we have disclosed the following categories of Personal Information for a business purpose: Geolocation data: IP-based geolocation
During the past twelve (12) months, we have disclosed the following categories of Personal Information for a business purpose: Identifiers: Name, residential address, Internet Protocol (IP) address, email address, or other similar identifiers"
person name,we,"security, analytics, advertising","During the past twelve (12) months, we have disclosed the following categories of Personal Information for a business purpose: Customer records information: Name, address, telephone number, medical information, health insurance information
During the past twelve (12) months, we have disclosed the following categories of Personal Information for a business purpose: Identifiers: Name, residential address, Internet Protocol (IP) address, email address, or other similar identifiers"
personal datum provide,we,"security, analytics, advertising","The personal data provided by you will be stored by us for the duration of use of the portal, our services or in the event of the provision of information, services or support until expiry of the applicable statutory storage period, considering the basic principles of the GDPR and the local laws to the permissible extent."
personal identifier,UNSPECIFIED_ACTOR,"analytics, services","This privacy policy ""Policy"" describes how CuraLinc Healthcare and our entities globally (""CuraLinc"", ""we"", ""us"" or ""our"") collects, protects and uses the personally identifiable information (""Personal Information"") you (""User"", ""you"" or ""your"") may provide while using any of its products or services (collectively, ""EAP Services"" or ""Services"")."
personal identifier,curalinc,,"This privacy policy ""Policy"" describes how CuraLinc Healthcare and our entities globally (""CuraLinc"", ""we"", ""us"" or ""our"") collects, protects and uses the personally identifiable information (""Personal Information"") you (""User"", ""you"" or ""your"") may provide while using any of its products or services (collectively, ""EAP Services"" or ""Services"")."
personal identifier,curalinc healthcare,,"This privacy policy ""Policy"" describes how CuraLinc Healthcare and our entities globally (""CuraLinc"", ""we"", ""us"" or ""our"") collects, protects and uses the personally identifiable information (""Personal Information"") you (""User"", ""you"" or ""your"") may provide while using any of its products or services (collectively, ""EAP Services"" or ""Services"")."
personal identifier,we,"security, analytics, advertising","This privacy policy ""Policy"" describes how CuraLinc Healthcare and our entities globally (""CuraLinc"", ""we"", ""us"" or ""our"") collects, protects and uses the personally identifiable information (""Personal Information"") you (""User"", ""you"" or ""your"") may provide while using any of its products or services (collectively, ""EAP Services"" or ""Services"")."
