data_type,collector,purpose,text
UNSPECIFIED_DATA,UNSPECIFIED_ACTOR,,"We, or other third-parties assisting Us, may use cookies, web beacons, local shared objects (sometimes called ""flash cookies""), or other similar technology in connection with Your use of the Services (collectively, ""Cookies"")."
UNSPECIFIED_DATA,feature,,These features may collect Your information through the use of cookies or other technologies.
UNSPECIFIED_DATA,we,,"We, or other third-parties assisting Us, may use cookies, web beacons, local shared objects (sometimes called ""flash cookies""), or other similar technology in connection with Your use of the Services (collectively, ""Cookies"")."
UNSPECIFIED_DATA,we,"services, analytics, legal","We, or other third-parties assisting Us, may use cookies, web beacons, local shared objects (sometimes called ""flash cookies""), or other similar technology in connection with Your use of the Services (collectively, ""Cookies"")."
attorney,we,"services, analytics, legal","Except as expressly provided herein, any claim, dispute or controversy (whether based upon contract; tort, intentional or otherwise; constitution; statute; common law; or equity and whether pre-existing, present or future), including initial claims, counter-claims, cross-claims and third-party claims, arising from or relating to (i) the Website, (ii) the Application, (iii) the Services; (iv) the Privacy Policy, including the validity, enforceability, interpretation, scope, or application of the Privacy Policy and this binding Arbitration provision; (v) any other agreement or instrument relating to the Website, Application or Services, including our Terms of Service and Services Agreement; and (vi) any products or services sold using the Website, Application or Services (collectively a ""Claim"" or ""Claims"") shall be decided, upon the election of You, Us (which includes all Indemnified Parties) or the seller of goods or services using the Website, Application or Services (which includes their owners, partners, managers, members, directors, officers, employees, agents, affiliates, insurers, and attorneys, by binding Arbitration pursuant to this Arbitration Clause and the applicable rules and procedures of the American Arbitration Association (""AAA""), which shall serve as the Arbitration administrator, in effect at the time the Claim is filed."
browser type,UNSPECIFIED_ACTOR,analytics,"Mobile Text Alerts Website uses cookies to help Us identify and track visitors, their usage of a Website, and their Website access preferences, and Mobile Text Alerts either directly or through a third party collects Your IP address, device ID information, ISP provider, browser type, and the actions You take on its Website."
browsing / search history,UNSPECIFIED_ACTOR,analytics,"These third parties may collect information about a User's online activities over time and across different websites when she/he uses a Website.
These third-parties may collect information about Your online activities over time and across different websites."
cookie / pixel tag,UNSPECIFIED_ACTOR,analytics,"These third-parties may use cookies or other similar mechanisms to provide Us with information and analysis about Your use of the Services.
We, or other third-parties assisting Us, may use cookies, web beacons, local shared objects (sometimes called ""flash cookies""), or other similar technology in connection with Your use of the Services (collectively, ""Cookies"")."
cookie / pixel tag,mobile text alerts website,analytics,"Mobile Text Alerts Website uses cookies to help Us identify and track visitors, their usage of a Website, and their Website access preferences, and Mobile Text Alerts either directly or through a third party collects Your IP address, device ID information, ISP provider, browser type, and the actions You take on its Website."
cookie / pixel tag,we,services,"We use preference cookies to remember Your preferences and various settings.
We, or other third-parties assisting Us, may use cookies, web beacons, local shared objects (sometimes called ""flash cookies""), or other similar technology in connection with Your use of the Services (collectively, ""Cookies"")."
cookie / pixel tag,we,"services, analytics, legal","We use preference cookies to remember Your preferences and various settings.
We, or other third-parties assisting Us, may use cookies, web beacons, local shared objects (sometimes called ""flash cookies""), or other similar technology in connection with Your use of the Services (collectively, ""Cookies"")."
datum relate to you,UNSPECIFIED_ACTOR,analytics,Third parties may collect data that relates to You.
director,we,"services, analytics, legal","Except as expressly provided herein, any claim, dispute or controversy (whether based upon contract; tort, intentional or otherwise; constitution; statute; common law; or equity and whether pre-existing, present or future), including initial claims, counter-claims, cross-claims and third-party claims, arising from or relating to (i) the Website, (ii) the Application, (iii) the Services; (iv) the Privacy Policy, including the validity, enforceability, interpretation, scope, or application of the Privacy Policy and this binding Arbitration provision; (v) any other agreement or instrument relating to the Website, Application or Services, including our Terms of Service and Services Agreement; and (vi) any products or services sold using the Website, Application or Services (collectively a ""Claim"" or ""Claims"") shall be decided, upon the election of You, Us (which includes all Indemnified Parties) or the seller of goods or services using the Website, Application or Services (which includes their owners, partners, managers, members, directors, officers, employees, agents, affiliates, insurers, and attorneys, by binding Arbitration pursuant to this Arbitration Clause and the applicable rules and procedures of the American Arbitration Association (""AAA""), which shall serve as the Arbitration administrator, in effect at the time the Claim is filed."
feature make,feature,,"If users disable cookies in their browser, some features will be disabled and may not function properly, including features that make Your site experience more efficient and You will not be able to log in to the Website."
information about service,mobile text alerts website,analytics,The Mobile Text Alerts Website provides more information about Mobile Text Alerts' Services.
information about use of mobile text alerts,UNSPECIFIED_ACTOR,analytics,"If You log into Mobile Text Alerts through a third-party service like Facebook or Google, then those third-parties may have access to certain information about Your use of Mobile Text Alerts."
information about use of services,mobile text alert,,"Mobile Text Alerts may use third-party vendors or advertisers to collect and analyze information about Your use of the Services, including, for example, Google, Facebook, or others."
information collect,UNSPECIFIED_ACTOR,"analytics, advertising","Additionally, some companies may use information collected to deliver targeted ads on behalf of Us or other companies, including on other websites or online services."
