data_type,collector,purpose,text
UNSPECIFIED_DATA,UNSPECIFIED_ACTOR,"analytics, services","We may also share information with our affiliates, agents, outside vendors or service providers to perform functions on our behalf (such as cloud storage providers, customer support and analytics services).
We may share your information with third parties as necessary to provide Services to you or to support the technical operation and/or maintenance of our Services, including third party application that you may engage within the Services."
UNSPECIFIED_DATA,next,"advertising, analytics, security, services","In particular, NEXT uses your information to:
NEXT may also process your information in reliance on our legitimate interests for direct marketing purposes, provided that you have a right to object to NEXT's use of your information for this purpose at any time.
NEXT uses your information in furtherance of our legitimate interests in operating our Site, Services and business."
UNSPECIFIED_DATA,outside vendor,"analytics, services","We may also share information with our affiliates, agents, outside vendors or service providers to perform functions on our behalf (such as cloud storage providers, customer support and analytics services)."
UNSPECIFIED_DATA,service provider,"analytics, services","We may also share information with our affiliates, agents, outside vendors or service providers to perform functions on our behalf (such as cloud storage providers, customer support and analytics services)."
UNSPECIFIED_DATA,we,"analytics, legal, services","Even if you do not provide information to us, we automatically collect certain information about your use and interaction with our Site and/or Services.
Finally, we may need to process your information to comply with our legal obligations (such as to enforce our terms of use, exercise, establish or defend our legal rights, or share your information with a law enforcement body or regulatory agency where disclosure is required by law).
For example, when you visit our website, our systems automatically maintain web logs to record data about all visitors who use our website and stores this information in our database.
If you have been given access to our Services by another company or organization (e.g., your employer), or are otherwise using our Services on behalf of another company or organization, then we may be processing your information on behalf of that company or organization.
In other circumstances, we may process your information where the processing is in our legitimate interests and those interests are not overridden by your rights and freedoms.
Our Site offers you the functionality of using your social media credentials (e.g. Google, etc.) to use single-sign-on to enter our Site, and in that manner, we may also collect certain information from you as you log on.
We may also share information with our affiliates, agents, outside vendors or service providers to perform functions on our behalf (such as cloud storage providers, customer support and analytics services).
We may share your information with third parties as necessary to provide Services to you or to support the technical operation and/or maintenance of our Services, including third party application that you may engage within the Services.
We will use your information to provide and maintain our Site and Services, to improve your user experience, and for the other purposes described in this Policy.
Where we are processing your information on our own behalf, we may disclose your information with your consent, which we may obtain in a number of ways, including:
With Whom We Share Information"
adsense tracking code,we,"analytics, legal, services","From time to time, we may use Google Analytics, AdWords and/or AdSense tracking codes, along with other third party services (such as remarketing codes) in order to collect marketing analytics about the pages you browse on our Site or when you undertake specific actions through our services."
beacon,UNSPECIFIED_ACTOR,"analytics, services, advertising",Our third party providers may also use cookies and beacons to track your Internet browsing in order to serve you ads based on what they or us believe to be of your interest.
beacon,authorized service provider,,"Either we or our affiliates and authorized service providers may also use 'beacons', which are small files, sometimes only a pixel in size, embedded onto the pages of our Site."
beacon,we,"analytics, legal, services","Either we or our affiliates and authorized service providers may also use 'beacons', which are small files, sometimes only a pixel in size, embedded onto the pages of our Site."
code,advertiser,analytics,"Our advertising and analytics providers may also use cookies, codes and other technologies to help us analyze our users' patterns."
