data_type,collector,purpose,text
UNSPECIFIED_DATA,UNSPECIFIED_ACTOR,,"We may share your data with third-party vendors, service providers, contractors, or agents (""third parties"") who perform services for us or on our behalf and require access to such information to do that work."
UNSPECIFIED_DATA,business partner,advertising,"We may share your information with our business partners to offer you certain products, services, or promotions."
UNSPECIFIED_DATA,contractor,,"We may share your data with third-party vendors, service providers, contractors, or agents (""third parties"") who perform services for us or on our behalf and require access to such information to do that work."
UNSPECIFIED_DATA,service provider,,"We may share your data with third-party vendors, service providers, contractors, or agents (""third parties"") who perform services for us or on our behalf and require access to such information to do that work."
UNSPECIFIED_DATA,we,"advertising, analytics, legal, security, services","For instance, depending on the type of request you submit, we may ask you to provide certain information so that we can match the information you provide with the information we already have on file, or we may contact you through a communication method (e.g., phone or email) that you have previously provided to us.
However, we may retain some information in our files to prevent fraud, troubleshoot problems, assist with any investigations, enforce our legal terms and/or comply with applicable legal requirements.
If you submit the request through an authorized agent, we may need to collect additional information to verify your identity before processing your request.
In Short: We keep your information for as long as necessary to fulfill the purposes outlined in this privacy notice unless otherwise required by law.
In Short: We may transfer, store, and process your information in countries other than your own.
In Short: We may use cookies and other tracking technologies to collect and store your information.
In Short: We process your information to provide, improve, and administer our Services, communicate with you, for security and fraud prevention, and to comply with law.
In some exceptional cases, we may be legally permitted under applicable law to process your information without your consent, including, for example:
Like many businesses, we also collect information through cookies and similar technologies.
We automatically collect certain information when you visit, use, or navigate the Services.
We may also process your information for other purposes with your consent.
We may process information about how you use our Services to better understand how they are being used so we can improve them.
We may process your information as part of our efforts to keep our Services safe and secure, including fraud monitoring and prevention.
We may process your information if you choose to use any of our offerings that allow for communication with another user.
We may process your information if you have given us permission (i.e., consent) to use your personal information for a specific purpose.
We may process your information if you have given us specific permission (i.e., express consent) to use your personal information for a specific purpose, or in situations where your permission can be inferred (i.e., implied consent).
We may process your information so you can create and log in to your account, as well as keep your account in working order.
We may process your information to better understand how to provide marketing and promotional campaigns that are most relevant to you.
We may process your information to develop and display personalized content and advertising tailored to your interests, location, and more.
We may process your information to fulfill and manage your orders, payments, returns, and exchanges made through the Services.
We may process your information to provide you with the requested service.
We may process your information to respond to your inquiries and solve any potential issues you might have with the requested service.
We may process your information to send you details about our products and services, changes to our terms and policies, and other similar information.
We may process your information when necessary to request feedback and to contact you about your use of our Services.
We may process your information when necessary to save or protect an individual's vital interest, such as to prevent harm.
We may process your information when we believe it is reasonably necessary to achieve our legitimate business interests and those interests do not outweigh your interests and fundamental rights and freedoms.
We may process your information where we believe it is necessary for compliance with our legal obligations, such as to cooperate with a law enforcement body or regulatory agency, exercise or defend our legal rights, or disclose your information as evidence in litigation in which we are involved.
We may process your information where we believe it is necessary to protect your vital interests or the vital interests of a third party, such as situations involving potential threats to the safety of any person.
We may share information in specific situations and with specific categories of third parties.
We may share or transfer your information in connection with, or during negotiations of, any merger, sale of company assets, financing, or acquisition of all or a portion of our business to another company.
We may share your data with third-party vendors, service providers, contractors, or agents (""third parties"") who perform services for us or on our behalf and require access to such information to do that work.
We may share your information with our business partners to offer you certain products, services, or promotions.
We process your information only when we have a valid legal reason to do so.
We process your information to provide, improve, and administer our Services, communicate with you, for security and fraud prevention, and to comply with the law."
collect personal information,we,"advertising, analytics, legal, security, services",We will use and retain the collected personal information as needed to provide the Services or for:
cookie / pixel tag,UNSPECIFIED_ACTOR,"analytics, security, services","When you visit or log in to our website, cookies and similar technologies may be used by our online data partners or vendors to associate these activities with other personal information they or others have about you, including by association with your email or home address."
cookie / pixel tag,online data partner,"analytics, security, services","When you visit or log in to our website, cookies and similar technologies may be used by our online data partners or vendors to associate these activities with other personal information they or others have about you, including by association with your email or home address."
cookie / pixel tag,we,"advertising, analytics, legal, security, services","In Short: We may use cookies and other tracking technologies to collect and store your information.
We may use cookies and similar tracking technologies (like web beacons and pixels) to access or store information."
device data,we,"advertising, analytics, legal, security, services",The information we collect includes: Device Data.
geolocation,we,"advertising, analytics, legal, security, services","For example, we may use GPS and other technologies to collect geolocation data that tells us your current location (based on your IP address).
The information we collect includes: Location Data.
We collect location data such as information about your device's location, which can be either precise or imprecise.
You can opt out of allowing us to collect this information either by refusing access to the information or by disabling your Location setting on your device."
information in specific situation describe in section,we,"advertising, analytics, legal, security, services",In Short: We may share information in specific situations described in this section and/or with the following categories of third parties.
ip address,we,"advertising, analytics, legal, security, services","For example, we may use GPS and other technologies to collect geolocation data that tells us your current location (based on your IP address).
You can opt out of allowing us to collect this information either by refusing access to the information or by disabling your Location setting on your device."
personal information provide in request,we,"advertising, analytics, legal, security, services",We will only use personal information provided in your request to verify your identity or authority to make the request.
personal information you send to we,we,"advertising, analytics, legal, security, services","We may process the personal information you send to us for our marketing purposes, if this is in accordance with your marketing preferences."
verification method,we,"advertising, analytics, legal, security, services",We may also use other verification methods as the circumstances dictate.
