data_type,collector,purpose,text
UNSPECIFIED_DATA,UNSPECIFIED_ACTOR,,"As is true of most other websites, Ner Chat Inc.'s website collects certain information automatically and stores it in log files.
Privacy Policy

Sharing information with third parties"
UNSPECIFIED_DATA,we,"advertising, legal, security, services","Privacy Policy

2. How We Use This Information
We may share information to comply with legal obligations (e.g., responding to lawful requests by public authorities) or protect the rights, property, and safety of Leaf users.
We use this information to provide prospects and customers with services."
broad demographic information assist we in,we,"advertising, legal, security, services","We may also use your IP address to help diagnose problems with our server and to administer our website, analyze trends, track visitor movements, and gather broad demographic information that assists us in identifying visitor preferences."
browser type,we,"advertising, legal, security, services, analytics","The information may include internet protocol (IP) addresses, the region or general location where your computer or device is accessing the internet, browser type, operating system and other usage information about the use of Ner Chat Inc.'s website, including a history of the pages you view.
We use this information to help us design our site to better suit our users' needs."
collect information,we,"advertising, legal, security, services, analytics","We use collected information to enable core functionalities, such as saving progress, personalizing learning experiences, and supporting administrative or teacher oversight."
cookie / pixel tag,ner chat inc.,"analytics, services","Ner Chat Inc. uses cookies and similar tracking technologies to enhance your experience on our website, analyze site traffic, and improve our services."
date provide,ner chat inc.,"analytics, services","If access cannot be provided within a reasonable time frame, Ner Chat Inc. will provide you with a date when the information will be provided."
geolocation,we,"advertising, legal, security, services, analytics","The information may include internet protocol (IP) addresses, the region or general location where your computer or device is accessing the internet, browser type, operating system and other usage information about the use of Ner Chat Inc.'s website, including a history of the pages you view.
We use this information to help us design our site to better suit our users' needs."
internet activity,we,"advertising, legal, security, services, analytics","We analyze usage data (in aggregated or anonymized form) to troubleshoot technical issues, understand feature usage, and enhance the app."
ip address,we,"advertising, legal, security, services, analytics","The information may include internet protocol (IP) addresses, the region or general location where your computer or device is accessing the internet, browser type, operating system and other usage information about the use of Ner Chat Inc.'s website, including a history of the pages you view.
We may also use your IP address to help diagnose problems with our server and to administer our website, analyze trends, track visitor movements, and gather broad demographic information that assists us in identifying visitor preferences.
We use this information to help us design our site to better suit our users' needs."
leaf user datum,we,"advertising, legal, security, services, analytics","Privacy Policy

4. Data Retention and Security : Retention: We retain Leaf user data only as long as necessary to provide the Leaf service or as required by law or school policies."
non - identifying information about,we,"advertising, legal, security, services, analytics","We may collect non-identifying information about how users interact with Leaf (e.g., features used, time spent on different parts of the app) to help us improve the user experience."
operating system,we,"advertising, legal, security, services, analytics","The information may include internet protocol (IP) addresses, the region or general location where your computer or device is accessing the internet, browser type, operating system and other usage information about the use of Ner Chat Inc.'s website, including a history of the pages you view.
We use this information to help us design our site to better suit our users' needs."
personal information,ner chat inc.,"analytics, services","When technically feasible, Ner Chat Inc. will--at your request--provide your personal data to you.
Your personal data is stored by the Ner Chat Inc. on its servers, and on the servers of the cloud-based database management services the Ner Chat Inc. engages, located in the United States."
personal information,we,"advertising, legal, security, services, analytics","Privacy Policy

How we collect and use (process) your personal information
Table of Contents : How we collect and use (process) your personal information
We may also collect your personal data from a third party website (e.g. LinkedIn)"
personal information about individual,ner chat inc.,"analytics, services","From time to time, Ner Chat Inc. receives personal information about individuals from third parties."
personal information about website visitor,ner chat inc.,"analytics, services",Ner Chat Inc. collects personal information about its website visitors and customers.
prospect datum,ner chat inc.,"analytics, services",Ner Chat Inc. retains prospect data until such time as it no longer has business value and is purged from Ner Chat Inc. systems.
region,we,"advertising, legal, security, services, analytics","The information may include internet protocol (IP) addresses, the region or general location where your computer or device is accessing the internet, browser type, operating system and other usage information about the use of Ner Chat Inc.'s website, including a history of the pages you view.
We use this information to help us design our site to better suit our users' needs."
service datum,ner chat inc.,"analytics, services","The Ner Chat Inc. retains service data for the duration of the customer's business relationship with the Ner Chat Inc. and for a period of time thereafter, to analyze the data for Ner Chat Inc.'s own operations, and for historical and archiving purposes associated with Ner Chat Inc.'s services."
u.s. personal datum,ner chat inc.,"analytics, services","Depending on the circumstance, Ner Chat Inc. also collects and transfers to the U.S. personal data with consent; to perform a contract with you; or to fulfill a compelling legitimate interest of Ner Chat Inc. in a manner that does not outweigh your rights and freedoms."
user information,analytic provider,services,"We may share limited user information with trusted third-party service providers (e.g., cloud hosting, analytics) only to help operate or improve Leaf."
user information,cloud hosting,services,"We may share limited user information with trusted third-party service providers (e.g., cloud hosting, analytics) only to help operate or improve Leaf."
user information,we,"advertising, legal, security, services, analytics","We may share limited user information with trusted third-party service providers (e.g., cloud hosting, analytics) only to help operate or improve Leaf."
