data_type,collector,purpose,text
UNSPECIFIED_DATA,we,services,We use your data to provide and improve the Service.
access token,we,services,"Once authorized with https://www.googleapis.com/auth/calendar.events.owned, we shall store the access token on our servers and refresh this token to send your business's yoga class information to your PRIMARY Google calendar and update these events accordingly."
contact information,we,services,"While using our Service, we may ask you to provide us with certain personally identifiable information that can be used to contact or identify you (""Personal Data"")."
datum about individual,omcean booking online system,services,Omcean Booking online system stores data about individuals in order to create an account.
description,we,"services, analytics","We shall store your Google business's description, opening hours and images on our servers."
email address,we,"services, analytics","We shall store your Google account's email address, username and profile picture on our servers.
We store the name and email address as well as any social media ID, which is stored on our secure servers in Europe for a period of 90 days."
image,we,"services, analytics","We shall store your Google business's description, opening hours and images on our servers."
information access,we,"services, analytics","We may also collect information how the Service is accessed and used (""Usage Data"")."
person name,we,"services, analytics","We store the name and email address as well as any social media ID, which is stored on our secure servers in Europe for a period of 90 days."
personal information,UNSPECIFIED_ACTOR,services,These third parties have access to your Personal Data only to perform these tasks on our behalf and are obligated not to disclose or use it for any other purpose.
personal information,omcean booking,,Omcean Booking may disclose your Personal Data in the good faith belief that such action is necessary to: To comply with a legal obligation To protect and defend the rights or property of Omcean Booking To prevent or investigate possible wrongdoing in connection with the Service To protect the personal safety of users of the Service or the public To protect against legal liability Data Retention
personal information,we,"services, analytics","If you are located outside Taiwan and choose to provide information to us, please note that we transfer the data, including Personal Data, to Taiwan and process it there.
While using our Service, we may ask you to provide us with certain personally identifiable information that can be used to contact or identify you (""Personal Data"")."
preference cookies,we,"services, analytics",We use Preference Cookies to remember your preferences and various settings.
profile picture,we,"services, analytics","We shall store your Google account's email address, username and profile picture on our servers."
security cookies,we,"services, analytics, security",We use Security Cookies for security purposes.
session cookies,we,"services, analytics, security",We use Session Cookies to operate our Service.
several different type,we,"services, analytics, security",We collect several different types of information for various purposes to provide and improve our Service to you.
social medium id,we,"services, analytics, security","We store the name and email address as well as any social media ID, which is stored on our secure servers in Europe for a period of 90 days."
username,we,"services, analytics, security","We shall store your Google account's email address, username and profile picture on our servers."
